origine,destination,first_open_delta_median,first_open_delta_p25,first_open_delta_p75,n_departure_dates
AEROPORT ROISSY CDG 2 TGV,AGDE,3,3,11,17
AEROPORT ROISSY CDG 2 TGV,AIME LA PLAGNE,2,2,3,2
AEROPORT ROISSY CDG 2 TGV,AIX EN PROVENCE TGV,29,23,29,3
AEROPORT ROISSY CDG 2 TGV,AIX LES BAINS LE REVARD,29,29,29,2
AEROPORT ROISSY CDG 2 TGV,ALBERTVILLE,2,2,3,2
AEROPORT ROISSY CDG 2 TGV,ANGERS SAINT LAUD,8,3,11,172
AEROPORT ROISSY CDG 2 TGV,ANGOULEME,7,3,11,186
AEROPORT ROISSY CDG 2 TGV,ANNECY,29,29,29,2
AEROPORT ROISSY CDG 2 TGV,ANTIBES,16,16,16,3
AEROPORT ROISSY CDG 2 TGV,ARLES,29,29,29,1
AEROPORT ROISSY CDG 2 TGV,ARRAS,17,8,29,240
AEROPORT ROISSY CDG 2 TGV,AURAY,11,11,11,1
AEROPORT ROISSY CDG 2 TGV,AVIGNON CENTRE,29,29,29,1
AEROPORT ROISSY CDG 2 TGV,AVIGNON TGV,29,23,29,3
AEROPORT ROISSY CDG 2 TGV,BELFORT MONTBELIARD TGV,29,29,29,1
AEROPORT ROISSY CDG 2 TGV,BESANCON FRANCHE COMTE TGV,29,29,29,1
AEROPORT ROISSY CDG 2 TGV,BEZIERS,3,3,11,17
AEROPORT ROISSY CDG 2 TGV,BORDEAUX ST JEAN,7,3,11,187
AEROPORT ROISSY CDG 2 TGV,BOURG SAINT MAURICE,2,2,3,2
AEROPORT ROISSY CDG 2 TGV,BRUXELLES MIDI,20,7,29,270
AEROPORT ROISSY CDG 2 TGV,CANNES,16,16,16,3
AEROPORT ROISSY CDG 2 TGV,CHAMBERY CHALLES LES EAUX,29,29,29,2
AEROPORT ROISSY CDG 2 TGV,CHAMPAGNE ARDENNE TGV,3,3,6,134
AEROPORT ROISSY CDG 2 TGV,DIJON VILLE,29,29,29,1
AEROPORT ROISSY CDG 2 TGV,DOUAI,16,10,29,217
