origine,destination,first_open_delta_median,first_open_delta_p25,first_open_delta_p75,n_departure_dates
AIME LA PLAGNE,ALBERTVILLE,8,3,11,13
AIME LA PLAGNE,CHAMBERY CHALLES LES EAUX,11,4,29,26
AIME LA PLAGNE,MACON LOCHE TGV,6,3,29,13
AIME LA PLAGNE,MOUTIERS SALINS BRIDES LES BAINS,8,3,11,13
AIME LA PLAGNE,PARIS (intramuros),29,10,29,21
AIX LES BAINS LE REVARD,CHAMBERY CHALLES LES EAUX,29,14,29,136
AIX LES BAINS LE REVARD,MACON LOCHE TGV,21,10,29,129
AIX LES BAINS LE REVARD,PARIS (intramuros),29,28,29,112
ALBERTVILLE,CHAMBERY CHALLES LES EAUX,11,4,29,26
ALBERTVILLE,MACON LOCHE TGV,6,3,29,13
ALBERTVILLE,PARIS (intramuros),29,10,29,21
ANNECY,AIX LES BAINS LE REVARD,29,15,29,140
ANNECY,CHAMBERY CHALLES LES EAUX,29,15,29,140
ANNECY,MACON LOCHE TGV,21,10,29,129
ANNECY,PARIS (intramuros),29,28,29,112
ANNEMASSE,BELLEGARDE SUR VALSERINE GARE,29,14,29,35
ANNEMASSE,PARIS (intramuros),29,29,29,15
BELLEGARDE SUR VALSERINE GARE,PARIS (intramuros),29,29,29,15
BOURG SAINT MAURICE,AIME LA PLAGNE,8,3,11,13
BOURG SAINT MAURICE,ALBERTVILLE,8,3,11,13
BOURG SAINT MAURICE,CHAMBERY CHALLES LES EAUX,11,4,29,26
BOURG SAINT MAURICE,LANDRY,8,3,11,13
BOURG SAINT MAURICE,MACON LOCHE TGV,6,3,29,13
BOURG SAINT MAURICE,MOUTIERS SALINS BRIDES LES BAINS,8,3,11,13
BOURG SAINT MAURICE,PARIS (intramuros),29,10,29,21
CHAMBERY CHALLES LES EAUX,AIX LES BAINS LE REVARD,29,29,29,6
CHAMBERY CHALLES LES EAUX,MACON LOCHE TGV,24,10,29,129
CHAMBERY CHALLES LES EAUX,PARIS (intramuros),29,28,29,115
CLUSES (HAUTE SAVOIE),ANNEMASSE,3,3,11,11
CLUSES (HAUTE SAVOIE),BELLEGARDE SUR VALSERINE GARE,11,10,29,13
CLUSES (HAUTE SAVOIE),PARIS (intramuros),29,20,29,11
EVIAN LES BAINS,ANNEMASSE,8,6,14,25
EVIAN LES BAINS,BELLEGARDE SUR VALSERINE GARE,29,12,29,35
EVIAN LES BAINS,PARIS (intramuros),29,11,29,20
EVIAN LES BAINS,THONON LES BAINS,8,6,14,25
LANDRY,AIME LA PLAGNE,8,3,11,13
LANDRY,ALBERTVILLE,8,3,11,13
LANDRY,CHAMBERY CHALLES LES EAUX,11,4,29,26
LANDRY,MACON LOCHE TGV,6,3,29,13
LANDRY,MOUTIERS SALINS BRIDES LES BAINS,8,3,11,13
LANDRY,PARIS (intramuros),29,10,29,21
MACON LOCHE TGV,PARIS (intramuros),29,26,29,115
MODANE,CHAMBERY CHALLES LES EAUX,18,11,29,21
MODANE,PARIS (intramuros),29,29,29,10
MODANE,SAINT AVRE LA CHAMBRE,3,2,3,3
MODANE,ST JEAN DE MAURIENNE ARVAN,3,2,3,3
MODANE,ST MICHEL VALLOIRE,3,2,3,3
MOUTIERS SALINS BRIDES LES BAINS,ALBERTVILLE,8,3,11,13
MOUTIERS SALINS BRIDES LES BAINS,CHAMBERY CHALLES LES EAUX,11,4,29,26
MOUTIERS SALINS BRIDES LES BAINS,MACON LOCHE TGV,6,3,29,13
MOUTIERS SALINS BRIDES LES BAINS,PARIS (intramuros),29,10,29,21
SAINT AVRE LA CHAMBRE,CHAMBERY CHALLES LES EAUX,18,11,29,21
SAINT AVRE LA CHAMBRE,PARIS (intramuros),29,29,29,10
SALLANCHES COMBLOUX MEGEVE,ANNEMASSE,3,3,11,11
SALLANCHES COMBLOUX MEGEVE,BELLEGARDE SUR VALSERINE GARE,11,10,29,13
SALLANCHES COMBLOUX MEGEVE,CLUSES (HAUTE SAVOIE),3,3,11,11
SALLANCHES COMBLOUX MEGEVE,PARIS (intramuros),29,20,29,11
ST GERVAIS LES BAINS LE FAYET,ANNEMASSE,3,3,11,11
ST GERVAIS LES BAINS LE FAYET,BELLEGARDE SUR VALSERINE GARE,11,10,29,13
ST GERVAIS LES BAINS LE FAYET,CLUSES (HAUTE SAVOIE),3,3,11,11
ST GERVAIS LES BAINS LE FAYET,PARIS (intramuros),29,20,29,11
ST GERVAIS LES BAINS LE FAYET,SALLANCHES COMBLOUX MEGEVE,3,3,11,11
ST JEAN DE MAURIENNE ARVAN,CHAMBERY CHALLES LES EAUX,18,11,29,21
ST JEAN DE MAURIENNE ARVAN,PARIS (intramuros),29,29,29,10
ST JEAN DE MAURIENNE ARVAN,SAINT AVRE LA CHAMBRE,3,2,3,3
ST MICHEL VALLOIRE,CHAMBERY CHALLES LES EAUX,18,11,29,21
ST MICHEL VALLOIRE,PARIS (intramuros),29,29,29,10
ST MICHEL VALLOIRE,SAINT AVRE LA CHAMBRE,3,2,3,3
ST MICHEL VALLOIRE,ST JEAN DE MAURIENNE ARVAN,3,2,3,3
THONON LES BAINS,ANNEMASSE,8,6,14,25
THONON LES BAINS,BELLEGARDE SUR VALSERINE GARE,29,12,29,35
THONON LES BAINS,PARIS (intramuros),29,11,29,20
