origine,destination,first_open_delta_median,first_open_delta_p25,first_open_delta_p75,n_departure_dates
ARRAS,PARIS (intramuros),29,29,29,308
BETHUNE,PARIS (intramuros),29,29,29,273
BOULOGNE VILLE,ARRAS,6,3,8,8
BOULOGNE VILLE,CALAIS FRETHUN,6,3,8,8
BOULOGNE VILLE,LILLE (intramuros),6,3,8,8
BOULOGNE VILLE,PARIS (intramuros),29,29,29,304
CALAIS FRETHUN,ARRAS,6,4,11,10
CALAIS FRETHUN,LILLE (intramuros),6,4,11,10
CALAIS FRETHUN,PARIS (intramuros),29,29,29,305
CALAIS VILLE,ARRAS,11,11,11,2
CALAIS VILLE,CALAIS FRETHUN,11,11,11,2
CALAIS VILLE,LILLE (intramuros),11,11,11,2
CALAIS VILLE,PARIS (intramuros),11,11,11,2
CROIX WASQUEHAL,PARIS (intramuros),11,5,28,109
DOUAI,PARIS (intramuros),29,29,29,297
DUNKERQUE,PARIS (intramuros),29,29,29,278
ETAPLES   LE TOUQUET,PARIS (intramuros),19,11,29,237
HAZEBROUCK,PARIS (intramuros),29,29,29,273
LENS,PARIS (intramuros),29,29,29,273
LILLE (intramuros),ARRAS,25,11,29,78
LILLE (intramuros),PARIS (intramuros),29,29,29,305
RANG DU FLIERS VERTON BERCK,PARIS (intramuros),19,11,29,237
ROUBAIX,PARIS (intramuros),11,5,29,109
TOURCOING,PARIS (intramuros),11,5,29,109
VALENCIENNES,PARIS (intramuros),29,24,29,290
