origine,destination,first_open_delta_median,first_open_delta_p25,first_open_delta_p75,n_departure_dates
AIX EN PROVENCE TGV,AVIGNON TGV,11,3,29,239
AIX EN PROVENCE TGV,MARNE LA VALLEE CHESSY,10,9,10,2
AIX EN PROVENCE TGV,PARIS (intramuros),11,6,29,170
ANTIBES,AEROPORT ROISSY CDG 2 TGV,29,29,29,2
ANTIBES,AIX EN PROVENCE TGV,22,12,29,6
ANTIBES,AVIGNON TGV,14,6,29,224
ANTIBES,CANNES,29,15,29,316
ANTIBES,LES ARCS DRAGUIGNAN,21,11,29,306
ANTIBES,MARNE LA VALLEE CHESSY,29,29,29,2
ANTIBES,MARSEILLE ST CHARLES,18,11,29,274
ANTIBES,PARIS (intramuros),28,11,29,223
ANTIBES,ST RAPHAEL VALESCURE,28,11,29,316
ANTIBES,TOULON,29,15,29,316
AVIGNON TGV,AEROPORT ROISSY CDG 2 TGV,29,29,29,2
AVIGNON TGV,MARNE LA VALLEE CHESSY,29,29,29,2
AVIGNON TGV,PARIS (intramuros),14,9,29,217
CANNES,AEROPORT ROISSY CDG 2 TGV,29,29,29,2
CANNES,AIX EN PROVENCE TGV,22,12,29,6
CANNES,AVIGNON TGV,14,6,29,224
CANNES,LES ARCS DRAGUIGNAN,21,11,29,306
CANNES,MARNE LA VALLEE CHESSY,29,29,29,2
CANNES,MARSEILLE ST CHARLES,18,11,29,274
CANNES,PARIS (intramuros),28,11,29,223
CANNES,ST RAPHAEL VALESCURE,28,11,29,316
CANNES,TOULON,29,15,29,316
HYERES,AIX EN PROVENCE TGV,11,3,29,132
HYERES,AVIGNON TGV,11,3,29,167
HYERES,MARSEILLE ST CHARLES,11,3,29,167
HYERES,PARIS (intramuros),11,3,29,130
HYERES,TOULON,11,3,29,167
LES ARCS DRAGUIGNAN,AEROPORT ROISSY CDG 2 TGV,29,29,29,2
LES ARCS DRAGUIGNAN,AIX EN PROVENCE TGV,29,29,29,2
LES ARCS DRAGUIGNAN,AVIGNON TGV,11,6,29,218
LES ARCS DRAGUIGNAN,MARNE LA VALLEE CHESSY,29,29,29,2
LES ARCS DRAGUIGNAN,MARSEILLE ST CHARLES,8,3,11,125
LES ARCS DRAGUIGNAN,PARIS (intramuros),14,8,29,191
LES ARCS DRAGUIGNAN,TOULON,16,11,29,287
LYON (intramuros),PARIS (intramuros),2,1,3,2
MARNE LA VALLEE CHESSY,AEROPORT ROISSY CDG 2 TGV,29,29,29,2
MARSEILLE ST CHARLES,AEROPORT ROISSY CDG 2 TGV,18,12,23,2
MARSEILLE ST CHARLES,AIX EN PROVENCE TGV,11,3,29,181
MARSEILLE ST CHARLES,AVIGNON TGV,11,3,29,216
MARSEILLE ST CHARLES,LYON (intramuros),1,1,1,1
MARSEILLE ST CHARLES,MARNE LA VALLEE CHESSY,10,8,13,2
MARSEILLE ST CHARLES,PARIS (intramuros),13,8,29,211
NICE VILLE,AEROPORT ROISSY CDG 2 TGV,29,29,29,2
NICE VILLE,AIX EN PROVENCE TGV,22,12,29,6
NICE VILLE,ANTIBES,29,15,29,316
NICE VILLE,AVIGNON TGV,14,6,29,224
NICE VILLE,CANNES,29,15,29,316
NICE VILLE,LES ARCS DRAGUIGNAN,21,11,29,306
NICE VILLE,MARNE LA VALLEE CHESSY,29,29,29,2
NICE VILLE,MARSEILLE ST CHARLES,18,11,29,274
NICE VILLE,PARIS (intramuros),28,11,29,223
NICE VILLE,ST RAPHAEL VALESCURE,28,11,29,316
NICE VILLE,TOULON,29,15,29,316
ST RAPHAEL VALESCURE,AEROPORT ROISSY CDG 2 TGV,29,29,29,2
ST RAPHAEL VALESCURE,AIX EN PROVENCE TGV,22,12,29,6
ST RAPHAEL VALESCURE,AVIGNON TGV,12,9,29,50
ST RAPHAEL VALESCURE,LES ARCS DRAGUIGNAN,13,11,27,208
ST RAPHAEL VALESCURE,MARNE LA VALLEE CHESSY,17,16,18,2
ST RAPHAEL VALESCURE,MARSEILLE ST CHARLES,18,11,29,274
ST RAPHAEL VALESCURE,PARIS (intramuros),27,10,29,211
ST RAPHAEL VALESCURE,TOULON,26,11,29,310
TOULON,AEROPORT ROISSY CDG 2 TGV,29,29,29,2
TOULON,AIX EN PROVENCE TGV,11,3,29,227
TOULON,AVIGNON TGV,17,8,29,276
TOULON,LYON (intramuros),1,1,1,1
TOULON,MARNE LA VALLEE CHESSY,29,29,29,2
TOULON,MARSEILLE ST CHARLES,26,11,29,288
TOULON,PARIS (intramuros),29,11,29,243
