origine,destination,first_open_delta_median,first_open_delta_p25,first_open_delta_p75,n_departure_dates
BEZIERS,MONTPELLIER SAINT ROCH,0,0,0,1
BEZIERS,MONTPELLIER SUD DE FRANCE,0,0,0,1
BEZIERS,NIMES CENTRE,0,0,0,1
BEZIERS,PARIS (intramuros),5,3,12,78
BEZIERS,VALENCE TGV AUVERGNE RHONE ALPES,0,0,0,1
MONTPELLIER SAINT ROCH,NIMES CENTRE,0,0,0,1
MONTPELLIER SAINT ROCH,PARIS (intramuros),4,0,7,53
MONTPELLIER SAINT ROCH,VALENCE TGV AUVERGNE RHONE ALPES,0,0,0,1
MONTPELLIER SUD DE FRANCE,PARIS (intramuros),7,4,8,3
NARBONNE,BEZIERS,0,0,0,1
NARBONNE,MONTPELLIER SAINT ROCH,0,0,0,1
NARBONNE,MONTPELLIER SUD DE FRANCE,0,0,0,1
NARBONNE,NIMES CENTRE,0,0,0,1
NARBONNE,PARIS (intramuros),5,3,12,78
NARBONNE,VALENCE TGV AUVERGNE RHONE ALPES,0,0,0,1
NIMES CENTRE,PARIS (intramuros),4,0,7,53
NIMES CENTRE,VALENCE TGV AUVERGNE RHONE ALPES,0,0,0,1
NIMES PONT DU GARD,PARIS (intramuros),7,4,8,3
PERPIGNAN,BEZIERS,0,0,0,1
PERPIGNAN,MONTPELLIER SAINT ROCH,0,0,0,1
PERPIGNAN,MONTPELLIER SUD DE FRANCE,0,0,0,1
PERPIGNAN,NARBONNE,0,0,0,1
PERPIGNAN,NIMES CENTRE,0,0,0,1
PERPIGNAN,PARIS (intramuros),2,0,5,38
PERPIGNAN,VALENCE TGV AUVERGNE RHONE ALPES,0,0,0,1
SETE,PARIS (intramuros),4,4,4,1
VALENCE TGV AUVERGNE RHONE ALPES,PARIS (intramuros),6,1,15,108
