origine,destination,first_open_delta_median,first_open_delta_p25,first_open_delta_p75,n_departure_dates
BORDEAUX ST JEAN,JONZAC,29,16,29,103
BORDEAUX ST JEAN,LA ROCHE SUR YON,29,16,29,103
BORDEAUX ST JEAN,LA ROCHELLE VILLE,29,16,29,103
BORDEAUX ST JEAN,LUCON,29,16,29,103
BORDEAUX ST JEAN,NANTES,29,16,29,103
BORDEAUX ST JEAN,ROCHEFORT,29,16,29,103
BORDEAUX ST JEAN,SAINTES,29,16,29,103
JONZAC,LA ROCHE SUR YON,29,16,29,102
JONZAC,LA ROCHELLE VILLE,29,16,29,102
JONZAC,LUCON,29,16,29,102
JONZAC,NANTES,29,16,29,102
JONZAC,ROCHEFORT,29,16,29,102
JONZAC,SAINTES,29,16,29,102
LA ROCHE SUR YON,NANTES,29,16,29,103
LA ROCHELLE VILLE,LA ROCHE SUR YON,29,16,29,102
LA ROCHELLE VILLE,LUCON,29,16,29,102
LA ROCHELLE VILLE,NANTES,29,16,29,103
LUCON,LA ROCHE SUR YON,29,16,29,102
LUCON,NANTES,29,16,29,103
ROCHEFORT,LA ROCHE SUR YON,29,16,29,102
ROCHEFORT,LA ROCHELLE VILLE,29,16,29,102
ROCHEFORT,LUCON,29,16,29,102
ROCHEFORT,NANTES,29,16,29,103
SAINTES,LA ROCHE SUR YON,29,16,29,102
SAINTES,LA ROCHELLE VILLE,29,16,29,102
SAINTES,LUCON,29,16,29,102
SAINTES,NANTES,29,16,29,103
SAINTES,ROCHEFORT,29,16,29,102
