origine,destination,first_open_delta_median,first_open_delta_p25,first_open_delta_p75,n_departure_dates
BELFORT MONTBELIARD TGV,AEROPORT ROISSY CDG 2 TGV,29,29,29,2
BELFORT MONTBELIARD TGV,BESANCON FRANCHE COMTE TGV,29,25,29,213
BELFORT MONTBELIARD TGV,DIJON VILLE,29,18,29,211
BELFORT MONTBELIARD TGV,MARNE LA VALLEE CHESSY,29,29,29,3
BELFORT MONTBELIARD TGV,MONTBARD,29,10,29,134
BELFORT MONTBELIARD TGV,PARIS (intramuros),29,11,29,171
BESANCON FRANCHE COMTE TGV,AEROPORT ROISSY CDG 2 TGV,29,29,29,2
BESANCON FRANCHE COMTE TGV,DIJON VILLE,29,19,29,212
BESANCON FRANCHE COMTE TGV,MARNE LA VALLEE CHESSY,29,29,29,3
BESANCON FRANCHE COMTE TGV,MONTBARD,28,11,29,188
BESANCON FRANCHE COMTE TGV,PARIS (intramuros),29,11,29,175
BESANCON VIOTTE,BESANCON FRANCHE COMTE TGV,23,11,29,197
BESANCON VIOTTE,DIJON VILLE,29,16,29,190
BESANCON VIOTTE,DOLE VILLE,29,29,29,147
BESANCON VIOTTE,MONTBARD,26,10,29,187
BESANCON VIOTTE,PARIS (intramuros),29,11,29,167
DIJON VILLE,AEROPORT ROISSY CDG 2 TGV,29,29,29,2
DIJON VILLE,MARNE LA VALLEE CHESSY,29,29,29,3
DIJON VILLE,MONTBARD,29,11,29,199
DIJON VILLE,PARIS (intramuros),29,25,29,201
DOLE VILLE,DIJON VILLE,29,26,29,147
DOLE VILLE,MONTBARD,26,8,29,142
DOLE VILLE,PARIS (intramuros),29,17,29,145
MONTBARD,MARNE LA VALLEE CHESSY,29,29,29,1
MONTBARD,PARIS (intramuros),11,11,29,165
MULHOUSE VILLE,AEROPORT ROISSY CDG 2 TGV,29,29,29,2
MULHOUSE VILLE,BELFORT MONTBELIARD TGV,29,25,29,213
MULHOUSE VILLE,BESANCON FRANCHE COMTE TGV,29,25,29,213
MULHOUSE VILLE,DIJON VILLE,29,18,29,211
MULHOUSE VILLE,MARNE LA VALLEE CHESSY,29,29,29,3
MULHOUSE VILLE,MONTBARD,29,10,29,134
MULHOUSE VILLE,PARIS (intramuros),28,11,29,175
