origine,destination,first_open_delta_median,first_open_delta_p25,first_open_delta_p75,n_departure_dates
AURAY,LAVAL,6,3,11,103
AURAY,PARIS (intramuros),29,9,29,172
AURAY,REDON,20,10,29,206
AURAY,RENNES,29,14,29,222
AURAY,VANNES,29,23,29,236
BREST,GUINGAMP,29,20,29,239
BREST,LAMBALLE,9,3,14,199
BREST,LANDERNEAU,3,3,3,105
BREST,LAVAL,3,2,11,98
BREST,MORLAIX,29,20,29,239
BREST,PARIS (intramuros),26,6,29,168
BREST,PLOUARET TREGOR,7,3,11,187
BREST,RENNES,29,13,29,228
BREST,ST BRIEUC,29,26,29,241
DOL DE BRETAGNE,LAVAL,11,3,28,62
DOL DE BRETAGNE,LE MANS,24,11,29,192
DOL DE BRETAGNE,PARIS (intramuros),11,3,29,129
DOL DE BRETAGNE,RENNES,29,26,29,237
GUINGAMP,LAMBALLE,8,3,13,200
GUINGAMP,LAVAL,3,2,11,98
GUINGAMP,PARIS (intramuros),29,5,29,160
GUINGAMP,RENNES,29,12,29,228
GUINGAMP,ST BRIEUC,29,20,29,239
LAMBALLE,LAVAL,4,3,8,163
LAMBALLE,PARIS (intramuros),7,3,29,129
LAMBALLE,RENNES,29,12,29,208
LANDERNEAU,GUINGAMP,3,3,3,105
LANDERNEAU,LAMBALLE,3,3,3,105
LANDERNEAU,LAVAL,3,2,3,51
LANDERNEAU,MORLAIX,3,3,3,105
LANDERNEAU,PARIS (intramuros),3,2,3,35
LANDERNEAU,PLOUARET TREGOR,3,3,3,105
LANDERNEAU,RENNES,3,2,3,68
LANDERNEAU,ST BRIEUC,3,3,3,105
LANNION,GUINGAMP,13,9,17,32
LANNION,PARIS (intramuros),2,0,7,7
LANNION,RENNES,11,8,15,29
LANNION,ST BRIEUC,13,9,17,32
LAVAL,LE MANS,21,11,29,223
LAVAL,PARIS (intramuros),26,11,29,187
LE MANS,PARIS (intramuros),29,11,29,182
LORIENT,AURAY,29,23,29,236
LORIENT,LAVAL,6,3,11,102
LORIENT,LE MANS,29,22,29,155
LORIENT,PARIS (intramuros),29,11,29,179
LORIENT,REDON,29,20,29,224
LORIENT,RENNES,29,20,29,231
LORIENT,VANNES,29,29,29,240
MORLAIX,GUINGAMP,29,20,29,239
MORLAIX,LAMBALLE,8,3,13,200
MORLAIX,LAVAL,3,2,11,98
MORLAIX,PARIS (intramuros),29,5,29,160
MORLAIX,PLOUARET TREGOR,7,3,11,188
MORLAIX,RENNES,29,11,29,228
MORLAIX,ST BRIEUC,29,20,29,239
PLOUARET TREGOR,GUINGAMP,7,3,11,188
PLOUARET TREGOR,LAMBALLE,7,3,11,188
PLOUARET TREGOR,LAVAL,3,2,3,51
PLOUARET TREGOR,PARIS (intramuros),3,3,21,91
PLOUARET TREGOR,RENNES,5,3,11,151
PLOUARET TREGOR,ST BRIEUC,7,3,11,188
QUIMPER,AURAY,29,23,29,236
QUIMPER,LAVAL,6,3,11,102
QUIMPER,LORIENT,29,28,29,239
QUIMPER,PARIS (intramuros),29,8,29,175
QUIMPER,QUIMPERLE,29,14,29,229
QUIMPER,REDON,20,10,29,205
QUIMPER,RENNES,29,17,29,228
QUIMPER,ROSPORDEN,29,14,29,229
QUIMPER,VANNES,29,28,29,239
QUIMPERLE,AURAY,29,14,29,229
QUIMPERLE,LAVAL,6,3,11,102
QUIMPERLE,LORIENT,29,14,29,229
QUIMPERLE,PARIS (intramuros),7,3,11,140
QUIMPERLE,REDON,4,3,11,122
QUIMPERLE,RENNES,29,10,29,213
QUIMPERLE,VANNES,29,14,29,229
REDON,LAVAL,3,2,8,63
REDON,LE MANS,29,22,29,155
REDON,PARIS (intramuros),29,11,29,170
REDON,RENNES,29,18,29,222
RENNES,LAVAL,22,11,29,224
RENNES,LE MANS,29,12,29,226
RENNES,PARIS (intramuros),29,11,29,198
RENNES,VITRE,23,12,29,173
ROSPORDEN,AURAY,29,14,29,229
ROSPORDEN,LAVAL,6,3,11,102
ROSPORDEN,LORIENT,29,14,29,229
ROSPORDEN,PARIS (intramuros),7,3,11,140
ROSPORDEN,QUIMPERLE,29,14,29,229
ROSPORDEN,REDON,4,3,11,122
ROSPORDEN,RENNES,29,10,29,213
ROSPORDEN,VANNES,29,14,29,229
ST BRIEUC,LAMBALLE,29,11,29,228
ST BRIEUC,LAVAL,5,3,11,168
ST BRIEUC,PARIS (intramuros),29,7,29,170
ST BRIEUC,RENNES,29,16,29,229
ST MALO,DOL DE BRETAGNE,29,26,29,237
ST MALO,LAVAL,11,3,28,62
ST MALO,LE MANS,24,11,29,192
ST MALO,PARIS (intramuros),11,3,29,155
ST MALO,RENNES,29,26,29,237
VANNES,LAVAL,6,3,11,103
VANNES,LE MANS,29,22,29,155
VANNES,PARIS (intramuros),29,11,29,179
VANNES,REDON,29,20,29,225
VANNES,RENNES,29,20,29,231
VITRE,LAVAL,23,12,29,173
VITRE,LE MANS,23,12,29,173
VITRE,PARIS (intramuros),29,11,29,144
