origine,destination,first_open_delta_median,first_open_delta_p25,first_open_delta_p75,n_departure_dates
AGDE,PARIS (intramuros),9,2,19,10
ARGELES SUR MER,PARIS (intramuros),9,2,19,10
BANYULS SUR MER,PARIS (intramuros),9,2,19,10
BEZIERS,PARIS (intramuros),9,2,19,10
CERBERE,PARIS (intramuros),9,2,19,10
COLLIOURE,PARIS (intramuros),9,2,19,10
ELNE,PARIS (intramuros),9,2,19,10
MONTPELLIER SAINT ROCH,PARIS (intramuros),9,2,19,10
NARBONNE,PARIS (intramuros),9,2,19,10
NIMES CENTRE,PARIS (intramuros),9,2,19,10
PERPIGNAN,PARIS (intramuros),9,2,19,10
PORT VENDRES VILLE,PARIS (intramuros),9,2,19,10
SETE,PARIS (intramuros),9,2,19,10
