origine,destination,first_open_delta_median,first_open_delta_p25,first_open_delta_p75,n_departure_dates
CLERMONT FERRAND,MOULINS SUR ALLIER,29,28,29,308
CLERMONT FERRAND,NEVERS,29,28,29,298
CLERMONT FERRAND,PARIS (intramuros),29,29,29,297
CLERMONT FERRAND,RIOM CHATEL GUYON,29,28,29,308
CLERMONT FERRAND,SAINCAIZE,14,7,29,18
CLERMONT FERRAND,SAINT GERMAIN DES FOSSES,24,3,29,33
CLERMONT FERRAND,VICHY,29,28,29,308
MOULINS SUR ALLIER,NEVERS,29,28,29,298
MOULINS SUR ALLIER,PARIS (intramuros),29,29,29,297
MOULINS SUR ALLIER,SAINCAIZE,14,7,29,18
NEVERS,PARIS (intramuros),29,29,29,288
RIOM CHATEL GUYON,MOULINS SUR ALLIER,29,28,29,308
RIOM CHATEL GUYON,NEVERS,29,28,29,298
RIOM CHATEL GUYON,PARIS (intramuros),29,29,29,295
RIOM CHATEL GUYON,SAINCAIZE,14,7,29,18
RIOM CHATEL GUYON,SAINT GERMAIN DES FOSSES,24,3,29,33
RIOM CHATEL GUYON,VICHY,29,28,29,308
SAINCAIZE,PARIS (intramuros),14,7,29,18
SAINT GERMAIN DES FOSSES,MOULINS SUR ALLIER,24,3,29,33
SAINT GERMAIN DES FOSSES,NEVERS,24,3,29,33
SAINT GERMAIN DES FOSSES,PARIS (intramuros),11,3,29,24
VICHY,MOULINS SUR ALLIER,29,28,29,308
VICHY,NEVERS,29,28,29,298
VICHY,PARIS (intramuros),29,29,29,297
VICHY,SAINCAIZE,14,7,29,18
VICHY,SAINT GERMAIN DES FOSSES,24,3,29,33
