origine,destination,first_open_delta_median,first_open_delta_p25,first_open_delta_p75,n_departure_dates
AIX EN PROVENCE TGV,MARSEILLE ST CHARLES,3,3,6,82
AVIGNON TGV,AIX EN PROVENCE TGV,3,3,6,82
AVIGNON TGV,MARSEILLE ST CHARLES,3,3,6,82
BELFORT MONTBELIARD TGV,AIX EN PROVENCE TGV,2,2,2,3
BELFORT MONTBELIARD TGV,AVIGNON TGV,2,2,2,3
BELFORT MONTBELIARD TGV,BESANCON FRANCHE COMTE TGV,3,3,6,5
BELFORT MONTBELIARD TGV,CHALON SUR SAONE,3,3,6,5
BELFORT MONTBELIARD TGV,LYON (intramuros),5,3,6,12
BELFORT MONTBELIARD TGV,MARSEILLE ST CHARLES,2,2,2,3
BESANCON FRANCHE COMTE TGV,AIX EN PROVENCE TGV,2,2,2,3
BESANCON FRANCHE COMTE TGV,AVIGNON TGV,2,2,2,3
BESANCON FRANCHE COMTE TGV,CHALON SUR SAONE,3,2,5,6
BESANCON FRANCHE COMTE TGV,LYON (intramuros),5,3,6,13
BESANCON FRANCHE COMTE TGV,MARSEILLE ST CHARLES,2,2,2,3
CHALON SUR SAONE,AIX EN PROVENCE TGV,2,2,2,3
CHALON SUR SAONE,AVIGNON TGV,2,2,2,3
CHALON SUR SAONE,LYON (intramuros),3,2,5,6
CHALON SUR SAONE,MARSEILLE ST CHARLES,2,2,2,3
LYON (intramuros),AIX EN PROVENCE TGV,3,3,6,51
LYON (intramuros),AVIGNON TGV,3,3,6,51
LYON (intramuros),MARSEILLE ST CHARLES,3,3,6,51
MULHOUSE VILLE,AIX EN PROVENCE TGV,2,2,2,3
MULHOUSE VILLE,AVIGNON TGV,2,2,2,3
MULHOUSE VILLE,BELFORT MONTBELIARD TGV,3,3,6,5
MULHOUSE VILLE,BESANCON FRANCHE COMTE TGV,3,3,6,5
MULHOUSE VILLE,CHALON SUR SAONE,3,3,6,5
MULHOUSE VILLE,LYON (intramuros),5,3,6,12
MULHOUSE VILLE,MARSEILLE ST CHARLES,2,2,2,3
STRASBOURG,AIX EN PROVENCE TGV,2,2,2,3
STRASBOURG,AVIGNON TGV,2,2,2,3
STRASBOURG,BELFORT MONTBELIARD TGV,3,3,6,5
STRASBOURG,BESANCON FRANCHE COMTE TGV,3,3,6,5
STRASBOURG,CHALON SUR SAONE,3,3,6,5
STRASBOURG,LYON (intramuros),5,3,6,12
STRASBOURG,MARSEILLE ST CHARLES,2,2,2,3
STRASBOURG,MULHOUSE VILLE,3,2,5,6
