origine,destination,first_open_delta_median,first_open_delta_p25,first_open_delta_p75,n_departure_dates
ANNEMASSE,PARIS (intramuros),22,14,29,18
BELLEGARDE SUR VALSERINE GARE,AEROPORT ROISSY CDG 2 TGV,29,29,29,2
BELLEGARDE SUR VALSERINE GARE,MARNE LA VALLEE CHESSY,29,29,29,3
BELLEGARDE SUR VALSERINE GARE,PARIS (intramuros),29,29,29,278
BOURG EN BRESSE,AEROPORT ROISSY CDG 2 TGV,29,29,29,2
BOURG EN BRESSE,MARNE LA VALLEE CHESSY,29,29,29,3
BOURG EN BRESSE,PARIS (intramuros),29,29,29,278
DOLE VILLE,PARIS (intramuros),14,6,29,15
FRASNE,PARIS (intramuros),14,6,29,15
NURIEUX GARE,AEROPORT ROISSY CDG 2 TGV,29,29,29,2
NURIEUX GARE,PARIS (intramuros),29,14,29,138
