origine,destination,first_open_delta_median,first_open_delta_p25,first_open_delta_p75,n_departure_dates
BAYONNE,LANNEMEZAN,3,3,11,12
BAYONNE,LOURDES,14,8,29,36
BAYONNE,MONTREJEAU GOURDAN POLIGNAN,6,3,11,13
BAYONNE,ORTHEZ,14,8,29,36
BAYONNE,PAU,14,8,29,36
BAYONNE,ST GAUDENS,18,3,29,33
BAYONNE,TARBES,14,8,29,36
BAYONNE,TOULOUSE MATABIAU,18,6,29,33
BIARRITZ,BAYONNE,8,3,11,16
BIARRITZ,LOURDES,8,3,11,16
BIARRITZ,MONTREJEAU GOURDAN POLIGNAN,6,3,11,13
BIARRITZ,ORTHEZ,8,3,11,16
BIARRITZ,PAU,8,3,11,16
BIARRITZ,TARBES,8,3,11,16
BIARRITZ,TOULOUSE MATABIAU,6,3,11,13
HENDAYE,BAYONNE,8,3,11,16
HENDAYE,BIARRITZ,8,3,11,16
HENDAYE,LOURDES,8,3,11,16
HENDAYE,MONTREJEAU GOURDAN POLIGNAN,6,3,11,13
HENDAYE,ORTHEZ,8,3,11,16
HENDAYE,PAU,8,3,11,16
HENDAYE,ST JEAN DE LUZ CIBOURE,8,3,11,16
HENDAYE,TARBES,8,3,11,16
HENDAYE,TOULOUSE MATABIAU,6,3,11,13
LANNEMEZAN,TOULOUSE MATABIAU,3,3,11,12
LOURDES,LANNEMEZAN,3,3,11,12
LOURDES,MONTREJEAU GOURDAN POLIGNAN,6,3,11,13
LOURDES,ST GAUDENS,18,3,29,33
LOURDES,TARBES,15,8,29,35
LOURDES,TOULOUSE MATABIAU,18,6,29,33
MONTREJEAU GOURDAN POLIGNAN,TOULOUSE MATABIAU,6,3,11,13
ORTHEZ,LANNEMEZAN,3,3,11,12
ORTHEZ,LOURDES,15,8,29,35
ORTHEZ,MONTREJEAU GOURDAN POLIGNAN,6,3,11,13
ORTHEZ,PAU,15,8,29,35
ORTHEZ,ST GAUDENS,18,3,29,33
ORTHEZ,TARBES,15,8,29,35
ORTHEZ,TOULOUSE MATABIAU,18,6,29,33
PAU,LANNEMEZAN,3,3,7,15
PAU,LOURDES,15,8,29,35
PAU,MONTREJEAU GOURDAN POLIGNAN,8,3,11,16
PAU,ST GAUDENS,16,3,29,34
PAU,TARBES,15,8,29,35
PAU,TOULOUSE MATABIAU,18,6,29,33
ST GAUDENS,TOULOUSE MATABIAU,18,3,29,33
ST JEAN DE LUZ CIBOURE,BAYONNE,8,3,11,16
ST JEAN DE LUZ CIBOURE,BIARRITZ,8,3,11,16
ST JEAN DE LUZ CIBOURE,LOURDES,8,3,11,16
ST JEAN DE LUZ CIBOURE,MONTREJEAU GOURDAN POLIGNAN,6,3,11,13
ST JEAN DE LUZ CIBOURE,ORTHEZ,8,3,11,16
ST JEAN DE LUZ CIBOURE,PAU,8,3,11,16
ST JEAN DE LUZ CIBOURE,TARBES,8,3,11,16
ST JEAN DE LUZ CIBOURE,TOULOUSE MATABIAU,6,3,11,13
TARBES,LANNEMEZAN,3,3,11,12
TARBES,MONTREJEAU GOURDAN POLIGNAN,6,3,11,13
TARBES,ST GAUDENS,18,3,29,33
TARBES,TOULOUSE MATABIAU,18,6,29,33
