origine,destination,first_open_delta_median,first_open_delta_p25,first_open_delta_p75,n_departure_dates
AEROPORT ROISSY CDG 2 TGV,LILLE (intramuros),9,3,11,247
AEROPORT ROISSY CDG 2 TGV,TGV HAUTE PICARDIE,6,3,11,81
ANGOULEME,AEROPORT ROISSY CDG 2 TGV,3,2,9,134
ANGOULEME,LILLE (intramuros),3,2,9,133
ANGOULEME,MARNE LA VALLEE CHESSY,3,2,9,134
ANGOULEME,MASSY TGV,3,2,9,130
ANGOULEME,POITIERS,28,11,29,320
ANGOULEME,ST PIERRE DES CORPS,11,6,18,266
ANGOULEME,TGV HAUTE PICARDIE,6,2,11,36
BORDEAUX ST JEAN,AEROPORT ROISSY CDG 2 TGV,3,3,10,145
BORDEAUX ST JEAN,ANGOULEME,28,11,29,320
BORDEAUX ST JEAN,LILLE (intramuros),3,3,10,144
BORDEAUX ST JEAN,MARNE LA VALLEE CHESSY,3,3,10,145
BORDEAUX ST JEAN,MASSY TGV,3,3,9,141
BORDEAUX ST JEAN,POITIERS,29,11,29,320
BORDEAUX ST JEAN,ST PIERRE DES CORPS,11,7,22,268
BORDEAUX ST JEAN,TGV HAUTE PICARDIE,3,3,11,56
MARNE LA VALLEE CHESSY,AEROPORT ROISSY CDG 2 TGV,3,3,6,235
MARNE LA VALLEE CHESSY,LILLE (intramuros),9,3,11,247
MARNE LA VALLEE CHESSY,TGV HAUTE PICARDIE,6,3,11,81
MASSY TGV,AEROPORT ROISSY CDG 2 TGV,3,3,6,231
MASSY TGV,LILLE (intramuros),9,3,11,241
MASSY TGV,MARNE LA VALLEE CHESSY,3,3,6,231
MASSY TGV,TGV HAUTE PICARDIE,6,3,11,77
POITIERS,AEROPORT ROISSY CDG 2 TGV,3,3,10,145
POITIERS,LILLE (intramuros),3,3,10,144
POITIERS,MARNE LA VALLEE CHESSY,3,3,10,145
POITIERS,MASSY TGV,3,3,9,141
POITIERS,ST PIERRE DES CORPS,11,7,22,268
POITIERS,TGV HAUTE PICARDIE,3,3,11,56
ST PIERRE DES CORPS,AEROPORT ROISSY CDG 2 TGV,3,2,10,150
ST PIERRE DES CORPS,LILLE (intramuros),3,3,10,143
ST PIERRE DES CORPS,MARNE LA VALLEE CHESSY,3,2,10,150
ST PIERRE DES CORPS,MASSY TGV,3,2,9,145
ST PIERRE DES CORPS,TGV HAUTE PICARDIE,3,3,11,56
TGV HAUTE PICARDIE,LILLE (intramuros),9,3,11,143
