origine,destination,first_open_delta_median,first_open_delta_p25,first_open_delta_p75,n_departure_dates
AEROPORT ROISSY CDG 2 TGV,CHAMPAGNE ARDENNE TGV,11,11,29,94
AEROPORT ROISSY CDG 2 TGV,LORRAINE TGV,11,11,29,94
AEROPORT ROISSY CDG 2 TGV,MEUSE TGV,11,3,20,50
AEROPORT ROISSY CDG 2 TGV,STRASBOURG,11,11,29,94
ANGERS SAINT LAUD,AEROPORT ROISSY CDG 2 TGV,26,11,29,109
ANGERS SAINT LAUD,CHAMPAGNE ARDENNE TGV,11,7,29,86
ANGERS SAINT LAUD,LE MANS,12,11,29,164
ANGERS SAINT LAUD,LORRAINE TGV,11,7,29,86
ANGERS SAINT LAUD,MARNE LA VALLEE CHESSY,26,11,29,109
ANGERS SAINT LAUD,MASSY TGV,26,10,29,107
ANGERS SAINT LAUD,STRASBOURG,11,7,29,86
ANGOULEME,CHAMPAGNE ARDENNE TGV,11,6,29,66
ANGOULEME,LORRAINE TGV,11,6,29,66
ANGOULEME,MARNE LA VALLEE CHESSY,11,3,29,63
ANGOULEME,MASSY TGV,11,3,29,60
ANGOULEME,MEUSE TGV,11,6,29,66
ANGOULEME,POITIERS,19,11,29,97
ANGOULEME,ST PIERRE DES CORPS,26,11,29,90
ANGOULEME,STRASBOURG,11,6,29,66
AURAY,LE MANS,11,11,11,1
AURAY,RENNES,11,11,11,1
AURAY,VANNES,11,11,11,1
BORDEAUX ST JEAN,ANGOULEME,19,11,29,97
BORDEAUX ST JEAN,CHAMPAGNE ARDENNE TGV,11,6,29,66
BORDEAUX ST JEAN,LORRAINE TGV,11,6,29,66
BORDEAUX ST JEAN,MARNE LA VALLEE CHESSY,11,3,29,63
BORDEAUX ST JEAN,MASSY TGV,11,3,29,60
BORDEAUX ST JEAN,MEUSE TGV,11,6,29,66
BORDEAUX ST JEAN,POITIERS,19,11,29,97
BORDEAUX ST JEAN,ST PIERRE DES CORPS,26,11,29,90
BORDEAUX ST JEAN,STRASBOURG,11,6,29,66
CHAMPAGNE ARDENNE TGV,LORRAINE TGV,29,11,29,138
CHAMPAGNE ARDENNE TGV,MEUSE TGV,13,11,29,127
CHAMPAGNE ARDENNE TGV,STRASBOURG,29,11,29,138
LAVAL,AEROPORT ROISSY CDG 2 TGV,2,1,2,2
LAVAL,CHAMPAGNE ARDENNE TGV,2,2,2,1
LAVAL,LE MANS,11,11,11,3
LAVAL,LORRAINE TGV,2,2,2,1
LAVAL,MARNE LA VALLEE CHESSY,2,1,2,2
LAVAL,MASSY TGV,2,1,2,2
LAVAL,STRASBOURG,2,2,2,1
LE MANS,AEROPORT ROISSY CDG 2 TGV,22,9,29,117
LE MANS,CHAMPAGNE ARDENNE TGV,11,8,29,99
LE MANS,LORRAINE TGV,11,8,29,99
LE MANS,MARNE LA VALLEE CHESSY,22,9,29,117
LE MANS,MASSY TGV,23,9,29,115
LE MANS,MEUSE TGV,11,3,11,52
LE MANS,STRASBOURG,11,8,29,99
LORIENT,AURAY,11,11,11,1
LORIENT,LE MANS,11,11,11,1
LORIENT,RENNES,11,11,11,1
LORIENT,VANNES,11,11,11,1
LORRAINE TGV,STRASBOURG,29,11,29,138
MARNE LA VALLEE CHESSY,AEROPORT ROISSY CDG 2 TGV,3,1,6,45
MARNE LA VALLEE CHESSY,CHAMPAGNE ARDENNE TGV,11,11,29,107
MARNE LA VALLEE CHESSY,LORRAINE TGV,11,11,29,107
MARNE LA VALLEE CHESSY,MEUSE TGV,11,11,29,86
MARNE LA VALLEE CHESSY,STRASBOURG,11,11,29,107
MASSY TGV,AEROPORT ROISSY CDG 2 TGV,3,1,6,45
MASSY TGV,CHAMPAGNE ARDENNE TGV,11,11,29,104
MASSY TGV,LORRAINE TGV,11,11,29,104
MASSY TGV,MARNE LA VALLEE CHESSY,3,1,5,54
MASSY TGV,MEUSE TGV,11,11,29,83
MASSY TGV,STRASBOURG,11,11,29,104
MEUSE TGV,LORRAINE TGV,13,11,29,127
MEUSE TGV,STRASBOURG,13,11,29,127
NANTES,AEROPORT ROISSY CDG 2 TGV,26,11,29,109
NANTES,ANGERS SAINT LAUD,12,11,29,164
NANTES,CHAMPAGNE ARDENNE TGV,11,7,29,86
NANTES,LE MANS,12,11,29,164
NANTES,LORRAINE TGV,11,7,29,86
NANTES,MARNE LA VALLEE CHESSY,26,11,29,109
NANTES,MASSY TGV,26,10,29,107
NANTES,STRASBOURG,11,7,29,86
POITIERS,CHAMPAGNE ARDENNE TGV,11,6,29,66
POITIERS,LORRAINE TGV,11,6,29,66
POITIERS,MARNE LA VALLEE CHESSY,11,3,29,63
POITIERS,MASSY TGV,11,3,29,60
POITIERS,MEUSE TGV,11,6,29,66
POITIERS,ST PIERRE DES CORPS,26,11,29,90
POITIERS,STRASBOURG,11,6,29,66
QUIMPER,AURAY,11,11,11,1
QUIMPER,LE MANS,11,11,11,1
QUIMPER,LORIENT,11,11,11,1
QUIMPER,RENNES,11,11,11,1
QUIMPER,VANNES,11,11,11,1
RENNES,AEROPORT ROISSY CDG 2 TGV,3,2,11,59
RENNES,CHAMPAGNE ARDENNE TGV,11,3,11,53
RENNES,LAVAL,11,11,11,3
RENNES,LE MANS,11,10,29,104
RENNES,LORRAINE TGV,11,3,11,53
RENNES,MARNE LA VALLEE CHESSY,3,2,11,59
RENNES,MASSY TGV,3,2,11,59
RENNES,MEUSE TGV,11,3,11,52
RENNES,STRASBOURG,11,3,11,53
ST PIERRE DES CORPS,CHAMPAGNE ARDENNE TGV,11,6,29,62
ST PIERRE DES CORPS,LORRAINE TGV,11,6,29,62
ST PIERRE DES CORPS,MARNE LA VALLEE CHESSY,11,3,29,63
ST PIERRE DES CORPS,MASSY TGV,11,3,29,60
ST PIERRE DES CORPS,MEUSE TGV,11,6,29,62
ST PIERRE DES CORPS,STRASBOURG,11,6,29,62
VANNES,LE MANS,11,11,11,1
VANNES,RENNES,11,11,11,1
