origine,destination,first_open_delta_median,first_open_delta_p25,first_open_delta_p75,n_departure_dates
AEROPORT ROISSY CDG 2 TGV,BRUXELLES MIDI,11,5,18,163
AEROPORT ROISSY CDG 2 TGV,LILLE (intramuros),27,11,29,185
AEROPORT ROISSY CDG 2 TGV,TGV HAUTE PICARDIE,11,5,18,163
ANGERS SAINT LAUD,AEROPORT ROISSY CDG 2 TGV,11,9,29,130
ANGERS SAINT LAUD,BRUXELLES MIDI,4,2,11,62
ANGERS SAINT LAUD,LE MANS,26,11,29,197
ANGERS SAINT LAUD,LILLE (intramuros),11,8,29,127
ANGERS SAINT LAUD,MARNE LA VALLEE CHESSY,11,9,29,130
ANGERS SAINT LAUD,MASSY TGV,11,9,29,121
ANGERS SAINT LAUD,TGV HAUTE PICARDIE,4,2,11,62
LAVAL,AEROPORT ROISSY CDG 2 TGV,11,3,11,100
LAVAL,BRUXELLES MIDI,4,2,11,62
LAVAL,LE MANS,11,8,29,189
LAVAL,LILLE (intramuros),11,3,11,100
LAVAL,MARNE LA VALLEE CHESSY,11,3,11,100
LAVAL,MASSY TGV,11,3,11,91
LAVAL,TGV HAUTE PICARDIE,4,2,11,62
LE MANS,AEROPORT ROISSY CDG 2 TGV,11,9,29,147
LE MANS,BRUXELLES MIDI,6,3,11,82
LE MANS,LILLE (intramuros),11,9,29,145
LE MANS,MARNE LA VALLEE CHESSY,11,9,29,147
LE MANS,MASSY TGV,11,9,29,138
LE MANS,TGV HAUTE PICARDIE,6,3,11,82
LILLE (intramuros),BRUXELLES MIDI,28,11,29,217
MARNE LA VALLEE CHESSY,AEROPORT ROISSY CDG 2 TGV,3,3,6,124
MARNE LA VALLEE CHESSY,BRUXELLES MIDI,11,5,18,163
MARNE LA VALLEE CHESSY,LILLE (intramuros),27,11,29,185
MARNE LA VALLEE CHESSY,TGV HAUTE PICARDIE,11,5,18,163
MASSY TGV,AEROPORT ROISSY CDG 2 TGV,3,3,6,116
MASSY TGV,BRUXELLES MIDI,11,5,18,154
MASSY TGV,LILLE (intramuros),26,11,29,176
MASSY TGV,MARNE LA VALLEE CHESSY,3,3,6,116
MASSY TGV,TGV HAUTE PICARDIE,11,5,18,154
NANTES,AEROPORT ROISSY CDG 2 TGV,11,10,29,137
NANTES,ANGERS SAINT LAUD,26,11,29,197
NANTES,BRUXELLES MIDI,4,2,11,62
NANTES,LE MANS,28,11,29,198
NANTES,LILLE (intramuros),11,9,29,128
NANTES,MARNE LA VALLEE CHESSY,11,10,29,137
NANTES,MASSY TGV,11,9,29,128
NANTES,TGV HAUTE PICARDIE,4,2,11,62
RENNES,AEROPORT ROISSY CDG 2 TGV,11,3,11,99
RENNES,BRUXELLES MIDI,4,2,11,62
RENNES,LAVAL,11,8,29,189
RENNES,LE MANS,11,8,29,189
RENNES,LILLE (intramuros),11,3,11,100
RENNES,MARNE LA VALLEE CHESSY,11,3,11,99
RENNES,MASSY TGV,11,3,11,90
RENNES,TGV HAUTE PICARDIE,4,2,11,62
TGV HAUTE PICARDIE,BRUXELLES MIDI,14,4,27,214
TGV HAUTE PICARDIE,LILLE (intramuros),13,4,28,215
