origine,destination,first_open_delta_median,first_open_delta_p25,first_open_delta_p75,n_departure_dates
AEROPORT ROISSY CDG 2 TGV,ANGERS SAINT LAUD,11,3,27,138
AEROPORT ROISSY CDG 2 TGV,ANGOULEME,7,2,11,29
AEROPORT ROISSY CDG 2 TGV,BORDEAUX ST JEAN,7,2,11,29
AEROPORT ROISSY CDG 2 TGV,LE MANS,11,3,29,97
AEROPORT ROISSY CDG 2 TGV,MARNE LA VALLEE CHESSY,5,3,11,116
AEROPORT ROISSY CDG 2 TGV,MASSY TGV,6,3,11,110
AEROPORT ROISSY CDG 2 TGV,NANTES,11,3,27,138
AEROPORT ROISSY CDG 2 TGV,POITIERS,7,2,11,29
AEROPORT ROISSY CDG 2 TGV,RENNES,3,3,26,47
AEROPORT ROISSY CDG 2 TGV,ST PIERRE DES CORPS,8,3,11,90
ANGERS SAINT LAUD,NANTES,11,11,26,201
ANGOULEME,BORDEAUX ST JEAN,11,9,29,63
AURAY,LORIENT,0,0,0,1
AURAY,QUIMPER,0,0,0,1
CHAMPAGNE ARDENNE TGV,AEROPORT ROISSY CDG 2 TGV,11,9,29,137
CHAMPAGNE ARDENNE TGV,ANGERS SAINT LAUD,11,6,11,118
CHAMPAGNE ARDENNE TGV,ANGOULEME,11,3,11,25
CHAMPAGNE ARDENNE TGV,BORDEAUX ST JEAN,11,3,11,25
CHAMPAGNE ARDENNE TGV,LE MANS,11,6,29,92
CHAMPAGNE ARDENNE TGV,MARNE LA VALLEE CHESSY,11,9,29,137
CHAMPAGNE ARDENNE TGV,MASSY TGV,11,8,29,128
CHAMPAGNE ARDENNE TGV,NANTES,11,6,11,118
CHAMPAGNE ARDENNE TGV,POITIERS,11,3,11,25
CHAMPAGNE ARDENNE TGV,RENNES,3,3,26,42
CHAMPAGNE ARDENNE TGV,ST PIERRE DES CORPS,11,3,11,65
LE MANS,ANGERS SAINT LAUD,11,10,18,174
LE MANS,AURAY,0,0,0,1
LE MANS,LORIENT,0,0,0,1
LE MANS,NANTES,11,10,18,174
LE MANS,QUIMPER,0,0,0,1
LE MANS,RENNES,11,4,22,157
LE MANS,VANNES,0,0,0,1
LORIENT,QUIMPER,0,0,0,1
LORRAINE TGV,AEROPORT ROISSY CDG 2 TGV,11,9,29,137
LORRAINE TGV,ANGERS SAINT LAUD,11,6,11,118
LORRAINE TGV,ANGOULEME,11,3,14,24
LORRAINE TGV,BORDEAUX ST JEAN,11,3,14,24
LORRAINE TGV,CHAMPAGNE ARDENNE TGV,21,11,29,191
LORRAINE TGV,LE MANS,11,6,29,92
LORRAINE TGV,MARNE LA VALLEE CHESSY,11,9,29,137
LORRAINE TGV,MASSY TGV,11,8,29,128
LORRAINE TGV,MEUSE TGV,24,11,29,170
LORRAINE TGV,NANTES,11,6,11,118
LORRAINE TGV,POITIERS,11,3,14,24
LORRAINE TGV,RENNES,3,3,26,42
LORRAINE TGV,ST PIERRE DES CORPS,11,3,11,65
MARNE LA VALLEE CHESSY,ANGERS SAINT LAUD,11,3,27,138
MARNE LA VALLEE CHESSY,ANGOULEME,7,2,11,29
MARNE LA VALLEE CHESSY,BORDEAUX ST JEAN,7,2,11,29
MARNE LA VALLEE CHESSY,LE MANS,11,3,29,97
MARNE LA VALLEE CHESSY,MASSY TGV,6,3,11,110
MARNE LA VALLEE CHESSY,NANTES,11,3,27,138
MARNE LA VALLEE CHESSY,POITIERS,7,2,11,29
MARNE LA VALLEE CHESSY,RENNES,3,3,26,47
MARNE LA VALLEE CHESSY,ST PIERRE DES CORPS,8,3,11,90
MASSY TGV,ANGERS SAINT LAUD,11,3,29,129
MASSY TGV,ANGOULEME,7,2,11,23
MASSY TGV,BORDEAUX ST JEAN,7,2,11,23
MASSY TGV,LE MANS,6,3,29,88
MASSY TGV,NANTES,11,3,29,129
MASSY TGV,POITIERS,7,2,11,23
MASSY TGV,RENNES,3,3,11,38
MASSY TGV,ST PIERRE DES CORPS,8,3,11,83
MEUSE TGV,AEROPORT ROISSY CDG 2 TGV,11,8,29,114
MEUSE TGV,ANGERS SAINT LAUD,11,6,29,62
MEUSE TGV,ANGOULEME,11,3,14,24
MEUSE TGV,BORDEAUX ST JEAN,11,3,14,24
MEUSE TGV,CHAMPAGNE ARDENNE TGV,24,11,29,170
MEUSE TGV,LE MANS,11,4,29,84
MEUSE TGV,MARNE LA VALLEE CHESSY,11,8,29,114
MEUSE TGV,MASSY TGV,11,8,29,107
MEUSE TGV,NANTES,11,6,29,62
MEUSE TGV,POITIERS,11,3,14,24
MEUSE TGV,RENNES,3,3,27,36
MEUSE TGV,ST PIERRE DES CORPS,11,3,14,24
POITIERS,ANGOULEME,11,9,29,63
POITIERS,BORDEAUX ST JEAN,11,9,29,63
RENNES,AURAY,0,0,0,1
RENNES,LORIENT,0,0,0,1
RENNES,QUIMPER,0,0,0,1
RENNES,VANNES,0,0,0,1
ST PIERRE DES CORPS,ANGERS SAINT LAUD,11,9,22,107
ST PIERRE DES CORPS,ANGOULEME,11,9,29,63
ST PIERRE DES CORPS,BORDEAUX ST JEAN,11,9,29,63
ST PIERRE DES CORPS,NANTES,11,9,22,107
ST PIERRE DES CORPS,POITIERS,11,9,29,63
STRASBOURG,AEROPORT ROISSY CDG 2 TGV,11,9,29,137
STRASBOURG,ANGERS SAINT LAUD,11,6,11,118
STRASBOURG,ANGOULEME,11,3,11,25
STRASBOURG,BORDEAUX ST JEAN,11,3,11,25
STRASBOURG,CHAMPAGNE ARDENNE TGV,21,11,29,191
STRASBOURG,LE MANS,11,6,29,92
STRASBOURG,LORRAINE TGV,21,11,29,191
STRASBOURG,MARNE LA VALLEE CHESSY,11,9,29,137
STRASBOURG,MASSY TGV,11,8,29,128
STRASBOURG,MEUSE TGV,24,11,29,170
STRASBOURG,NANTES,11,6,11,118
STRASBOURG,POITIERS,11,3,11,25
STRASBOURG,RENNES,3,3,26,42
STRASBOURG,ST PIERRE DES CORPS,11,3,11,65
VANNES,AURAY,0,0,0,1
VANNES,LORIENT,0,0,0,1
VANNES,QUIMPER,0,0,0,1
