origine,destination,first_open_delta_median,first_open_delta_p25,first_open_delta_p75,n_departure_dates
AEROPORT ROISSY CDG 2 TGV,BRUXELLES MIDI,20,11,29,228
AEROPORT ROISSY CDG 2 TGV,LILLE (intramuros),20,11,29,230
AEROPORT ROISSY CDG 2 TGV,TGV HAUTE PICARDIE,12,4,29,140
CHAMPAGNE ARDENNE TGV,AEROPORT ROISSY CDG 2 TGV,11,4,28,164
CHAMPAGNE ARDENNE TGV,BRUXELLES MIDI,11,4,29,149
CHAMPAGNE ARDENNE TGV,LILLE (intramuros),11,4,29,154
CHAMPAGNE ARDENNE TGV,TGV HAUTE PICARDIE,11,3,29,109
LILLE (intramuros),BRUXELLES MIDI,29,18,29,241
LORRAINE TGV,AEROPORT ROISSY CDG 2 TGV,11,4,28,164
LORRAINE TGV,BRUXELLES MIDI,11,4,29,149
LORRAINE TGV,CHAMPAGNE ARDENNE TGV,11,3,29,185
LORRAINE TGV,LILLE (intramuros),11,4,29,154
LORRAINE TGV,MEUSE TGV,11,3,29,185
LORRAINE TGV,TGV HAUTE PICARDIE,11,3,29,109
MEUSE TGV,AEROPORT ROISSY CDG 2 TGV,11,4,28,164
MEUSE TGV,BRUXELLES MIDI,11,4,29,149
MEUSE TGV,CHAMPAGNE ARDENNE TGV,11,3,29,186
MEUSE TGV,LILLE (intramuros),11,4,29,154
MEUSE TGV,TGV HAUTE PICARDIE,11,3,29,109
STRASBOURG,AEROPORT ROISSY CDG 2 TGV,11,3,24,169
STRASBOURG,BRUXELLES MIDI,11,4,29,149
STRASBOURG,CHAMPAGNE ARDENNE TGV,11,3,29,185
STRASBOURG,LILLE (intramuros),11,4,29,154
STRASBOURG,LORRAINE TGV,11,3,29,186
STRASBOURG,MEUSE TGV,11,3,29,185
STRASBOURG,TGV HAUTE PICARDIE,11,3,29,109
TGV HAUTE PICARDIE,BRUXELLES MIDI,11,3,29,117
TGV HAUTE PICARDIE,LILLE (intramuros),14,3,29,120
