origine,destination,first_open_delta_median,first_open_delta_p25,first_open_delta_p75,n_departure_dates
AEROPORT ROISSY CDG 2 TGV,ANGOULEME,11,3,11,106
AEROPORT ROISSY CDG 2 TGV,BORDEAUX ST JEAN,11,3,11,107
AEROPORT ROISSY CDG 2 TGV,MARNE LA VALLEE CHESSY,3,1,4,42
AEROPORT ROISSY CDG 2 TGV,MASSY TGV,3,1,4,42
AEROPORT ROISSY CDG 2 TGV,POITIERS,11,3,11,107
AEROPORT ROISSY CDG 2 TGV,ST PIERRE DES CORPS,3,1,11,118
ANGOULEME,BORDEAUX ST JEAN,11,11,29,160
ARRAS,AEROPORT ROISSY CDG 2 TGV,11,6,21,152
ARRAS,ANGOULEME,11,3,11,87
ARRAS,BORDEAUX ST JEAN,11,3,11,88
ARRAS,MARNE LA VALLEE CHESSY,11,6,21,152
ARRAS,MASSY TGV,11,6,22,149
ARRAS,POITIERS,11,3,11,88
ARRAS,ST PIERRE DES CORPS,11,3,11,64
ARRAS,TGV HAUTE PICARDIE,11,10,29,114
DOUAI,AEROPORT ROISSY CDG 2 TGV,11,6,21,152
DOUAI,ANGOULEME,11,3,11,87
DOUAI,ARRAS,11,10,29,114
DOUAI,BORDEAUX ST JEAN,11,3,11,88
DOUAI,MARNE LA VALLEE CHESSY,11,6,21,152
DOUAI,MASSY TGV,11,6,22,149
DOUAI,POITIERS,11,3,11,88
DOUAI,ST PIERRE DES CORPS,11,3,11,64
DOUAI,TGV HAUTE PICARDIE,11,10,29,114
LILLE (intramuros),AEROPORT ROISSY CDG 2 TGV,11,6,25,165
LILLE (intramuros),ANGOULEME,11,3,11,102
LILLE (intramuros),ARRAS,11,10,29,114
LILLE (intramuros),BORDEAUX ST JEAN,11,3,11,103
LILLE (intramuros),DOUAI,11,10,29,114
LILLE (intramuros),MARNE LA VALLEE CHESSY,11,6,25,165
LILLE (intramuros),MASSY TGV,11,6,25,162
LILLE (intramuros),POITIERS,11,3,11,103
LILLE (intramuros),ST PIERRE DES CORPS,5,2,11,87
LILLE (intramuros),TGV HAUTE PICARDIE,11,10,29,114
MARNE LA VALLEE CHESSY,ANGOULEME,11,3,11,106
MARNE LA VALLEE CHESSY,BORDEAUX ST JEAN,11,3,11,107
MARNE LA VALLEE CHESSY,MASSY TGV,3,1,4,42
MARNE LA VALLEE CHESSY,POITIERS,11,3,11,107
MARNE LA VALLEE CHESSY,ST PIERRE DES CORPS,3,1,11,118
MASSY TGV,ANGOULEME,11,3,11,104
MASSY TGV,BORDEAUX ST JEAN,11,3,11,105
MASSY TGV,POITIERS,11,3,11,105
MASSY TGV,ST PIERRE DES CORPS,3,1,11,116
POITIERS,ANGOULEME,11,11,29,160
POITIERS,BORDEAUX ST JEAN,11,11,29,160
ST PIERRE DES CORPS,ANGOULEME,11,9,22,150
ST PIERRE DES CORPS,BORDEAUX ST JEAN,11,9,23,150
ST PIERRE DES CORPS,POITIERS,11,9,23,150
TGV HAUTE PICARDIE,AEROPORT ROISSY CDG 2 TGV,11,6,21,152
TGV HAUTE PICARDIE,ANGOULEME,11,3,11,87
TGV HAUTE PICARDIE,BORDEAUX ST JEAN,11,3,11,88
TGV HAUTE PICARDIE,MARNE LA VALLEE CHESSY,11,6,21,152
TGV HAUTE PICARDIE,MASSY TGV,11,6,22,149
TGV HAUTE PICARDIE,POITIERS,11,3,11,88
TGV HAUTE PICARDIE,ST PIERRE DES CORPS,11,3,11,64
