origine,destination,first_open_delta_median,first_open_delta_p25,first_open_delta_p75,n_departure_dates
AEROPORT ROISSY CDG 2 TGV,ANGERS SAINT LAUD,8,3,11,172
AEROPORT ROISSY CDG 2 TGV,LAVAL,3,2,10,106
AEROPORT ROISSY CDG 2 TGV,LE MANS,9,3,11,187
AEROPORT ROISSY CDG 2 TGV,MARNE LA VALLEE CHESSY,5,2,10,154
AEROPORT ROISSY CDG 2 TGV,MASSY TGV,5,2,10,149
AEROPORT ROISSY CDG 2 TGV,NANTES,8,3,11,178
AEROPORT ROISSY CDG 2 TGV,RENNES,9,3,11,181
AEROPORT ROISSY CDG 2 TGV,ST PIERRE DES CORPS,6,3,11,139
ANGERS SAINT LAUD,NANTES,11,6,11,277
ARRAS,AEROPORT ROISSY CDG 2 TGV,7,3,11,148
ARRAS,ANGERS SAINT LAUD,8,3,11,138
ARRAS,MARNE LA VALLEE CHESSY,7,3,11,147
ARRAS,MASSY TGV,7,3,11,147
ARRAS,NANTES,8,3,11,138
ARRAS,ST PIERRE DES CORPS,7,3,11,132
ARRAS,TGV HAUTE PICARDIE,11,9,20,311
BRUXELLES MIDI,AEROPORT ROISSY CDG 2 TGV,6,3,11,165
BRUXELLES MIDI,ANGERS SAINT LAUD,3,2,4,25
BRUXELLES MIDI,LAVAL,3,3,10,93
BRUXELLES MIDI,LE MANS,3,3,10,101
BRUXELLES MIDI,LILLE (intramuros),29,11,29,301
BRUXELLES MIDI,MARNE LA VALLEE CHESSY,6,3,11,163
BRUXELLES MIDI,MASSY TGV,5,3,11,155
BRUXELLES MIDI,NANTES,3,2,4,25
BRUXELLES MIDI,RENNES,3,3,10,93
BRUXELLES MIDI,TGV HAUTE PICARDIE,11,6,11,188
DOUAI,AEROPORT ROISSY CDG 2 TGV,7,3,11,145
DOUAI,ANGERS SAINT LAUD,8,3,11,135
DOUAI,ARRAS,11,9,20,305
DOUAI,MARNE LA VALLEE CHESSY,7,3,11,144
DOUAI,MASSY TGV,7,3,11,144
DOUAI,NANTES,8,3,11,135
DOUAI,ST PIERRE DES CORPS,7,3,11,130
DOUAI,TGV HAUTE PICARDIE,11,9,20,305
LAVAL,RENNES,5,3,11,224
LE MANS,ANGERS SAINT LAUD,7,3,12,121
LE MANS,LAVAL,5,3,11,223
LE MANS,NANTES,8,3,13,122
LE MANS,RENNES,11,5,20,290
LILLE (intramuros),AEROPORT ROISSY CDG 2 TGV,11,3,17,267
LILLE (intramuros),ANGERS SAINT LAUD,8,3,11,170
LILLE (intramuros),ARRAS,11,9,20,311
LILLE (intramuros),DOUAI,11,9,20,305
LILLE (intramuros),LAVAL,3,3,10,98
LILLE (intramuros),LE MANS,8,3,11,176
LILLE (intramuros),MARNE LA VALLEE CHESSY,11,3,17,266
LILLE (intramuros),MASSY TGV,11,3,14,257
LILLE (intramuros),NANTES,8,3,11,171
LILLE (intramuros),RENNES,7,3,11,165
LILLE (intramuros),ST PIERRE DES CORPS,7,3,11,132
LILLE (intramuros),TGV HAUTE PICARDIE,11,11,29,320
MARNE LA VALLEE CHESSY,ANGERS SAINT LAUD,8,3,11,172
MARNE LA VALLEE CHESSY,LAVAL,3,2,10,106
MARNE LA VALLEE CHESSY,LE MANS,9,3,11,187
MARNE LA VALLEE CHESSY,MASSY TGV,5,2,10,151
MARNE LA VALLEE CHESSY,NANTES,8,3,11,178
MARNE LA VALLEE CHESSY,RENNES,9,3,11,181
MARNE LA VALLEE CHESSY,ST PIERRE DES CORPS,6,3,11,139
MASSY TGV,ANGERS SAINT LAUD,7,3,11,163
MASSY TGV,LAVAL,3,2,8,99
MASSY TGV,LE MANS,9,3,11,178
MASSY TGV,NANTES,7,3,11,169
MASSY TGV,RENNES,8,3,11,172
MASSY TGV,ST PIERRE DES CORPS,6,3,11,139
ST PIERRE DES CORPS,ANGERS SAINT LAUD,11,4,11,244
ST PIERRE DES CORPS,NANTES,11,4,11,244
TGV HAUTE PICARDIE,AEROPORT ROISSY CDG 2 TGV,7,3,11,180
TGV HAUTE PICARDIE,ANGERS SAINT LAUD,8,3,11,157
TGV HAUTE PICARDIE,LAVAL,3,3,8,91
TGV HAUTE PICARDIE,LE MANS,6,3,11,102
TGV HAUTE PICARDIE,MARNE LA VALLEE CHESSY,7,3,11,179
TGV HAUTE PICARDIE,MASSY TGV,7,3,11,179
TGV HAUTE PICARDIE,NANTES,8,3,11,158
TGV HAUTE PICARDIE,RENNES,3,3,8,91
TGV HAUTE PICARDIE,ST PIERRE DES CORPS,7,3,11,132
