origine,destination,first_open_delta_median,first_open_delta_p25,first_open_delta_p75,n_departure_dates
AEROPORT ROISSY CDG 2 TGV,CHAMPAGNE ARDENNE TGV,3,3,11,96
AEROPORT ROISSY CDG 2 TGV,LORRAINE TGV,3,3,11,96
AEROPORT ROISSY CDG 2 TGV,MEUSE TGV,3,3,11,82
AEROPORT ROISSY CDG 2 TGV,STRASBOURG,3,3,11,98
BRUXELLES MIDI,AEROPORT ROISSY CDG 2 TGV,11,6,20,202
BRUXELLES MIDI,CHAMPAGNE ARDENNE TGV,3,3,11,92
BRUXELLES MIDI,LILLE (intramuros),29,11,29,259
BRUXELLES MIDI,LORRAINE TGV,3,3,11,92
BRUXELLES MIDI,MARNE LA VALLEE CHESSY,3,3,3,56
BRUXELLES MIDI,MEUSE TGV,3,3,11,77
BRUXELLES MIDI,STRASBOURG,3,3,11,92
CHAMPAGNE ARDENNE TGV,LORRAINE TGV,3,3,11,123
CHAMPAGNE ARDENNE TGV,MEUSE TGV,3,3,11,86
CHAMPAGNE ARDENNE TGV,STRASBOURG,3,3,11,123
LILLE (intramuros),AEROPORT ROISSY CDG 2 TGV,11,6,18,206
LILLE (intramuros),CHAMPAGNE ARDENNE TGV,3,3,11,92
LILLE (intramuros),LORRAINE TGV,3,3,11,92
LILLE (intramuros),MARNE LA VALLEE CHESSY,3,3,3,56
LILLE (intramuros),MEUSE TGV,3,3,11,77
LILLE (intramuros),STRASBOURG,3,3,11,92
LORRAINE TGV,STRASBOURG,3,3,11,125
MARNE LA VALLEE CHESSY,CHAMPAGNE ARDENNE TGV,3,2,3,50
MARNE LA VALLEE CHESSY,LORRAINE TGV,3,2,3,50
MARNE LA VALLEE CHESSY,STRASBOURG,3,2,4,52
MEUSE TGV,LORRAINE TGV,3,3,11,88
MEUSE TGV,STRASBOURG,3,3,11,88
