origine,destination,first_open_delta_median,first_open_delta_p25,first_open_delta_p75,n_departure_dates
AEROPORT ROISSY CDG 2 TGV,AGDE,3,3,9,14
AEROPORT ROISSY CDG 2 TGV,AIME LA PLAGNE,2,2,3,2
AEROPORT ROISSY CDG 2 TGV,AIX EN PROVENCE TGV,11,11,29,117
AEROPORT ROISSY CDG 2 TGV,ALBERTVILLE,2,2,3,2
AEROPORT ROISSY CDG 2 TGV,AVIGNON TGV,11,11,29,128
AEROPORT ROISSY CDG 2 TGV,BEZIERS,3,3,9,14
AEROPORT ROISSY CDG 2 TGV,BOURG SAINT MAURICE,2,2,3,2
AEROPORT ROISSY CDG 2 TGV,CHAMBERY CHALLES LES EAUX,3,2,3,3
AEROPORT ROISSY CDG 2 TGV,LANDRY,2,2,3,2
AEROPORT ROISSY CDG 2 TGV,LYON (intramuros),11,11,29,151
AEROPORT ROISSY CDG 2 TGV,LYON ST EXUPERY TGV.,27,27,27,1
AEROPORT ROISSY CDG 2 TGV,MARNE LA VALLEE CHESSY,3,2,6,119
AEROPORT ROISSY CDG 2 TGV,MARSEILLE ST CHARLES,11,11,29,128
AEROPORT ROISSY CDG 2 TGV,MODANE,3,3,3,1
AEROPORT ROISSY CDG 2 TGV,MONTPELLIER SAINT ROCH,10,3,11,91
AEROPORT ROISSY CDG 2 TGV,MONTPELLIER SUD DE FRANCE,3,3,9,27
AEROPORT ROISSY CDG 2 TGV,MOUTIERS SALINS BRIDES LES BAINS,2,2,3,2
AEROPORT ROISSY CDG 2 TGV,NARBONNE,3,3,9,14
AEROPORT ROISSY CDG 2 TGV,NIMES CENTRE,10,3,11,91
AEROPORT ROISSY CDG 2 TGV,NIMES PONT DU GARD,3,3,9,27
AEROPORT ROISSY CDG 2 TGV,PERPIGNAN,3,3,9,14
AEROPORT ROISSY CDG 2 TGV,SAINT AVRE LA CHAMBRE,3,3,3,1
AEROPORT ROISSY CDG 2 TGV,SETE,3,3,9,14
AEROPORT ROISSY CDG 2 TGV,ST JEAN DE MAURIENNE ARVAN,3,3,3,1
AEROPORT ROISSY CDG 2 TGV,ST MICHEL VALLOIRE,3,3,3,1
AEROPORT ROISSY CDG 2 TGV,VALENCE TGV AUVERGNE RHONE ALPES,11,8,18,121
AGDE,BEZIERS,11,3,16,54
AGDE,NARBONNE,11,3,16,54
AGDE,PERPIGNAN,11,3,16,54
AIME LA PLAGNE,BOURG SAINT MAURICE,3,3,16,3
AIME LA PLAGNE,LANDRY,3,3,16,3
AIX EN PROVENCE TGV,MARSEILLE ST CHARLES,29,11,29,190
ALBERTVILLE,AIME LA PLAGNE,3,3,16,3
ALBERTVILLE,BOURG SAINT MAURICE,3,3,16,3
ALBERTVILLE,LANDRY,3,3,16,3
ALBERTVILLE,MOUTIERS SALINS BRIDES LES BAINS,3,3,16,3
ARRAS,AEROPORT ROISSY CDG 2 TGV,26,11,29,145
ARRAS,AIME LA PLAGNE,2,2,3,2
ARRAS,AIX EN PROVENCE TGV,29,11,29,77
ARRAS,ALBERTVILLE,2,2,3,2
ARRAS,AVIGNON TGV,29,11,29,77
ARRAS,BOURG SAINT MAURICE,2,2,3,2
ARRAS,CHAMBERY CHALLES LES EAUX,3,2,3,3
ARRAS,LANDRY,2,2,3,2
ARRAS,LYON (intramuros),11,11,29,87
ARRAS,MARNE LA VALLEE CHESSY,26,11,29,145
ARRAS,MARSEILLE ST CHARLES,29,11,29,77
ARRAS,MODANE,3,3,3,1
ARRAS,MOUTIERS SALINS BRIDES LES BAINS,2,2,3,2
ARRAS,SAINT AVRE LA CHAMBRE,3,3,3,1
ARRAS,ST JEAN DE MAURIENNE ARVAN,3,3,3,1
ARRAS,ST MICHEL VALLOIRE,3,3,3,1
ARRAS,TGV HAUTE PICARDIE,19,11,29,166
AVIGNON TGV,AIX EN PROVENCE TGV,29,11,29,191
AVIGNON TGV,MARSEILLE ST CHARLES,29,11,29,196
BEZIERS,NARBONNE,11,3,16,54
BEZIERS,PERPIGNAN,11,3,16,54
BRUXELLES MIDI,AEROPORT ROISSY CDG 2 TGV,15,7,29,130
BRUXELLES MIDI,AGDE,3,3,9,14
BRUXELLES MIDI,AIX EN PROVENCE TGV,6,3,11,13
BRUXELLES MIDI,AVIGNON TGV,11,3,15,73
BRUXELLES MIDI,BEZIERS,3,3,9,14
BRUXELLES MIDI,LILLE (intramuros),29,11,29,198
BRUXELLES MIDI,LYON (intramuros),11,11,29,100
BRUXELLES MIDI,MARNE LA VALLEE CHESSY,15,6,29,127
BRUXELLES MIDI,MARSEILLE ST CHARLES,11,3,15,73
BRUXELLES MIDI,MONTPELLIER SAINT ROCH,4,3,11,70
BRUXELLES MIDI,MONTPELLIER SUD DE FRANCE,3,2,3,15
BRUXELLES MIDI,NARBONNE,3,3,9,14
BRUXELLES MIDI,NIMES CENTRE,4,3,11,70
BRUXELLES MIDI,NIMES PONT DU GARD,3,2,3,15
BRUXELLES MIDI,PERPIGNAN,3,3,9,14
BRUXELLES MIDI,SETE,3,3,9,14
BRUXELLES MIDI,TGV HAUTE PICARDIE,11,6,29,163
BRUXELLES MIDI,VALENCE TGV AUVERGNE RHONE ALPES,11,3,11,85
CHAMBERY CHALLES LES EAUX,AIME LA PLAGNE,3,3,16,3
CHAMBERY CHALLES LES EAUX,ALBERTVILLE,3,3,16,3
CHAMBERY CHALLES LES EAUX,BOURG SAINT MAURICE,3,3,16,3
CHAMBERY CHALLES LES EAUX,LANDRY,3,3,16,3
CHAMBERY CHALLES LES EAUX,MODANE,3,3,3,1
CHAMBERY CHALLES LES EAUX,MOUTIERS SALINS BRIDES LES BAINS,3,3,16,3
CHAMBERY CHALLES LES EAUX,SAINT AVRE LA CHAMBRE,3,3,3,1
CHAMBERY CHALLES LES EAUX,ST JEAN DE MAURIENNE ARVAN,3,3,3,1
CHAMBERY CHALLES LES EAUX,ST MICHEL VALLOIRE,3,3,3,1
DOUAI,AEROPORT ROISSY CDG 2 TGV,4,2,8,4
DOUAI,AIME LA PLAGNE,2,2,3,2
DOUAI,ALBERTVILLE,2,2,3,2
DOUAI,ARRAS,11,4,11,10
DOUAI,BOURG SAINT MAURICE,2,2,3,2
DOUAI,CHAMBERY CHALLES LES EAUX,3,2,3,3
DOUAI,LANDRY,2,2,3,2
DOUAI,MARNE LA VALLEE CHESSY,4,2,8,4
DOUAI,MODANE,3,3,3,1
DOUAI,MOUTIERS SALINS BRIDES LES BAINS,2,2,3,2
DOUAI,SAINT AVRE LA CHAMBRE,3,3,3,1
DOUAI,ST JEAN DE MAURIENNE ARVAN,3,3,3,1
DOUAI,ST MICHEL VALLOIRE,3,3,3,1
DOUAI,TGV HAUTE PICARDIE,11,4,11,10
LANDRY,BOURG SAINT MAURICE,3,3,16,3
LILLE (intramuros),AEROPORT ROISSY CDG 2 TGV,29,11,29,193
LILLE (intramuros),AGDE,3,3,9,14
LILLE (intramuros),AIME LA PLAGNE,2,2,3,2
LILLE (intramuros),AIX EN PROVENCE TGV,11,11,29,111
LILLE (intramuros),ALBERTVILLE,2,2,3,2
LILLE (intramuros),ARRAS,19,11,29,166
LILLE (intramuros),AVIGNON TGV,11,11,29,122
LILLE (intramuros),BEZIERS,3,3,9,14
LILLE (intramuros),BOURG SAINT MAURICE,2,2,3,2
LILLE (intramuros),CHAMBERY CHALLES LES EAUX,3,2,3,3
LILLE (intramuros),DOUAI,11,4,11,10
LILLE (intramuros),LANDRY,2,2,3,2
LILLE (intramuros),LYON (intramuros),11,11,29,148
LILLE (intramuros),LYON ST EXUPERY TGV.,27,27,27,1
LILLE (intramuros),MARNE LA VALLEE CHESSY,29,11,29,190
LILLE (intramuros),MARSEILLE ST CHARLES,11,11,29,122
LILLE (intramuros),MODANE,3,3,3,1
LILLE (intramuros),MONTPELLIER SAINT ROCH,11,3,11,85
LILLE (intramuros),MONTPELLIER SUD DE FRANCE,3,2,5,22
LILLE (intramuros),MOUTIERS SALINS BRIDES LES BAINS,2,2,3,2
LILLE (intramuros),NARBONNE,3,3,9,14
LILLE (intramuros),NIMES CENTRE,11,3,11,85
LILLE (intramuros),NIMES PONT DU GARD,3,2,5,22
LILLE (intramuros),PERPIGNAN,3,3,9,14
LILLE (intramuros),SAINT AVRE LA CHAMBRE,3,3,3,1
LILLE (intramuros),SETE,3,3,9,14
LILLE (intramuros),ST JEAN DE MAURIENNE ARVAN,3,3,3,1
LILLE (intramuros),ST MICHEL VALLOIRE,3,3,3,1
LILLE (intramuros),TGV HAUTE PICARDIE,23,11,29,193
LILLE (intramuros),VALENCE TGV AUVERGNE RHONE ALPES,11,8,22,111
LYON (intramuros),AGDE,6,3,20,23
LYON (intramuros),AIX EN PROVENCE TGV,26,11,29,142
LYON (intramuros),AVIGNON TGV,29,11,29,159
LYON (intramuros),BEZIERS,6,3,20,23
LYON (intramuros),LYON (intramuros),13,11,29,145
LYON (intramuros),MARSEILLE ST CHARLES,29,11,29,159
LYON (intramuros),MONTPELLIER SAINT ROCH,15,11,29,162
LYON (intramuros),MONTPELLIER SUD DE FRANCE,12,6,29,62
LYON (intramuros),NARBONNE,6,3,20,23
LYON (intramuros),NIMES CENTRE,15,11,29,162
LYON (intramuros),NIMES PONT DU GARD,12,6,29,62
LYON (intramuros),PERPIGNAN,6,3,20,23
LYON (intramuros),SETE,6,3,20,23
LYON (intramuros),VALENCE TGV AUVERGNE RHONE ALPES,8,3,29,160
LYON ST EXUPERY TGV.,AIX EN PROVENCE TGV,27,27,27,1
LYON ST EXUPERY TGV.,AVIGNON TGV,27,27,27,1
LYON ST EXUPERY TGV.,MARSEILLE ST CHARLES,27,27,27,1
LYON ST EXUPERY TGV.,VALENCE TGV AUVERGNE RHONE ALPES,13,13,13,1
MARNE LA VALLEE CHESSY,AGDE,3,3,9,14
MARNE LA VALLEE CHESSY,AIME LA PLAGNE,2,2,3,2
MARNE LA VALLEE CHESSY,AIX EN PROVENCE TGV,11,11,29,117
MARNE LA VALLEE CHESSY,ALBERTVILLE,2,2,3,2
MARNE LA VALLEE CHESSY,AVIGNON TGV,11,11,29,128
MARNE LA VALLEE CHESSY,BEZIERS,3,3,9,14
MARNE LA VALLEE CHESSY,BOURG SAINT MAURICE,2,2,3,2
MARNE LA VALLEE CHESSY,CHAMBERY CHALLES LES EAUX,3,2,3,3
MARNE LA VALLEE CHESSY,LANDRY,2,2,3,2
MARNE LA VALLEE CHESSY,LYON (intramuros),11,11,29,151
MARNE LA VALLEE CHESSY,LYON ST EXUPERY TGV.,27,27,27,1
MARNE LA VALLEE CHESSY,MARSEILLE ST CHARLES,11,11,29,128
MARNE LA VALLEE CHESSY,MODANE,3,3,3,1
MARNE LA VALLEE CHESSY,MONTPELLIER SAINT ROCH,10,3,11,91
MARNE LA VALLEE CHESSY,MONTPELLIER SUD DE FRANCE,3,3,9,27
MARNE LA VALLEE CHESSY,MOUTIERS SALINS BRIDES LES BAINS,2,2,3,2
MARNE LA VALLEE CHESSY,NARBONNE,3,3,9,14
MARNE LA VALLEE CHESSY,NIMES CENTRE,10,3,11,91
MARNE LA VALLEE CHESSY,NIMES PONT DU GARD,3,3,9,27
MARNE LA VALLEE CHESSY,PERPIGNAN,3,3,9,14
MARNE LA VALLEE CHESSY,SAINT AVRE LA CHAMBRE,3,3,3,1
MARNE LA VALLEE CHESSY,SETE,3,3,9,14
MARNE LA VALLEE CHESSY,ST JEAN DE MAURIENNE ARVAN,3,3,3,1
MARNE LA VALLEE CHESSY,ST MICHEL VALLOIRE,3,3,3,1
MARNE LA VALLEE CHESSY,VALENCE TGV AUVERGNE RHONE ALPES,11,8,18,121
MONTPELLIER SAINT ROCH,AGDE,11,3,17,53
MONTPELLIER SAINT ROCH,BEZIERS,11,3,17,53
MONTPELLIER SAINT ROCH,NARBONNE,11,3,17,53
MONTPELLIER SAINT ROCH,PERPIGNAN,11,3,17,53
MONTPELLIER SAINT ROCH,SETE,11,3,17,53
MONTPELLIER SUD DE FRANCE,AGDE,11,11,11,1
MONTPELLIER SUD DE FRANCE,BEZIERS,11,11,11,1
MONTPELLIER SUD DE FRANCE,NARBONNE,11,11,11,1
MONTPELLIER SUD DE FRANCE,PERPIGNAN,11,11,11,1
MONTPELLIER SUD DE FRANCE,SETE,11,11,11,1
MOUTIERS SALINS BRIDES LES BAINS,AIME LA PLAGNE,3,3,16,3
MOUTIERS SALINS BRIDES LES BAINS,BOURG SAINT MAURICE,3,3,16,3
MOUTIERS SALINS BRIDES LES BAINS,LANDRY,3,3,16,3
NARBONNE,PERPIGNAN,11,3,16,54
NIMES CENTRE,AGDE,11,3,17,53
NIMES CENTRE,BEZIERS,11,3,17,53
NIMES CENTRE,MONTPELLIER SAINT ROCH,20,11,29,201
NIMES CENTRE,NARBONNE,11,3,17,53
NIMES CENTRE,PERPIGNAN,11,3,17,53
NIMES CENTRE,SETE,11,3,17,53
NIMES PONT DU GARD,AGDE,11,11,11,1
NIMES PONT DU GARD,BEZIERS,11,11,11,1
NIMES PONT DU GARD,MONTPELLIER SUD DE FRANCE,11,11,29,205
NIMES PONT DU GARD,NARBONNE,11,11,11,1
NIMES PONT DU GARD,PERPIGNAN,11,11,11,1
NIMES PONT DU GARD,SETE,11,11,11,1
