origine,destination,first_open_delta_median,first_open_delta_p25,first_open_delta_p75,n_departure_dates
AIX EN PROVENCE TGV,ANTIBES,29,21,29,98
AIX EN PROVENCE TGV,CANNES,29,21,29,98
AIX EN PROVENCE TGV,MARSEILLE ST CHARLES,29,17,29,129
AIX EN PROVENCE TGV,NICE VILLE,29,21,29,98
AIX EN PROVENCE TGV,ST RAPHAEL VALESCURE,29,21,29,98
AIX EN PROVENCE TGV,TOULON,11,11,29,101
ANTIBES,NICE VILLE,29,11,29,123
AVIGNON TGV,AIX EN PROVENCE TGV,29,17,29,129
AVIGNON TGV,ANTIBES,11,11,29,71
AVIGNON TGV,CANNES,11,11,29,71
AVIGNON TGV,MARSEILLE ST CHARLES,29,17,29,129
AVIGNON TGV,NICE VILLE,11,11,29,71
AVIGNON TGV,ST RAPHAEL VALESCURE,11,11,29,71
AVIGNON TGV,TOULON,11,11,29,101
BEZIERS,CARCASSONNE,28,11,29,128
BEZIERS,NARBONNE,29,14,29,110
BEZIERS,TOULOUSE MATABIAU,28,11,29,128
CANNES,ANTIBES,29,11,29,123
CANNES,NICE VILLE,29,11,29,123
CARCASSONNE,TOULOUSE MATABIAU,28,11,29,128
LE HAVRE,ROUEN RIVE DROITE,29,29,29,1
LYON (intramuros),AIX EN PROVENCE TGV,29,16,29,130
LYON (intramuros),ANTIBES,11,11,29,71
LYON (intramuros),AVIGNON TGV,29,17,29,129
LYON (intramuros),BEZIERS,29,11,29,83
LYON (intramuros),CANNES,11,11,29,71
LYON (intramuros),CARCASSONNE,29,11,29,80
LYON (intramuros),MARSEILLE ST CHARLES,29,16,29,130
LYON (intramuros),MONTPELLIER SAINT ROCH,29,11,29,88
LYON (intramuros),MONTPELLIER SUD DE FRANCE,6,4,8,2
LYON (intramuros),NARBONNE,29,11,29,83
LYON (intramuros),NICE VILLE,11,11,29,71
LYON (intramuros),NIMES CENTRE,29,11,29,88
LYON (intramuros),NIMES PONT DU GARD,6,4,8,2
LYON (intramuros),SETE,3,1,5,17
LYON (intramuros),ST RAPHAEL VALESCURE,11,11,29,71
LYON (intramuros),TOULON,11,11,29,97
LYON (intramuros),TOULOUSE MATABIAU,29,11,29,80
LYON (intramuros),VALENCE TGV AUVERGNE RHONE ALPES,29,28,29,133
MARSEILLE ST CHARLES,ANTIBES,29,21,29,98
MARSEILLE ST CHARLES,CANNES,29,21,29,98
MARSEILLE ST CHARLES,NICE VILLE,29,21,29,98
MARSEILLE ST CHARLES,ST RAPHAEL VALESCURE,29,21,29,98
MARSEILLE ST CHARLES,TOULON,11,11,29,101
MONTPELLIER SAINT ROCH,BEZIERS,29,12,29,109
MONTPELLIER SAINT ROCH,CARCASSONNE,29,14,29,106
MONTPELLIER SAINT ROCH,NARBONNE,29,12,29,109
MONTPELLIER SAINT ROCH,SETE,11,6,11,54
MONTPELLIER SAINT ROCH,TOULOUSE MATABIAU,29,14,29,106
MONTPELLIER SUD DE FRANCE,BEZIERS,20,13,24,3
MONTPELLIER SUD DE FRANCE,CARCASSONNE,16,13,18,2
MONTPELLIER SUD DE FRANCE,NARBONNE,20,13,24,3
MONTPELLIER SUD DE FRANCE,SETE,6,6,6,1
MONTPELLIER SUD DE FRANCE,TOULOUSE MATABIAU,16,13,18,2
NARBONNE,CARCASSONNE,28,11,29,128
NARBONNE,TOULOUSE MATABIAU,28,11,29,128
NIMES CENTRE,BEZIERS,29,12,29,109
NIMES CENTRE,CARCASSONNE,29,14,29,106
NIMES CENTRE,MONTPELLIER SAINT ROCH,29,21,29,113
NIMES CENTRE,NARBONNE,29,12,29,109
NIMES CENTRE,SETE,11,6,11,54
NIMES CENTRE,TOULOUSE MATABIAU,29,14,29,106
NIMES PONT DU GARD,BEZIERS,20,13,24,3
NIMES PONT DU GARD,CARCASSONNE,16,13,18,2
NIMES PONT DU GARD,MONTPELLIER SUD DE FRANCE,20,13,24,3
NIMES PONT DU GARD,NARBONNE,20,13,24,3
NIMES PONT DU GARD,SETE,6,6,6,1
NIMES PONT DU GARD,TOULOUSE MATABIAU,16,13,18,2
SETE,BEZIERS,11,6,11,55
SETE,CARCASSONNE,11,11,11,108
SETE,NARBONNE,11,6,11,55
SETE,TOULOUSE MATABIAU,11,11,11,108
ST RAPHAEL VALESCURE,ANTIBES,29,11,29,123
ST RAPHAEL VALESCURE,CANNES,29,11,29,123
ST RAPHAEL VALESCURE,NICE VILLE,29,11,29,123
TOULON,ANTIBES,29,21,29,98
