origine,destination,first_open_delta_median,first_open_delta_p25,first_open_delta_p75,n_departure_dates
AIX EN PROVENCE TGV,ANTIBES,16,3,29,60
AIX EN PROVENCE TGV,CANNES,16,3,29,60
AIX EN PROVENCE TGV,LES ARCS DRAGUIGNAN,16,3,29,60
AIX EN PROVENCE TGV,MARSEILLE ST CHARLES,11,3,29,157
AIX EN PROVENCE TGV,NICE VILLE,16,3,29,60
AIX EN PROVENCE TGV,ST RAPHAEL VALESCURE,16,3,29,60
AIX EN PROVENCE TGV,TOULON,11,3,29,108
ANTIBES,NICE VILLE,16,3,29,60
AVIGNON TGV,AIX EN PROVENCE TGV,11,3,29,158
AVIGNON TGV,ANTIBES,16,3,29,60
AVIGNON TGV,CANNES,16,3,29,60
AVIGNON TGV,LES ARCS DRAGUIGNAN,16,3,29,60
AVIGNON TGV,MARSEILLE ST CHARLES,11,3,29,157
AVIGNON TGV,NICE VILLE,16,3,29,60
AVIGNON TGV,ST RAPHAEL VALESCURE,16,3,29,60
AVIGNON TGV,TOULON,11,3,29,108
BEAUNE,AIX EN PROVENCE TGV,11,3,29,60
BEAUNE,ANTIBES,11,2,29,35
BEAUNE,AVIGNON TGV,11,3,29,60
BEAUNE,CANNES,11,2,29,35
BEAUNE,LES ARCS DRAGUIGNAN,11,2,29,35
BEAUNE,LYON (intramuros),11,3,29,135
BEAUNE,MARSEILLE ST CHARLES,11,3,29,59
BEAUNE,NICE VILLE,11,2,29,35
BEAUNE,ST RAPHAEL VALESCURE,11,2,29,35
BEAUNE,TOULON,11,3,29,60
BELFORT MONTBELIARD TGV,AIX EN PROVENCE TGV,9,3,29,98
BELFORT MONTBELIARD TGV,ANTIBES,11,3,29,39
BELFORT MONTBELIARD TGV,AVIGNON TGV,9,3,29,98
BELFORT MONTBELIARD TGV,BEAUNE,11,3,29,131
BELFORT MONTBELIARD TGV,BESANCON FRANCHE COMTE TGV,11,4,29,161
BELFORT MONTBELIARD TGV,CANNES,11,3,29,39
BELFORT MONTBELIARD TGV,CHALON SUR SAONE,3,3,10,82
BELFORT MONTBELIARD TGV,DIJON VILLE,11,4,29,174
BELFORT MONTBELIARD TGV,LES ARCS DRAGUIGNAN,11,3,29,39
BELFORT MONTBELIARD TGV,LYON (intramuros),11,6,29,169
BELFORT MONTBELIARD TGV,MACON VILLE,6,3,11,81
BELFORT MONTBELIARD TGV,MARSEILLE ST CHARLES,9,3,29,97
BELFORT MONTBELIARD TGV,MONTPELLIER SAINT ROCH,10,3,11,118
BELFORT MONTBELIARD TGV,NICE VILLE,11,3,29,39
BELFORT MONTBELIARD TGV,NIMES CENTRE,10,3,11,118
BELFORT MONTBELIARD TGV,ST RAPHAEL VALESCURE,11,3,29,39
BELFORT MONTBELIARD TGV,TOULON,11,3,29,64
BELFORT MONTBELIARD TGV,VALENCE TGV AUVERGNE RHONE ALPES,5,3,11,78
BESANCON FRANCHE COMTE TGV,AIX EN PROVENCE TGV,6,3,29,98
BESANCON FRANCHE COMTE TGV,ANTIBES,8,2,29,38
BESANCON FRANCHE COMTE TGV,AVIGNON TGV,6,3,29,98
BESANCON FRANCHE COMTE TGV,BEAUNE,11,3,29,131
BESANCON FRANCHE COMTE TGV,CANNES,8,2,29,38
BESANCON FRANCHE COMTE TGV,CHALON SUR SAONE,3,3,10,82
BESANCON FRANCHE COMTE TGV,DIJON VILLE,11,4,29,159
BESANCON FRANCHE COMTE TGV,LES ARCS DRAGUIGNAN,8,2,29,38
BESANCON FRANCHE COMTE TGV,LYON (intramuros),11,6,29,169
BESANCON FRANCHE COMTE TGV,MACON VILLE,6,3,11,81
BESANCON FRANCHE COMTE TGV,MARSEILLE ST CHARLES,6,3,29,97
BESANCON FRANCHE COMTE TGV,MONTPELLIER SAINT ROCH,4,3,11,116
BESANCON FRANCHE COMTE TGV,NICE VILLE,8,2,29,38
BESANCON FRANCHE COMTE TGV,NIMES CENTRE,4,3,11,116
BESANCON FRANCHE COMTE TGV,ST RAPHAEL VALESCURE,8,2,29,38
BESANCON FRANCHE COMTE TGV,TOULON,11,3,29,63
BESANCON FRANCHE COMTE TGV,VALENCE TGV AUVERGNE RHONE ALPES,5,3,11,78
CANNES,ANTIBES,16,3,29,60
CANNES,NICE VILLE,16,3,29,60
CHALON SUR SAONE,AIX EN PROVENCE TGV,3,3,16,3
CHALON SUR SAONE,AVIGNON TGV,3,3,16,3
CHALON SUR SAONE,LYON (intramuros),3,3,3,74
CHALON SUR SAONE,MARSEILLE ST CHARLES,3,3,16,3
CHALON SUR SAONE,MONTPELLIER SAINT ROCH,3,3,3,72
CHALON SUR SAONE,NIMES CENTRE,3,3,3,72
COLMAR,AIX EN PROVENCE TGV,11,3,29,65
COLMAR,ANTIBES,11,3,29,39
COLMAR,AVIGNON TGV,11,3,29,65
COLMAR,BEAUNE,11,10,29,157
COLMAR,BELFORT MONTBELIARD TGV,12,10,29,181
COLMAR,BESANCON FRANCHE COMTE TGV,12,10,29,181
COLMAR,CANNES,11,3,29,39
COLMAR,CHALON SUR SAONE,3,3,4,81
COLMAR,DIJON VILLE,12,10,29,181
COLMAR,LES ARCS DRAGUIGNAN,11,3,29,39
COLMAR,LYON (intramuros),11,6,29,164
COLMAR,MARSEILLE ST CHARLES,11,3,29,64
COLMAR,MONTPELLIER SAINT ROCH,3,3,11,115
COLMAR,MULHOUSE VILLE,11,3,29,160
COLMAR,NICE VILLE,11,3,29,39
COLMAR,NIMES CENTRE,3,3,11,115
COLMAR,ST RAPHAEL VALESCURE,11,3,29,39
COLMAR,TOULON,11,3,29,64
DIJON VILLE,AIX EN PROVENCE TGV,7,3,29,95
DIJON VILLE,ANTIBES,8,2,29,38
DIJON VILLE,AVIGNON TGV,7,3,29,95
DIJON VILLE,BEAUNE,11,3,29,131
DIJON VILLE,CANNES,8,2,29,38
DIJON VILLE,CHALON SUR SAONE,3,3,3,72
DIJON VILLE,LES ARCS DRAGUIGNAN,8,2,29,38
DIJON VILLE,LYON (intramuros),11,4,29,159
DIJON VILLE,MACON VILLE,7,3,8,69
DIJON VILLE,MARSEILLE ST CHARLES,7,3,29,94
DIJON VILLE,MONTPELLIER SAINT ROCH,4,3,11,119
DIJON VILLE,NICE VILLE,8,2,29,38
DIJON VILLE,NIMES CENTRE,4,3,11,119
DIJON VILLE,ST RAPHAEL VALESCURE,8,2,29,38
DIJON VILLE,TOULON,11,3,29,63
DIJON VILLE,VALENCE TGV AUVERGNE RHONE ALPES,5,3,11,78
LES ARCS DRAGUIGNAN,ANTIBES,16,3,29,60
LES ARCS DRAGUIGNAN,CANNES,16,3,29,60
LES ARCS DRAGUIGNAN,NICE VILLE,16,3,29,60
LES ARCS DRAGUIGNAN,ST RAPHAEL VALESCURE,16,3,29,60
LUXEMBOURG,AIX EN PROVENCE TGV,8,3,11,76
LUXEMBOURG,AVIGNON TGV,8,3,11,76
LUXEMBOURG,BELFORT MONTBELIARD TGV,9,3,17,120
LUXEMBOURG,BESANCON FRANCHE COMTE TGV,9,3,17,120
LUXEMBOURG,DIJON VILLE,9,3,17,120
LUXEMBOURG,LYON (intramuros),7,3,11,82
LUXEMBOURG,MACON VILLE,9,3,17,120
LUXEMBOURG,MARNE LA VALLEE CHESSY,16,8,24,4
LUXEMBOURG,MARSEILLE ST CHARLES,8,3,11,76
LUXEMBOURG,METZ VILLE,10,3,16,132
LUXEMBOURG,MONTPELLIER SAINT ROCH,11,6,11,40
LUXEMBOURG,MULHOUSE VILLE,10,3,15,126
LUXEMBOURG,NIMES CENTRE,11,6,11,40
LUXEMBOURG,STRASBOURG,10,3,16,132
LUXEMBOURG,THIONVILLE,10,3,16,132
LUXEMBOURG,VALENCE TGV AUVERGNE RHONE ALPES,7,3,11,82
