origine,destination,first_open_delta_median,first_open_delta_p25,first_open_delta_p75,n_departure_dates
AIX EN PROVENCE TGV,AVIGNON TGV,6,3,16,239
AIX EN PROVENCE TGV,BEAUNE,3,3,26,88
AIX EN PROVENCE TGV,BELFORT MONTBELIARD TGV,4,3,11,176
AIX EN PROVENCE TGV,BESANCON FRANCHE COMTE TGV,3,3,11,159
AIX EN PROVENCE TGV,CHALON SUR SAONE,3,3,11,136
AIX EN PROVENCE TGV,COLMAR,3,3,13,97
AIX EN PROVENCE TGV,DIJON VILLE,3,3,11,148
AIX EN PROVENCE TGV,LUXEMBOURG,9,3,11,111
AIX EN PROVENCE TGV,LYON (intramuros),6,3,13,186
AIX EN PROVENCE TGV,MACON VILLE,3,3,26,88
AIX EN PROVENCE TGV,MARNE LA VALLEE CHESSY,11,11,19,6
AIX EN PROVENCE TGV,METZ VILLE,8,3,11,137
AIX EN PROVENCE TGV,MULHOUSE VILLE,4,3,11,176
AIX EN PROVENCE TGV,NANCY,3,3,29,74
AIX EN PROVENCE TGV,STRASBOURG,5,3,11,178
AIX EN PROVENCE TGV,THIONVILLE,9,3,11,113
AIX EN PROVENCE TGV,VALENCE TGV AUVERGNE RHONE ALPES,8,3,11,145
ANTIBES,AIX EN PROVENCE TGV,8,3,29,62
ANTIBES,AVIGNON TGV,8,3,29,62
ANTIBES,BEAUNE,3,2,8,56
ANTIBES,BELFORT MONTBELIARD TGV,3,3,4,67
ANTIBES,BESANCON FRANCHE COMTE TGV,3,2,6,57
ANTIBES,CANNES,4,3,29,65
ANTIBES,COLMAR,3,3,4,67
ANTIBES,DIJON VILLE,3,2,6,57
ANTIBES,LES ARCS DRAGUIGNAN,4,3,29,65
ANTIBES,LYON (intramuros),3,3,21,53
ANTIBES,MACON VILLE,3,2,8,56
ANTIBES,MARSEILLE ST CHARLES,6,3,29,63
ANTIBES,MULHOUSE VILLE,3,3,4,67
ANTIBES,NANCY,3,3,22,46
ANTIBES,ST RAPHAEL VALESCURE,4,3,29,65
ANTIBES,STRASBOURG,3,3,4,67
ANTIBES,TOULON,4,3,29,65
AVIGNON TGV,BEAUNE,3,3,26,88
AVIGNON TGV,BELFORT MONTBELIARD TGV,4,3,11,176
AVIGNON TGV,BESANCON FRANCHE COMTE TGV,3,3,11,159
AVIGNON TGV,CHALON SUR SAONE,3,3,11,136
AVIGNON TGV,COLMAR,3,3,13,97
AVIGNON TGV,DIJON VILLE,3,3,11,148
AVIGNON TGV,LUXEMBOURG,9,3,11,111
AVIGNON TGV,LYON (intramuros),6,3,13,186
AVIGNON TGV,MACON VILLE,3,3,26,88
AVIGNON TGV,MARNE LA VALLEE CHESSY,11,11,19,6
AVIGNON TGV,METZ VILLE,8,3,11,137
AVIGNON TGV,MULHOUSE VILLE,4,3,11,176
AVIGNON TGV,NANCY,3,3,29,74
AVIGNON TGV,STRASBOURG,5,3,11,178
AVIGNON TGV,THIONVILLE,9,3,11,113
AVIGNON TGV,VALENCE TGV AUVERGNE RHONE ALPES,6,3,11,140
BEAUNE,BELFORT MONTBELIARD TGV,3,3,29,125
BEAUNE,BESANCON FRANCHE COMTE TGV,3,3,29,125
BEAUNE,COLMAR,3,3,22,144
BEAUNE,DIJON VILLE,3,3,29,125
BEAUNE,MULHOUSE VILLE,3,3,22,144
BEAUNE,NANCY,3,3,29,102
BEAUNE,STRASBOURG,3,3,22,144
BELFORT MONTBELIARD TGV,COLMAR,6,3,17,225
