origine,destination,first_open_delta_median,first_open_delta_p25,first_open_delta_p75,n_departure_dates
AIME LA PLAGNE,ALBERTVILLE,23,7,28,7
AIME LA PLAGNE,ANGERS SAINT LAUD,23,3,28,7
AIME LA PLAGNE,CHAMBERY CHALLES LES EAUX,23,7,28,7
AIME LA PLAGNE,LE MANS,23,3,28,7
AIME LA PLAGNE,MASSY TGV,23,3,28,7
AIME LA PLAGNE,MOUTIERS SALINS BRIDES LES BAINS,23,7,28,7
AIME LA PLAGNE,NANTES,23,3,28,7
AIME LA PLAGNE,RENNES,14,2,27,6
AIX EN PROVENCE TGV,ANGERS SAINT LAUD,28,28,28,1
AIX EN PROVENCE TGV,AVIGNON TGV,12,9,29,104
AIX EN PROVENCE TGV,LAVAL,3,2,9,13
AIX EN PROVENCE TGV,LE MANS,3,3,11,18
AIX EN PROVENCE TGV,LYON (intramuros),16,8,29,66
AIX EN PROVENCE TGV,MASSY PALAISEAU,26,26,27,2
AIX EN PROVENCE TGV,MASSY TGV,3,2,9,16
AIX EN PROVENCE TGV,NANTES,28,28,28,1
AIX EN PROVENCE TGV,RENNES,3,3,11,17
AIX EN PROVENCE TGV,VALENCE TGV AUVERGNE RHONE ALPES,29,28,29,3
AIX EN PROVENCE TGV,VERSAILLES CHANTIERS,29,29,29,1
ALBERTVILLE,ANGERS SAINT LAUD,23,3,28,7
ALBERTVILLE,CHAMBERY CHALLES LES EAUX,23,7,28,7
ALBERTVILLE,LE MANS,23,3,28,7
ALBERTVILLE,MASSY TGV,23,3,28,7
ALBERTVILLE,NANTES,23,3,28,7
ALBERTVILLE,RENNES,14,2,27,6
ANGERS SAINT LAUD,AURAY,2,2,2,1
ANGERS SAINT LAUD,LORIENT,2,2,2,1
ANGERS SAINT LAUD,NANTES,29,27,29,173
ANGERS SAINT LAUD,QUIMPER,2,2,2,1
ANGERS SAINT LAUD,REDON,2,2,2,1
ANGERS SAINT LAUD,RENNES,8,8,8,1
ANGERS SAINT LAUD,VANNES,2,2,2,1
AURAY,LORIENT,2,2,2,1
AURAY,QUIMPER,2,2,2,1
AVIGNON TGV,ANGERS SAINT LAUD,28,28,29,2
AVIGNON TGV,LAVAL,3,2,9,13
AVIGNON TGV,LE HAVRE,11,3,28,54
AVIGNON TGV,LE MANS,3,3,18,19
AVIGNON TGV,LYON (intramuros),24,11,29,113
AVIGNON TGV,MANTES LA JOLIE,11,3,28,54
AVIGNON TGV,MASSY PALAISEAU,11,3,28,56
AVIGNON TGV,MASSY TGV,3,2,9,17
AVIGNON TGV,NANTES,28,28,29,2
AVIGNON TGV,RENNES,3,3,11,17
AVIGNON TGV,ROUEN RIVE DROITE,11,3,28,54
AVIGNON TGV,VALENCE TGV AUVERGNE RHONE ALPES,24,11,29,84
AVIGNON TGV,VERSAILLES CHANTIERS,11,3,28,54
BOURG SAINT MAURICE,AIME LA PLAGNE,23,7,28,7
BOURG SAINT MAURICE,ALBERTVILLE,23,7,28,7
BOURG SAINT MAURICE,ANGERS SAINT LAUD,23,3,28,7
BOURG SAINT MAURICE,CHAMBERY CHALLES LES EAUX,23,7,28,7
BOURG SAINT MAURICE,LANDRY,23,7,28,7
BOURG SAINT MAURICE,LE MANS,23,3,28,7
BOURG SAINT MAURICE,MASSY TGV,23,3,28,7
BOURG SAINT MAURICE,MOUTIERS SALINS BRIDES LES BAINS,23,7,28,7
