origine,destination,first_open_delta_median,first_open_delta_p25,first_open_delta_p75,n_departure_dates
AEROPORT ROISSY CDG 2 TGV,ARRAS,16,6,29,267
AEROPORT ROISSY CDG 2 TGV,BRUXELLES MIDI,18,6,29,297
AEROPORT ROISSY CDG 2 TGV,DOUAI,15,7,29,243
AEROPORT ROISSY CDG 2 TGV,LILLE (intramuros),28,11,29,346
AEROPORT ROISSY CDG 2 TGV,TGV HAUTE PICARDIE,16,6,29,267
AGDE,AEROPORT ROISSY CDG 2 TGV,2,1,3,13
AGDE,ARRAS,3,2,4,7
AGDE,BRUXELLES MIDI,3,2,4,6
AGDE,LILLE (intramuros),3,2,4,7
AGDE,LYON (intramuros),6,3,16,28
AGDE,MARNE LA VALLEE CHESSY,2,1,3,13
AGDE,MONTPELLIER SAINT ROCH,3,2,17,35
AGDE,MONTPELLIER SUD DE FRANCE,11,11,11,1
AGDE,NIMES CENTRE,3,2,17,35
AGDE,NIMES PONT DU GARD,11,11,11,1
AGDE,SETE,3,3,16,36
AGDE,TGV HAUTE PICARDIE,3,2,4,7
AGDE,VALENCE TGV AUVERGNE RHONE ALPES,6,3,16,28
AIME LA PLAGNE,AEROPORT ROISSY CDG 2 TGV,2,0,2,7
AIME LA PLAGNE,ALBERTVILLE,10,6,11,5
AIME LA PLAGNE,ARRAS,2,0,3,6
AIME LA PLAGNE,CHAMBERY CHALLES LES EAUX,10,6,11,5
AIME LA PLAGNE,DOUAI,2,0,3,6
AIME LA PLAGNE,LILLE (intramuros),2,0,3,6
AIME LA PLAGNE,MARNE LA VALLEE CHESSY,2,0,2,7
AIME LA PLAGNE,MOUTIERS SALINS BRIDES LES BAINS,10,6,11,5
AIME LA PLAGNE,TGV HAUTE PICARDIE,2,0,3,6
AIX EN PROVENCE TGV,AEROPORT ROISSY CDG 2 TGV,11,7,29,248
AIX EN PROVENCE TGV,ARRAS,11,6,11,11
AIX EN PROVENCE TGV,AVIGNON TGV,29,25,29,357
AIX EN PROVENCE TGV,BRUXELLES MIDI,11,3,11,161
AIX EN PROVENCE TGV,DOUAI,11,6,11,11
AIX EN PROVENCE TGV,LILLE (intramuros),11,5,22,209
AIX EN PROVENCE TGV,LYON (intramuros),28,11,29,315
AIX EN PROVENCE TGV,LYON ST EXUPERY TGV.,22,22,22,1
AIX EN PROVENCE TGV,MARNE LA VALLEE CHESSY,11,7,29,249
AIX EN PROVENCE TGV,TGV HAUTE PICARDIE,11,6,11,11
ALBERTVILLE,AEROPORT ROISSY CDG 2 TGV,2,0,2,7
ALBERTVILLE,ARRAS,2,0,3,6
ALBERTVILLE,CHAMBERY CHALLES LES EAUX,10,6,11,5
ALBERTVILLE,DOUAI,2,0,3,6
ALBERTVILLE,LILLE (intramuros),2,0,3,6
ALBERTVILLE,MARNE LA VALLEE CHESSY,2,0,2,7
ALBERTVILLE,TGV HAUTE PICARDIE,2,0,3,6
ARRAS,BRUXELLES MIDI,6,3,16,119
ARRAS,DOUAI,12,10,29,319
ARRAS,LILLE (intramuros),16,10,29,351
AVIGNON TGV,AEROPORT ROISSY CDG 2 TGV,11,7,29,248
AVIGNON TGV,ARRAS,11,6,11,11
AVIGNON TGV,BRUXELLES MIDI,11,3,11,161
AVIGNON TGV,DOUAI,11,6,11,11
AVIGNON TGV,LILLE (intramuros),11,5,22,209
AVIGNON TGV,LYON (intramuros),28,11,29,316
AVIGNON TGV,LYON ST EXUPERY TGV.,22,22,22,1
AVIGNON TGV,MARNE LA VALLEE CHESSY,11,7,29,249
AVIGNON TGV,TGV HAUTE PICARDIE,11,6,11,11
BEZIERS,AEROPORT ROISSY CDG 2 TGV,2,1,3,13
BEZIERS,AGDE,3,3,16,36
BEZIERS,ARRAS,3,2,4,7
BEZIERS,BRUXELLES MIDI,3,2,4,6
BEZIERS,LILLE (intramuros),3,2,4,7
BEZIERS,LYON (intramuros),6,3,16,28
BEZIERS,MARNE LA VALLEE CHESSY,2,1,3,13
BEZIERS,MONTPELLIER SAINT ROCH,3,2,17,35
BEZIERS,MONTPELLIER SUD DE FRANCE,11,11,11,1
BEZIERS,NIMES CENTRE,3,2,17,35
BEZIERS,NIMES PONT DU GARD,11,11,11,1
BEZIERS,SETE,3,3,16,36
BEZIERS,TGV HAUTE PICARDIE,3,2,4,7
BEZIERS,VALENCE TGV AUVERGNE RHONE ALPES,6,3,16,28
BOURG SAINT MAURICE,AEROPORT ROISSY CDG 2 TGV,2,0,2,7
BOURG SAINT MAURICE,AIME LA PLAGNE,10,6,11,5
BOURG SAINT MAURICE,ALBERTVILLE,10,6,11,5
BOURG SAINT MAURICE,ARRAS,2,0,3,6
BOURG SAINT MAURICE,CHAMBERY CHALLES LES EAUX,10,6,11,5
BOURG SAINT MAURICE,DOUAI,2,0,3,6
BOURG SAINT MAURICE,LANDRY,10,6,11,5
BOURG SAINT MAURICE,LILLE (intramuros),2,0,3,6
BOURG SAINT MAURICE,MARNE LA VALLEE CHESSY,2,0,2,7
BOURG SAINT MAURICE,MOUTIERS SALINS BRIDES LES BAINS,10,6,11,5
BOURG SAINT MAURICE,TGV HAUTE PICARDIE,2,0,3,6
CHAMBERY CHALLES LES EAUX,AEROPORT ROISSY CDG 2 TGV,2,0,2,7
CHAMBERY CHALLES LES EAUX,ARRAS,2,0,3,6
CHAMBERY CHALLES LES EAUX,DOUAI,2,0,3,6
CHAMBERY CHALLES LES EAUX,LILLE (intramuros),2,0,3,6
CHAMBERY CHALLES LES EAUX,MARNE LA VALLEE CHESSY,2,0,2,7
CHAMBERY CHALLES LES EAUX,TGV HAUTE PICARDIE,2,0,3,6
DOUAI,LILLE (intramuros),12,10,29,319
LANDRY,AEROPORT ROISSY CDG 2 TGV,2,0,2,7
LANDRY,AIME LA PLAGNE,10,6,11,5
LANDRY,ALBERTVILLE,10,6,11,5
LANDRY,ARRAS,2,0,3,6
LANDRY,CHAMBERY CHALLES LES EAUX,10,6,11,5
LANDRY,DOUAI,2,0,3,6
LANDRY,LILLE (intramuros),2,0,3,6
LANDRY,MARNE LA VALLEE CHESSY,2,0,2,7
LANDRY,MOUTIERS SALINS BRIDES LES BAINS,10,6,11,5
LANDRY,TGV HAUTE PICARDIE,2,0,3,6
LE CREUSOT MONTCEAU MONTCHANIN,AEROPORT ROISSY CDG 2 TGV,11,3,23,148
LE CREUSOT MONTCEAU MONTCHANIN,BRUXELLES MIDI,11,3,26,144
LE CREUSOT MONTCEAU MONTCHANIN,LILLE (intramuros),11,3,26,144
LE CREUSOT MONTCEAU MONTCHANIN,MARNE LA VALLEE CHESSY,11,3,22,149
LILLE (intramuros),BRUXELLES MIDI,29,29,29,365
