origine,destination,first_open_delta_median,first_open_delta_p25,first_open_delta_p75,n_departure_dates
AIME LA PLAGNE,ALBERTVILLE,3,3,3,1
AIME LA PLAGNE,CHAMBERY CHALLES LES EAUX,3,3,3,1
AIME LA PLAGNE,LE HAVRE,3,3,3,1
AIME LA PLAGNE,MOUTIERS SALINS BRIDES LES BAINS,3,3,3,1
AIME LA PLAGNE,ROUEN RIVE DROITE,3,3,3,1
AIME LA PLAGNE,VERSAILLES CHANTIERS,3,3,3,1
AIX EN PROVENCE TGV,AVIGNON TGV,29,27,29,183
AIX EN PROVENCE TGV,LYON (intramuros),29,27,29,182
AIX EN PROVENCE TGV,VALENCE TGV AUVERGNE RHONE ALPES,29,27,29,182
ALBERTVILLE,CHAMBERY CHALLES LES EAUX,3,3,3,1
ALBERTVILLE,LE HAVRE,3,3,3,1
ALBERTVILLE,ROUEN RIVE DROITE,3,3,3,1
ALBERTVILLE,VERSAILLES CHANTIERS,3,3,3,1
ANTIBES,AIX EN PROVENCE TGV,24,10,29,120
ANTIBES,AVIGNON TGV,11,11,28,54
ANTIBES,CANNES,18,11,29,196
ANTIBES,LES ARCS DRAGUIGNAN,18,11,29,196
ANTIBES,LYON (intramuros),11,11,28,54
ANTIBES,MARSEILLE ST CHARLES,24,10,29,120
ANTIBES,ST RAPHAEL VALESCURE,18,11,29,196
ANTIBES,TOULON,24,10,29,120
ANTIBES,VALENCE TGV AUVERGNE RHONE ALPES,11,11,28,54
AVIGNON TGV,LYON (intramuros),29,27,29,183
AVIGNON TGV,VALENCE TGV AUVERGNE RHONE ALPES,29,27,29,183
BEZIERS,LYON (intramuros),29,11,29,134
BEZIERS,MONTPELLIER SAINT ROCH,28,11,29,114
BEZIERS,MONTPELLIER SUD DE FRANCE,29,12,29,137
BEZIERS,NIMES CENTRE,28,11,29,114
BEZIERS,NIMES PONT DU GARD,29,12,29,137
BEZIERS,SETE,29,14,29,148
BEZIERS,VALENCE TGV AUVERGNE RHONE ALPES,29,11,29,134
BOURG SAINT MAURICE,AIME LA PLAGNE,3,3,3,1
BOURG SAINT MAURICE,ALBERTVILLE,3,3,3,1
BOURG SAINT MAURICE,CHAMBERY CHALLES LES EAUX,3,3,3,1
BOURG SAINT MAURICE,LANDRY,3,3,3,1
BOURG SAINT MAURICE,LE HAVRE,3,3,3,1
BOURG SAINT MAURICE,MOUTIERS SALINS BRIDES LES BAINS,3,3,3,1
BOURG SAINT MAURICE,ROUEN RIVE DROITE,3,3,3,1
BOURG SAINT MAURICE,VERSAILLES CHANTIERS,3,3,3,1
CANNES,AIX EN PROVENCE TGV,24,10,29,120
CANNES,AVIGNON TGV,11,11,28,54
CANNES,LES ARCS DRAGUIGNAN,18,11,29,196
CANNES,LYON (intramuros),11,11,28,54
CANNES,MARSEILLE ST CHARLES,24,10,29,120
CANNES,ST RAPHAEL VALESCURE,18,11,29,196
CANNES,TOULON,24,10,29,120
CANNES,VALENCE TGV AUVERGNE RHONE ALPES,11,11,28,54
CARCASSONNE,BEZIERS,26,11,29,193
CARCASSONNE,LYON (intramuros),29,11,29,133
CARCASSONNE,MONTPELLIER SAINT ROCH,28,11,29,113
CARCASSONNE,MONTPELLIER SUD DE FRANCE,29,12,29,136
CARCASSONNE,NARBONNE,26,11,29,193
