origine,destination,first_open_delta_median,first_open_delta_p25,first_open_delta_p75,n_departure_dates
ARVANT,BRASSAC LES MINES STE FLORINE,3,3,3,89
ARVANT,CLERMONT FERRAND,3,3,3,89
ARVANT,ISSOIRE,3,3,3,89
AUMONT AUBRAC,ARVANT,3,3,3,89
AUMONT AUBRAC,BRASSAC LES MINES STE FLORINE,3,3,3,89
AUMONT AUBRAC,CLERMONT FERRAND,3,3,3,89
AUMONT AUBRAC,ISSOIRE,3,3,3,89
AUMONT AUBRAC,MASSIAC BLESLE,3,3,3,89
AUMONT AUBRAC,NEUSSARGUES,3,3,3,95
AUMONT AUBRAC,SAINT CHELY D'APCHER,3,3,3,95
AUMONT AUBRAC,ST FLOUR CHAUDES AIGUES,3,3,3,95
BANASSAC LA CANOURGUE,ARVANT,3,3,3,89
BANASSAC LA CANOURGUE,AUMONT AUBRAC,3,3,3,95
BANASSAC LA CANOURGUE,BRASSAC LES MINES STE FLORINE,3,3,3,89
BANASSAC LA CANOURGUE,CLERMONT FERRAND,3,3,3,89
BANASSAC LA CANOURGUE,ISSOIRE,3,3,3,89
BANASSAC LA CANOURGUE,LE MONASTIER,3,3,3,95
BANASSAC LA CANOURGUE,MARVEJOLS,3,3,3,95
BANASSAC LA CANOURGUE,MASSIAC BLESLE,3,3,3,89
BANASSAC LA CANOURGUE,NEUSSARGUES,3,3,3,95
BANASSAC LA CANOURGUE,SAINT CHELY D'APCHER,3,3,3,95
BANASSAC LA CANOURGUE,ST FLOUR CHAUDES AIGUES,3,3,3,95
BEDARIEUX,ARVANT,3,3,3,89
BEDARIEUX,AUMONT AUBRAC,3,3,3,95
BEDARIEUX,BANASSAC LA CANOURGUE,3,3,3,95
BEDARIEUX,BRASSAC LES MINES STE FLORINE,3,3,3,89
BEDARIEUX,CAMPAGNAC ST GENIEZ,3,3,3,95
BEDARIEUX,CEILHES ROQUEREDONDE,3,3,3,95
BEDARIEUX,CLERMONT FERRAND,3,3,3,89
BEDARIEUX,ISSOIRE,3,3,3,89
BEDARIEUX,LE BOUSQUET D'ORB,3,3,3,95
BEDARIEUX,LE MONASTIER,3,3,3,95
BEDARIEUX,MARVEJOLS,3,3,3,95
BEDARIEUX,MASSIAC BLESLE,3,3,3,89
BEDARIEUX,MILLAU,3,3,3,95
BEDARIEUX,NEUSSARGUES,3,3,3,95
BEDARIEUX,SAINT CHELY D'APCHER,3,3,3,95
BEDARIEUX,SAINT GEORGES DE LUZENCON,3,3,3,95
BEDARIEUX,SAINT ROME DE CERNON,3,3,3,95
BEDARIEUX,SEVERAC LE CHATEAU,3,3,3,95
BEDARIEUX,ST FLOUR CHAUDES AIGUES,3,3,3,95
BEDARIEUX,TOURNEMIRE ROQUEFORT,3,3,3,95
BEZIERS,ARVANT,3,3,3,89
BEZIERS,AUMONT AUBRAC,3,3,3,95
BEZIERS,BANASSAC LA CANOURGUE,3,3,3,95
BEZIERS,BEDARIEUX,3,3,3,95
BEZIERS,BRASSAC LES MINES STE FLORINE,3,3,3,89
BEZIERS,CAMPAGNAC ST GENIEZ,3,3,3,95
BEZIERS,CEILHES ROQUEREDONDE,3,3,3,95
BEZIERS,CLERMONT FERRAND,3,3,3,89
BEZIERS,ISSOIRE,3,3,3,89
BEZIERS,LE BOUSQUET D'ORB,3,3,3,95
BEZIERS,LE MONASTIER,3,3,3,95
BEZIERS,MAGALAS,3,3,3,95
BEZIERS,MARVEJOLS,3,3,3,95
BEZIERS,MASSIAC BLESLE,3,3,3,89
BEZIERS,MILLAU,3,3,3,95
BEZIERS,NEUSSARGUES,3,3,3,95
BEZIERS,SAINT CHELY D'APCHER,3,3,3,95
BEZIERS,SAINT GEORGES DE LUZENCON,3,3,3,95
BEZIERS,SAINT ROME DE CERNON,3,3,3,95
BEZIERS,SEVERAC LE CHATEAU,3,3,3,95
BEZIERS,ST FLOUR CHAUDES AIGUES,3,3,3,95
BEZIERS,TOURNEMIRE ROQUEFORT,3,3,3,95
BRASSAC LES MINES STE FLORINE,CLERMONT FERRAND,3,3,3,89
BRASSAC LES MINES STE FLORINE,ISSOIRE,3,3,3,89
CAMPAGNAC ST GENIEZ,ARVANT,3,3,3,89
CAMPAGNAC ST GENIEZ,AUMONT AUBRAC,3,3,3,95
CAMPAGNAC ST GENIEZ,BANASSAC LA CANOURGUE,3,3,3,95
CAMPAGNAC ST GENIEZ,BRASSAC LES MINES STE FLORINE,3,3,3,89
CAMPAGNAC ST GENIEZ,CLERMONT FERRAND,3,3,3,89
CAMPAGNAC ST GENIEZ,ISSOIRE,3,3,3,89
CAMPAGNAC ST GENIEZ,LE MONASTIER,3,3,3,95
CAMPAGNAC ST GENIEZ,MARVEJOLS,3,3,3,95
CAMPAGNAC ST GENIEZ,MASSIAC BLESLE,3,3,3,89
CAMPAGNAC ST GENIEZ,NEUSSARGUES,3,3,3,95
CAMPAGNAC ST GENIEZ,SAINT CHELY D'APCHER,3,3,3,95
CAMPAGNAC ST GENIEZ,ST FLOUR CHAUDES AIGUES,3,3,3,95
CEILHES ROQUEREDONDE,ARVANT,3,3,3,89
CEILHES ROQUEREDONDE,AUMONT AUBRAC,3,3,3,95
CEILHES ROQUEREDONDE,BANASSAC LA CANOURGUE,3,3,3,95
CEILHES ROQUEREDONDE,BRASSAC LES MINES STE FLORINE,3,3,3,89
CEILHES ROQUEREDONDE,CAMPAGNAC ST GENIEZ,3,3,3,95
CEILHES ROQUEREDONDE,CLERMONT FERRAND,3,3,3,89
CEILHES ROQUEREDONDE,ISSOIRE,3,3,3,89
CEILHES ROQUEREDONDE,LE MONASTIER,3,3,3,95
CEILHES ROQUEREDONDE,MARVEJOLS,3,3,3,95
CEILHES ROQUEREDONDE,MASSIAC BLESLE,3,3,3,89
CEILHES ROQUEREDONDE,MILLAU,3,3,3,95
CEILHES ROQUEREDONDE,NEUSSARGUES,3,3,3,95
CEILHES ROQUEREDONDE,SAINT CHELY D'APCHER,3,3,3,95
CEILHES ROQUEREDONDE,SAINT GEORGES DE LUZENCON,3,3,3,95
CEILHES ROQUEREDONDE,SAINT ROME DE CERNON,3,3,3,95
CEILHES ROQUEREDONDE,SEVERAC LE CHATEAU,3,3,3,95
CEILHES ROQUEREDONDE,ST FLOUR CHAUDES AIGUES,3,3,3,95
CEILHES ROQUEREDONDE,TOURNEMIRE ROQUEFORT,3,3,3,95
ISSOIRE,CLERMONT FERRAND,3,3,3,89
LE BOUSQUET D'ORB,ARVANT,3,3,3,89
LE BOUSQUET D'ORB,AUMONT AUBRAC,3,3,3,95
LE BOUSQUET D'ORB,BANASSAC LA CANOURGUE,3,3,3,95
LE BOUSQUET D'ORB,BRASSAC LES MINES STE FLORINE,3,3,3,89
LE BOUSQUET D'ORB,CAMPAGNAC ST GENIEZ,3,3,3,95
LE BOUSQUET D'ORB,CEILHES ROQUEREDONDE,3,3,3,95
LE BOUSQUET D'ORB,CLERMONT FERRAND,3,3,3,89
LE BOUSQUET D'ORB,ISSOIRE,3,3,3,89
LE BOUSQUET D'ORB,LE MONASTIER,3,3,3,95
LE BOUSQUET D'ORB,MARVEJOLS,3,3,3,95
LE BOUSQUET D'ORB,MASSIAC BLESLE,3,3,3,89
LE BOUSQUET D'ORB,MILLAU,3,3,3,95
LE BOUSQUET D'ORB,NEUSSARGUES,3,3,3,95
LE BOUSQUET D'ORB,SAINT CHELY D'APCHER,3,3,3,95
LE BOUSQUET D'ORB,SAINT GEORGES DE LUZENCON,3,3,3,95
LE BOUSQUET D'ORB,SAINT ROME DE CERNON,3,3,3,95
LE BOUSQUET D'ORB,SEVERAC LE CHATEAU,3,3,3,95
LE BOUSQUET D'ORB,ST FLOUR CHAUDES AIGUES,3,3,3,95
