origine,destination,first_open_delta_median,first_open_delta_p25,first_open_delta_p75,n_departure_dates
ANGERS SAINT LAUD,NANTES,9,3,15,54
BOURGES,ANGERS SAINT LAUD,7,3,26,42
BOURGES,NANTES,7,3,26,42
BOURGES,SAUMUR,7,3,26,42
BOURGES,ST PIERRE DES CORPS,7,3,25,43
BOURGES,VIERZON,7,3,25,43
LYON (intramuros),ANGERS SAINT LAUD,7,3,18,51
LYON (intramuros),BOURGES,7,3,23,45
LYON (intramuros),LYON (intramuros),7,3,25,43
LYON (intramuros),MOULINS SUR ALLIER,7,3,23,45
LYON (intramuros),NANTES,7,3,18,51
LYON (intramuros),NEVERS,7,3,23,45
LYON (intramuros),ROANNE,7,3,25,43
LYON (intramuros),SAINT GERMAIN DES FOSSES,7,3,25,43
LYON (intramuros),SAUMUR,7,3,18,51
LYON (intramuros),ST PIERRE DES CORPS,7,3,18,51
LYON (intramuros),VIERZON,7,3,23,45
MOULINS SUR ALLIER,ANGERS SAINT LAUD,7,3,26,42
MOULINS SUR ALLIER,BOURGES,7,3,25,43
MOULINS SUR ALLIER,NANTES,7,3,26,42
MOULINS SUR ALLIER,NEVERS,7,3,25,43
MOULINS SUR ALLIER,SAUMUR,7,3,26,42
MOULINS SUR ALLIER,ST PIERRE DES CORPS,7,3,25,43
MOULINS SUR ALLIER,VIERZON,7,3,25,43
NEVERS,ANGERS SAINT LAUD,7,3,26,42
NEVERS,BOURGES,7,3,25,43
NEVERS,NANTES,7,3,26,42
NEVERS,SAUMUR,7,3,26,42
NEVERS,ST PIERRE DES CORPS,7,3,25,43
NEVERS,VIERZON,7,3,25,43
ROANNE,ANGERS SAINT LAUD,7,3,18,51
ROANNE,BOURGES,7,3,23,45
ROANNE,MOULINS SUR ALLIER,7,3,23,45
ROANNE,NANTES,7,3,18,51
ROANNE,NEVERS,7,3,23,45
ROANNE,SAINT GERMAIN DES FOSSES,7,3,23,45
ROANNE,SAUMUR,7,3,18,51
ROANNE,ST PIERRE DES CORPS,7,3,18,51
ROANNE,VIERZON,7,3,23,45
SAINT GERMAIN DES FOSSES,ANGERS SAINT LAUD,7,3,18,51
SAINT GERMAIN DES FOSSES,BOURGES,7,3,23,45
SAINT GERMAIN DES FOSSES,MOULINS SUR ALLIER,7,3,23,45
SAINT GERMAIN DES FOSSES,NANTES,7,3,26,42
SAINT GERMAIN DES FOSSES,NEVERS,7,3,25,43
SAINT GERMAIN DES FOSSES,SAUMUR,7,3,18,51
SAINT GERMAIN DES FOSSES,ST PIERRE DES CORPS,7,3,26,42
SAINT GERMAIN DES FOSSES,VIERZON,7,3,23,45
SAUMUR,ANGERS SAINT LAUD,9,3,15,54
SAUMUR,NANTES,9,3,15,54
ST PIERRE DES CORPS,ANGERS SAINT LAUD,9,3,15,54
ST PIERRE DES CORPS,NANTES,9,3,15,54
ST PIERRE DES CORPS,SAUMUR,9,3,15,54
VIERZON,ANGERS SAINT LAUD,7,3,26,42
VIERZON,NANTES,7,3,26,42
VIERZON,SAUMUR,7,3,26,42
VIERZON,ST PIERRE DES CORPS,7,3,25,43
