origine,destination,first_open_delta_median,first_open_delta_p25,first_open_delta_p75,n_departure_dates
ANGERS SAINT LAUD,BOURGES,21,7,29,85
ANGERS SAINT LAUD,LYON (intramuros),20,8,29,86
ANGERS SAINT LAUD,MOULINS SUR ALLIER,20,7,29,84
ANGERS SAINT LAUD,NEVERS,21,7,29,85
ANGERS SAINT LAUD,ROANNE,20,8,29,86
ANGERS SAINT LAUD,SAINT GERMAIN DES FOSSES,20,8,29,86
ANGERS SAINT LAUD,SAUMUR,16,9,29,91
ANGERS SAINT LAUD,ST PIERRE DES CORPS,16,9,29,91
ANGERS SAINT LAUD,VIERZON,21,7,29,85
BOURGES,LYON (intramuros),20,7,29,84
BOURGES,MOULINS SUR ALLIER,20,7,29,84
BOURGES,NEVERS,21,7,29,85
BOURGES,ROANNE,20,7,29,84
BOURGES,SAINT GERMAIN DES FOSSES,20,7,29,84
LYON (intramuros),LYON (intramuros),20,7,29,84
MOULINS SUR ALLIER,LYON (intramuros),20,7,29,84
MOULINS SUR ALLIER,ROANNE,20,7,29,84
MOULINS SUR ALLIER,SAINT GERMAIN DES FOSSES,20,7,29,84
NANTES,ANGERS SAINT LAUD,16,9,29,91
NANTES,BOURGES,21,7,29,85
NANTES,LYON (intramuros),20,8,29,86
NANTES,MOULINS SUR ALLIER,20,7,29,84
NANTES,NEVERS,21,7,29,85
NANTES,ROANNE,20,8,29,86
NANTES,SAINT GERMAIN DES FOSSES,20,7,29,84
NANTES,SAUMUR,16,9,29,91
NANTES,ST PIERRE DES CORPS,16,9,29,91
NANTES,VIERZON,21,7,29,85
NEVERS,LYON (intramuros),20,7,29,84
NEVERS,MOULINS SUR ALLIER,20,7,29,84
NEVERS,ROANNE,20,7,29,84
NEVERS,SAINT GERMAIN DES FOSSES,20,7,29,84
ROANNE,LYON (intramuros),20,7,29,84
SAINT GERMAIN DES FOSSES,LYON (intramuros),20,7,29,84
SAINT GERMAIN DES FOSSES,ROANNE,20,7,29,84
SAUMUR,BOURGES,21,7,29,85
SAUMUR,LYON (intramuros),20,8,29,86
SAUMUR,MOULINS SUR ALLIER,20,7,29,84
SAUMUR,NEVERS,21,7,29,85
SAUMUR,ROANNE,20,8,29,86
SAUMUR,SAINT GERMAIN DES FOSSES,20,8,29,86
SAUMUR,ST PIERRE DES CORPS,16,9,29,91
SAUMUR,VIERZON,21,7,29,85
ST PIERRE DES CORPS,BOURGES,21,7,29,85
ST PIERRE DES CORPS,LYON (intramuros),20,8,29,86
ST PIERRE DES CORPS,MOULINS SUR ALLIER,20,7,29,84
ST PIERRE DES CORPS,NEVERS,21,7,29,85
ST PIERRE DES CORPS,ROANNE,20,8,29,86
ST PIERRE DES CORPS,SAINT GERMAIN DES FOSSES,20,7,29,84
ST PIERRE DES CORPS,VIERZON,21,7,29,85
VIERZON,BOURGES,21,7,29,85
VIERZON,LYON (intramuros),20,7,29,84
VIERZON,MOULINS SUR ALLIER,20,7,29,84
VIERZON,NEVERS,21,7,29,85
VIERZON,ROANNE,20,7,29,84
VIERZON,SAINT GERMAIN DES FOSSES,20,7,29,84
