origine,destination,first_open_delta_median,first_open_delta_p25,first_open_delta_p75,n_departure_dates
AGDE,MONTPELLIER SAINT ROCH,11,5,17,288
AGDE,MONTPELLIER SUD DE FRANCE,9,3,11,259
AGDE,NIMES CENTRE,11,5,18,285
AGDE,NIMES PONT DU GARD,9,3,11,259
AGDE,PARIS (intramuros),10,3,23,194
AGDE,SETE,11,7,21,329
AGDE,VALENCE TGV AUVERGNE RHONE ALPES,10,3,16,239
BEZIERS,AGDE,11,7,21,329
BEZIERS,MONTPELLIER SAINT ROCH,11,5,17,288
BEZIERS,MONTPELLIER SUD DE FRANCE,9,3,11,259
BEZIERS,NIMES CENTRE,11,5,18,285
BEZIERS,NIMES PONT DU GARD,9,3,11,259
BEZIERS,PARIS (intramuros),10,3,23,194
BEZIERS,SETE,11,7,21,329
BEZIERS,VALENCE TGV AUVERGNE RHONE ALPES,10,3,16,239
LYON (intramuros),PARIS (intramuros),1,1,1,1
MONTPELLIER SAINT ROCH,NIMES CENTRE,11,4,19,318
MONTPELLIER SAINT ROCH,PARIS (intramuros),8,3,28,194
MONTPELLIER SAINT ROCH,VALENCE TGV AUVERGNE RHONE ALPES,11,3,17,315
MONTPELLIER SUD DE FRANCE,NIMES PONT DU GARD,10,4,21,341
MONTPELLIER SUD DE FRANCE,PARIS (intramuros),9,3,29,179
MONTPELLIER SUD DE FRANCE,VALENCE TGV AUVERGNE RHONE ALPES,10,4,21,337
MONTPELLIER SUD DE FRANCE,VALENCE VILLE,3,3,7,4
NARBONNE,AGDE,11,7,21,329
NARBONNE,BEZIERS,11,7,21,329
NARBONNE,MONTPELLIER SAINT ROCH,11,5,17,288
NARBONNE,MONTPELLIER SUD DE FRANCE,9,3,11,259
NARBONNE,NIMES CENTRE,11,5,18,285
NARBONNE,NIMES PONT DU GARD,9,3,11,259
NARBONNE,PARIS (intramuros),10,3,23,194
NARBONNE,SETE,11,7,21,329
NARBONNE,VALENCE TGV AUVERGNE RHONE ALPES,10,3,16,239
NIMES CENTRE,PARIS (intramuros),8,3,28,194
NIMES CENTRE,VALENCE TGV AUVERGNE RHONE ALPES,11,3,17,315
NIMES PONT DU GARD,PARIS (intramuros),9,3,29,179
NIMES PONT DU GARD,VALENCE TGV AUVERGNE RHONE ALPES,10,4,21,337
NIMES PONT DU GARD,VALENCE VILLE,3,3,7,4
PERPIGNAN,AGDE,11,7,21,329
PERPIGNAN,BEZIERS,11,7,21,329
PERPIGNAN,MONTPELLIER SAINT ROCH,11,5,17,288
PERPIGNAN,MONTPELLIER SUD DE FRANCE,9,3,11,259
PERPIGNAN,NARBONNE,11,7,21,329
PERPIGNAN,NIMES CENTRE,11,5,18,285
PERPIGNAN,NIMES PONT DU GARD,9,3,11,259
PERPIGNAN,PARIS (intramuros),10,3,23,194
PERPIGNAN,SETE,11,7,21,329
PERPIGNAN,VALENCE TGV AUVERGNE RHONE ALPES,10,3,16,239
SETE,MONTPELLIER SAINT ROCH,11,5,17,288
SETE,MONTPELLIER SUD DE FRANCE,9,3,11,259
SETE,NIMES CENTRE,11,5,18,285
SETE,NIMES PONT DU GARD,9,3,11,259
SETE,PARIS (intramuros),10,3,23,194
SETE,VALENCE TGV AUVERGNE RHONE ALPES,10,3,16,239
VALENCE TGV AUVERGNE RHONE ALPES,PARIS (intramuros),11,3,29,251
VALENCE VILLE,PARIS (intramuros),2,2,2,2
