origine,destination,first_open_delta_median,first_open_delta_p25,first_open_delta_p75,n_departure_dates
AUTERIVE,LES AUBRAIS ORLEANS,0,0,0,18
AUTERIVE,PARIS (intramuros),0,0,0,18
AX LES THERMES,LES AUBRAIS ORLEANS,0,0,0,18
AX LES THERMES,PARIS (intramuros),0,0,0,18
FOIX,LES AUBRAIS ORLEANS,0,0,0,18
FOIX,PARIS (intramuros),0,0,0,18
L'HOSPITALET PRES L'AND.,LES AUBRAIS ORLEANS,0,0,0,18
L'HOSPITALET PRES L'AND.,PARIS (intramuros),0,0,0,18
LATOUR DE CAROL ENVEITG,LES AUBRAIS ORLEANS,0,0,0,18
LATOUR DE CAROL ENVEITG,PARIS (intramuros),0,0,0,18
LES CABANNES,LES AUBRAIS ORLEANS,0,0,0,18
LES CABANNES,PARIS (intramuros),0,0,0,18
LUZENAC GARANOU,LES AUBRAIS ORLEANS,0,0,0,18
LUZENAC GARANOU,PARIS (intramuros),0,0,0,18
MERENS LES VALS,LES AUBRAIS ORLEANS,0,0,0,18
MERENS LES VALS,PARIS (intramuros),0,0,0,18
PAMIERS,LES AUBRAIS ORLEANS,0,0,0,18
PAMIERS,PARIS (intramuros),0,0,0,18
PORTE PUYMORENS,LES AUBRAIS ORLEANS,0,0,0,18
PORTE PUYMORENS,PARIS (intramuros),0,0,0,18
SAVERDUN,LES AUBRAIS ORLEANS,0,0,0,18
SAVERDUN,PARIS (intramuros),0,0,0,18
TARASCON SUR ARIEGE,LES AUBRAIS ORLEANS,0,0,0,18
TARASCON SUR ARIEGE,PARIS (intramuros),0,0,0,18
