origine,destination,first_open_delta_median,first_open_delta_p25,first_open_delta_p75,n_departure_dates
ANCENIS,ANGERS SAINT LAUD,6,3,9,14
ANCENIS,LE MANS,2,2,10,4
ANCENIS,PARIS (intramuros),4,2,16,3
ANGERS SAINT LAUD,LA BAULE ESCOUBLAC,4,4,5,2
ANGERS SAINT LAUD,LE MANS,29,22,29,254
ANGERS SAINT LAUD,NANTES,4,4,5,2
ANGERS SAINT LAUD,PARIS (intramuros),29,28,29,226
ANGERS SAINT LAUD,SABLE SUR SARTHE,29,24,29,213
ANGERS SAINT LAUD,ST NAZAIRE,4,4,5,2
LA BAULE ESCOUBLAC,ANGERS SAINT LAUD,11,3,29,211
LA BAULE ESCOUBLAC,LE MANS,3,3,27,136
LA BAULE ESCOUBLAC,NANTES,29,19,29,256
LA BAULE ESCOUBLAC,PARIS (intramuros),13,4,29,177
LA BAULE ESCOUBLAC,PARIS MONTPARNASSE VAUGIRARD,11,11,11,1
LA BAULE ESCOUBLAC,PORNICHET,17,9,29,74
LA BAULE ESCOUBLAC,SABLE SUR SARTHE,11,3,29,135
LA BAULE ESCOUBLAC,ST NAZAIRE,29,19,29,256
LA ROCHE SUR YON,ANGERS SAINT LAUD,21,6,29,216
LA ROCHE SUR YON,LE MANS,6,3,29,21
LA ROCHE SUR YON,NANTES,29,19,29,248
LA ROCHE SUR YON,PARIS (intramuros),28,6,29,173
LE CROISIC,ANGERS SAINT LAUD,11,3,29,209
LE CROISIC,LA BAULE ESCOUBLAC,29,19,29,254
LE CROISIC,LE MANS,3,3,26,134
LE CROISIC,LE POULIGUEN,17,9,29,72
LE CROISIC,NANTES,29,19,29,254
LE CROISIC,PARIS (intramuros),13,4,29,175
LE CROISIC,PARIS MONTPARNASSE VAUGIRARD,11,11,11,1
LE CROISIC,PORNICHET,17,9,29,72
LE CROISIC,SABLE SUR SARTHE,11,3,29,135
LE CROISIC,ST NAZAIRE,29,19,29,254
LE MANS,ANGERS SAINT LAUD,4,4,5,2
LE MANS,LA BAULE ESCOUBLAC,4,4,5,2
LE MANS,NANTES,4,4,5,2
LE MANS,PARIS (intramuros),29,18,29,209
LE MANS,ST NAZAIRE,4,4,5,2
LE POULIGUEN,ANGERS SAINT LAUD,23,3,29,23
LE POULIGUEN,LA BAULE ESCOUBLAC,17,9,29,72
LE POULIGUEN,LE MANS,3,2,9,5
LE POULIGUEN,NANTES,17,9,29,72
LE POULIGUEN,PARIS (intramuros),11,3,29,47
LE POULIGUEN,PARIS MONTPARNASSE VAUGIRARD,11,11,11,1
LE POULIGUEN,PORNICHET,17,9,29,72
LE POULIGUEN,ST NAZAIRE,17,9,29,72
LES SABLES D'OLONNE,ANGERS SAINT LAUD,20,6,29,216
LES SABLES D'OLONNE,LA ROCHE SUR YON,29,19,29,248
LES SABLES D'OLONNE,LE MANS,6,3,29,21
LES SABLES D'OLONNE,NANTES,29,19,29,248
LES SABLES D'OLONNE,PARIS (intramuros),26,6,29,167
NANTES,ANCENIS,6,3,9,14
NANTES,ANGERS SAINT LAUD,29,29,29,257
NANTES,LA BAULE ESCOUBLAC,19,14,24,2
NANTES,LE MANS,29,22,29,254
NANTES,PARIS (intramuros),29,29,29,227
NANTES,PARIS MONTPARNASSE VAUGIRARD,11,11,11,1
NANTES,SABLE SUR SARTHE,29,24,29,213
NANTES,ST NAZAIRE,19,14,24,2
PARIS (intramuros),ANGERS SAINT LAUD,6,6,6,1
PARIS (intramuros),LA BAULE ESCOUBLAC,6,6,6,1
PARIS (intramuros),LE MANS,6,6,6,1
PARIS (intramuros),NANTES,6,6,6,1
PARIS (intramuros),ST NAZAIRE,6,6,6,1
PORNICHET,ANGERS SAINT LAUD,23,3,29,23
PORNICHET,LE MANS,3,2,9,5
PORNICHET,NANTES,17,9,29,74
PORNICHET,PARIS (intramuros),14,3,29,48
PORNICHET,PARIS MONTPARNASSE VAUGIRARD,11,11,11,1
PORNICHET,ST NAZAIRE,17,9,29,74
SABLE SUR SARTHE,LE MANS,29,25,29,186
SABLE SUR SARTHE,PARIS (intramuros),16,6,29,168
ST NAZAIRE,ANGERS SAINT LAUD,28,12,29,249
ST NAZAIRE,LA BAULE ESCOUBLAC,19,14,24,2
ST NAZAIRE,LE MANS,4,3,28,146
ST NAZAIRE,NANTES,29,29,29,259
ST NAZAIRE,PARIS (intramuros),23,6,29,202
ST NAZAIRE,PARIS MONTPARNASSE VAUGIRARD,11,11,11,1
ST NAZAIRE,SABLE SUR SARTHE,11,3,29,135
