origine,destination,first_open_delta_median,first_open_delta_p25,first_open_delta_p75,n_departure_dates
CHAMPAGNE ARDENNE TGV,PARIS (intramuros),29,11,29,84
LUXEMBOURG,CHAMPAGNE ARDENNE TGV,29,20,29,98
LUXEMBOURG,METZ VILLE,29,21,29,126
LUXEMBOURG,MEUSE TGV,29,11,29,24
LUXEMBOURG,PARIS (intramuros),29,11,29,115
LUXEMBOURG,THIONVILLE,29,21,29,126
METZ VILLE,CHAMPAGNE ARDENNE TGV,29,20,29,111
METZ VILLE,MEUSE TGV,29,11,29,89
METZ VILLE,PARIS (intramuros),29,17,29,110
MEUSE TGV,PARIS (intramuros),11,11,18,46
SARREBOURG,METZ VILLE,11,11,29,18
SARREBOURG,PARIS (intramuros),11,11,11,2
SAVERNE,METZ VILLE,11,11,29,18
SAVERNE,PARIS (intramuros),11,11,11,2
SAVERNE,SARREBOURG,11,11,29,18
STRASBOURG,METZ VILLE,11,11,29,18
STRASBOURG,PARIS (intramuros),11,11,11,2
STRASBOURG,SARREBOURG,11,11,29,18
STRASBOURG,SAVERNE,11,11,29,18
THIONVILLE,CHAMPAGNE ARDENNE TGV,29,19,29,98
THIONVILLE,METZ VILLE,29,21,29,126
THIONVILLE,MEUSE TGV,29,11,29,24
THIONVILLE,PARIS (intramuros),29,11,29,106
