origine,destination,first_open_delta_median,first_open_delta_p25,first_open_delta_p75,n_departure_dates
CHALON SUR SAONE,CULMONT CHALINDREY,29,14,29,99
CHALON SUR SAONE,DIJON VILLE,29,14,29,99
CHALON SUR SAONE,NANCY,29,8,29,84
CHALON SUR SAONE,NEUFCHATEAU,29,8,29,84
CHALON SUR SAONE,TOUL,29,8,29,83
CULMONT CHALINDREY,NANCY,29,8,29,87
CULMONT CHALINDREY,NEUFCHATEAU,29,8,29,87
CULMONT CHALINDREY,TOUL,29,8,29,86
DIJON VILLE,CULMONT CHALINDREY,29,14,29,102
DIJON VILLE,NANCY,29,8,29,87
DIJON VILLE,NEUFCHATEAU,29,8,29,87
DIJON VILLE,TOUL,29,8,29,86
LYON (intramuros),CHALON SUR SAONE,29,14,29,99
LYON (intramuros),CULMONT CHALINDREY,29,13,29,104
LYON (intramuros),DIJON VILLE,29,14,29,102
LYON (intramuros),LYON (intramuros),29,14,29,102
LYON (intramuros),MACON VILLE,29,14,29,99
LYON (intramuros),NANCY,29,8,29,89
LYON (intramuros),NEUFCHATEAU,29,8,29,89
LYON (intramuros),TOUL,29,8,29,88
MACON VILLE,CHALON SUR SAONE,29,14,29,99
MACON VILLE,CULMONT CHALINDREY,29,14,29,99
MACON VILLE,DIJON VILLE,29,14,29,99
MACON VILLE,NANCY,29,8,29,86
MACON VILLE,NEUFCHATEAU,29,8,29,86
MACON VILLE,TOUL,29,8,29,85
NEUFCHATEAU,NANCY,29,8,29,87
NEUFCHATEAU,TOUL,29,8,29,86
TOUL,NANCY,29,8,29,86
