origine,destination,first_open_delta_median,first_open_delta_p25,first_open_delta_p75,n_departure_dates
CHALON SUR SAONE,LYON (intramuros),14,3,29,70
CHALON SUR SAONE,MACON VILLE,14,3,29,70
CULMONT CHALINDREY,CHALON SUR SAONE,14,3,29,70
CULMONT CHALINDREY,DIJON VILLE,13,3,29,73
CULMONT CHALINDREY,LYON (intramuros),13,3,29,73
CULMONT CHALINDREY,MACON VILLE,14,3,29,70
DIJON VILLE,CHALON SUR SAONE,14,3,29,70
DIJON VILLE,LYON (intramuros),13,3,29,73
DIJON VILLE,MACON VILLE,14,3,29,70
LYON (intramuros),LYON (intramuros),15,3,29,71
MACON VILLE,LYON (intramuros),14,3,29,70
NANCY,CHALON SUR SAONE,14,3,29,70
NANCY,CULMONT CHALINDREY,13,3,29,73
NANCY,DIJON VILLE,13,3,29,73
NANCY,LYON (intramuros),12,6,29,75
NANCY,MACON VILLE,12,5,29,72
NANCY,NEUFCHATEAU,13,3,29,73
NANCY,TOUL,13,3,29,73
NEUFCHATEAU,CHALON SUR SAONE,14,3,29,70
NEUFCHATEAU,CULMONT CHALINDREY,13,3,29,73
NEUFCHATEAU,DIJON VILLE,13,3,29,73
NEUFCHATEAU,LYON (intramuros),12,6,29,75
NEUFCHATEAU,MACON VILLE,12,5,29,72
TOUL,CHALON SUR SAONE,14,3,29,70
TOUL,CULMONT CHALINDREY,13,3,29,73
TOUL,DIJON VILLE,13,3,29,73
TOUL,LYON (intramuros),12,6,29,75
TOUL,MACON VILLE,12,5,29,72
TOUL,NEUFCHATEAU,13,3,29,73
