origine,destination,first_open_delta_median,first_open_delta_p25,first_open_delta_p75,n_departure_dates
AIX EN PROVENCE TGV,AVIGNON TGV,6,3,6,121
AIX EN PROVENCE TGV,BELFORT MONTBELIARD TGV,2,1,4,3
AIX EN PROVENCE TGV,BESANCON FRANCHE COMTE TGV,2,1,4,3
AIX EN PROVENCE TGV,CHALON SUR SAONE,3,2,4,2
AIX EN PROVENCE TGV,LYON (intramuros),5,3,6,79
AIX EN PROVENCE TGV,MULHOUSE VILLE,2,1,4,3
AIX EN PROVENCE TGV,STRASBOURG,2,1,4,3
AVIGNON TGV,BELFORT MONTBELIARD TGV,2,1,4,3
AVIGNON TGV,BESANCON FRANCHE COMTE TGV,2,1,4,3
AVIGNON TGV,CHALON SUR SAONE,3,2,4,2
AVIGNON TGV,LYON (intramuros),5,3,6,79
AVIGNON TGV,MULHOUSE VILLE,2,1,4,3
AVIGNON TGV,STRASBOURG,2,1,4,3
BELFORT MONTBELIARD TGV,MULHOUSE VILLE,3,3,6,5
BELFORT MONTBELIARD TGV,STRASBOURG,3,3,6,5
BESANCON FRANCHE COMTE TGV,BELFORT MONTBELIARD TGV,3,3,6,5
BESANCON FRANCHE COMTE TGV,MULHOUSE VILLE,3,3,6,5
BESANCON FRANCHE COMTE TGV,STRASBOURG,3,3,6,5
CHALON SUR SAONE,BELFORT MONTBELIARD TGV,3,3,6,5
CHALON SUR SAONE,BESANCON FRANCHE COMTE TGV,3,3,6,5
CHALON SUR SAONE,MULHOUSE VILLE,3,3,6,5
CHALON SUR SAONE,STRASBOURG,3,3,6,5
LYON (intramuros),BELFORT MONTBELIARD TGV,2,1,3,10
LYON (intramuros),BESANCON FRANCHE COMTE TGV,2,1,3,10
LYON (intramuros),CHALON SUR SAONE,4,3,6,4
LYON (intramuros),MULHOUSE VILLE,2,1,3,10
LYON (intramuros),STRASBOURG,2,1,3,10
MARSEILLE ST CHARLES,AVIGNON TGV,6,3,6,121
MARSEILLE ST CHARLES,BELFORT MONTBELIARD TGV,2,1,4,3
MARSEILLE ST CHARLES,BESANCON FRANCHE COMTE TGV,2,1,4,3
MARSEILLE ST CHARLES,CHALON SUR SAONE,3,2,4,2
MARSEILLE ST CHARLES,LYON (intramuros),5,3,6,80
MARSEILLE ST CHARLES,MULHOUSE VILLE,2,1,4,3
MARSEILLE ST CHARLES,STRASBOURG,2,1,4,3
MULHOUSE VILLE,STRASBOURG,3,3,6,5
