origine,destination,first_open_delta_median,first_open_delta_p25,first_open_delta_p75,n_departure_dates
CHAMPAGNE ARDENNE TGV,PARIS (intramuros),20,11,29,177
EPINAL,CHAMPAGNE ARDENNE TGV,3,2,3,91
EPINAL,MEUSE TGV,3,3,5,5
EPINAL,NANCY,20,13,29,260
EPINAL,PARIS (intramuros),11,3,18,170
LORRAINE TGV,CHAMPAGNE ARDENNE TGV,29,10,29,6
LORRAINE TGV,MEUSE TGV,29,3,29,5
LORRAINE TGV,PARIS (intramuros),29,29,29,4
LUNEVILLE,MEUSE TGV,3,2,4,20
LUNEVILLE,NANCY,15,10,29,224
LUNEVILLE,PARIS (intramuros),14,7,29,160
MEUSE TGV,CHAMPAGNE ARDENNE TGV,11,3,28,47
MEUSE TGV,PARIS (intramuros),14,8,29,197
NANCY,CHAMPAGNE ARDENNE TGV,29,8,29,234
NANCY,MEUSE TGV,11,3,29,244
NANCY,PARIS (intramuros),29,22,29,246
REMIREMONT,CHAMPAGNE ARDENNE TGV,3,2,3,91
REMIREMONT,EPINAL,20,13,29,260
REMIREMONT,MEUSE TGV,3,3,5,5
REMIREMONT,NANCY,20,13,29,260
REMIREMONT,PARIS (intramuros),11,3,18,170
SARREBOURG,CHAMPAGNE ARDENNE TGV,1,0,3,7
SARREBOURG,LUNEVILLE,15,11,29,171
SARREBOURG,MEUSE TGV,1,0,3,7
SARREBOURG,NANCY,14,11,29,178
SARREBOURG,PARIS (intramuros),16,7,29,145
SAVERNE,CHAMPAGNE ARDENNE TGV,1,0,3,7
SAVERNE,LUNEVILLE,15,11,29,171
SAVERNE,MEUSE TGV,1,0,3,7
SAVERNE,NANCY,14,11,29,178
SAVERNE,PARIS (intramuros),16,7,29,145
SAVERNE,SARREBOURG,14,11,29,178
ST DIE,LUNEVILLE,15,3,29,53
ST DIE,MEUSE TGV,3,2,4,20
ST DIE,NANCY,20,14,29,246
ST DIE,PARIS (intramuros),9,3,11,120
STRASBOURG,CHAMPAGNE ARDENNE TGV,3,1,3,9
STRASBOURG,LORRAINE TGV,29,29,29,2
STRASBOURG,LUNEVILLE,15,11,29,171
STRASBOURG,MEUSE TGV,3,1,3,9
STRASBOURG,NANCY,15,11,28,214
STRASBOURG,PARIS (intramuros),16,7,29,145
STRASBOURG,SARREBOURG,14,11,29,178
STRASBOURG,SAVERNE,14,11,29,178
