origine,destination,first_open_delta_median,first_open_delta_p25,first_open_delta_p75,n_departure_dates
JONZAC,BORDEAUX ST JEAN,29,20,29,113
LA ROCHE SUR YON,BORDEAUX ST JEAN,29,20,29,113
LA ROCHE SUR YON,JONZAC,29,20,29,112
LA ROCHE SUR YON,LA ROCHELLE VILLE,29,20,29,112
LA ROCHE SUR YON,LUCON,29,20,29,112
LA ROCHE SUR YON,ROCHEFORT,29,20,29,112
LA ROCHE SUR YON,SAINTES,29,20,29,112
LA ROCHELLE VILLE,BORDEAUX ST JEAN,29,20,29,113
LA ROCHELLE VILLE,JONZAC,29,20,29,112
LA ROCHELLE VILLE,ROCHEFORT,29,20,29,112
LA ROCHELLE VILLE,SAINTES,29,20,29,112
LUCON,BORDEAUX ST JEAN,29,20,29,113
LUCON,JONZAC,29,20,29,112
LUCON,LA ROCHELLE VILLE,29,20,29,112
LUCON,ROCHEFORT,29,20,29,112
LUCON,SAINTES,29,20,29,112
NANTES,BORDEAUX ST JEAN,29,20,29,113
NANTES,JONZAC,29,20,29,113
NANTES,LA ROCHE SUR YON,29,20,29,113
NANTES,LA ROCHELLE VILLE,29,20,29,113
NANTES,LUCON,29,20,29,113
NANTES,ROCHEFORT,29,20,29,113
NANTES,SAINTES,29,20,29,113
ROCHEFORT,BORDEAUX ST JEAN,29,20,29,113
ROCHEFORT,JONZAC,29,20,29,112
ROCHEFORT,SAINTES,29,20,29,112
SAINTES,BORDEAUX ST JEAN,29,20,29,113
SAINTES,JONZAC,29,20,29,112
