origine,destination,first_open_delta_median,first_open_delta_p25,first_open_delta_p75,n_departure_dates
ARVANT,AUMONT AUBRAC,3,3,3,72
ARVANT,BANASSAC LA CANOURGUE,3,3,3,72
ARVANT,BEDARIEUX,3,3,3,72
ARVANT,BEZIERS,3,3,3,72
ARVANT,CAMPAGNAC ST GENIEZ,3,3,3,72
ARVANT,CEILHES ROQUEREDONDE,3,3,3,72
ARVANT,LE BOUSQUET D'ORB,3,3,3,72
ARVANT,LE MONASTIER,3,3,3,72
ARVANT,MAGALAS,3,3,3,72
ARVANT,MARVEJOLS,3,3,3,72
ARVANT,MASSIAC BLESLE,3,3,3,72
ARVANT,MILLAU,3,3,3,72
ARVANT,NEUSSARGUES,3,3,3,72
ARVANT,SAINT CHELY D'APCHER,3,3,3,72
ARVANT,SAINT GEORGES DE LUZENCON,3,3,3,72
ARVANT,SAINT ROME DE CERNON,3,3,3,72
ARVANT,SEVERAC LE CHATEAU,3,3,3,72
ARVANT,ST FLOUR CHAUDES AIGUES,3,3,3,72
ARVANT,TOURNEMIRE ROQUEFORT,3,3,3,72
AUMONT AUBRAC,BANASSAC LA CANOURGUE,3,3,3,72
AUMONT AUBRAC,BEDARIEUX,3,3,3,72
AUMONT AUBRAC,BEZIERS,3,3,3,72
AUMONT AUBRAC,CAMPAGNAC ST GENIEZ,3,3,3,72
AUMONT AUBRAC,CEILHES ROQUEREDONDE,3,3,3,72
AUMONT AUBRAC,LE BOUSQUET D'ORB,3,3,3,72
AUMONT AUBRAC,LE MONASTIER,3,3,3,72
AUMONT AUBRAC,MAGALAS,3,3,3,72
AUMONT AUBRAC,MARVEJOLS,3,3,3,72
AUMONT AUBRAC,MILLAU,3,3,3,72
AUMONT AUBRAC,SAINT GEORGES DE LUZENCON,3,3,3,72
AUMONT AUBRAC,SAINT ROME DE CERNON,3,3,3,72
AUMONT AUBRAC,SEVERAC LE CHATEAU,3,3,3,72
AUMONT AUBRAC,TOURNEMIRE ROQUEFORT,3,3,3,72
BANASSAC LA CANOURGUE,BEDARIEUX,3,3,3,72
BANASSAC LA CANOURGUE,BEZIERS,3,3,3,72
BANASSAC LA CANOURGUE,CAMPAGNAC ST GENIEZ,3,3,3,72
BANASSAC LA CANOURGUE,CEILHES ROQUEREDONDE,3,3,3,72
BANASSAC LA CANOURGUE,LE BOUSQUET D'ORB,3,3,3,72
BANASSAC LA CANOURGUE,MAGALAS,3,3,3,72
BANASSAC LA CANOURGUE,MILLAU,3,3,3,72
BANASSAC LA CANOURGUE,SAINT GEORGES DE LUZENCON,3,3,3,72
BANASSAC LA CANOURGUE,SAINT ROME DE CERNON,3,3,3,72
BANASSAC LA CANOURGUE,SEVERAC LE CHATEAU,3,3,3,72
BANASSAC LA CANOURGUE,TOURNEMIRE ROQUEFORT,3,3,3,72
BEDARIEUX,BEZIERS,3,3,3,72
BEDARIEUX,MAGALAS,3,3,3,72
BRASSAC LES MINES STE FLORINE,ARVANT,3,3,3,72
BRASSAC LES MINES STE FLORINE,AUMONT AUBRAC,3,3,3,72
BRASSAC LES MINES STE FLORINE,BANASSAC LA CANOURGUE,3,3,3,72
BRASSAC LES MINES STE FLORINE,BEDARIEUX,3,3,3,72
BRASSAC LES MINES STE FLORINE,BEZIERS,3,3,3,72
BRASSAC LES MINES STE FLORINE,CAMPAGNAC ST GENIEZ,3,3,3,72
BRASSAC LES MINES STE FLORINE,CEILHES ROQUEREDONDE,3,3,3,72
BRASSAC LES MINES STE FLORINE,LE BOUSQUET D'ORB,3,3,3,72
BRASSAC LES MINES STE FLORINE,LE MONASTIER,3,3,3,72
BRASSAC LES MINES STE FLORINE,MAGALAS,3,3,3,72
BRASSAC LES MINES STE FLORINE,MARVEJOLS,3,3,3,72
BRASSAC LES MINES STE FLORINE,MASSIAC BLESLE,3,3,3,72
BRASSAC LES MINES STE FLORINE,MILLAU,3,3,3,72
BRASSAC LES MINES STE FLORINE,NEUSSARGUES,3,3,3,72
BRASSAC LES MINES STE FLORINE,SAINT CHELY D'APCHER,3,3,3,72
BRASSAC LES MINES STE FLORINE,SAINT GEORGES DE LUZENCON,3,3,3,72
BRASSAC LES MINES STE FLORINE,SAINT ROME DE CERNON,3,3,3,72
BRASSAC LES MINES STE FLORINE,SEVERAC LE CHATEAU,3,3,3,72
BRASSAC LES MINES STE FLORINE,ST FLOUR CHAUDES AIGUES,3,3,3,72
BRASSAC LES MINES STE FLORINE,TOURNEMIRE ROQUEFORT,3,3,3,72
CAMPAGNAC ST GENIEZ,BEDARIEUX,3,3,3,72
CAMPAGNAC ST GENIEZ,BEZIERS,3,3,3,72
CAMPAGNAC ST GENIEZ,CEILHES ROQUEREDONDE,3,3,3,72
CAMPAGNAC ST GENIEZ,LE BOUSQUET D'ORB,3,3,3,72
CAMPAGNAC ST GENIEZ,MAGALAS,3,3,3,72
CAMPAGNAC ST GENIEZ,MILLAU,3,3,3,72
CAMPAGNAC ST GENIEZ,SAINT GEORGES DE LUZENCON,3,3,3,72
CAMPAGNAC ST GENIEZ,SAINT ROME DE CERNON,3,3,3,72
CAMPAGNAC ST GENIEZ,SEVERAC LE CHATEAU,3,3,3,72
CAMPAGNAC ST GENIEZ,TOURNEMIRE ROQUEFORT,3,3,3,72
CEILHES ROQUEREDONDE,BEDARIEUX,3,3,3,72
CEILHES ROQUEREDONDE,BEZIERS,3,3,3,72
CEILHES ROQUEREDONDE,LE BOUSQUET D'ORB,3,3,3,72
CEILHES ROQUEREDONDE,MAGALAS,3,3,3,72
CLERMONT FERRAND,ARVANT,3,3,3,72
CLERMONT FERRAND,AUMONT AUBRAC,3,3,3,72
CLERMONT FERRAND,BANASSAC LA CANOURGUE,3,3,3,72
CLERMONT FERRAND,BEDARIEUX,3,3,3,72
CLERMONT FERRAND,BEZIERS,3,3,3,72
CLERMONT FERRAND,BRASSAC LES MINES STE FLORINE,3,3,3,72
CLERMONT FERRAND,CAMPAGNAC ST GENIEZ,3,3,3,72
CLERMONT FERRAND,CEILHES ROQUEREDONDE,3,3,3,72
CLERMONT FERRAND,ISSOIRE,3,3,3,72
CLERMONT FERRAND,LE BOUSQUET D'ORB,3,3,3,72
CLERMONT FERRAND,LE MONASTIER,3,3,3,72
CLERMONT FERRAND,MAGALAS,3,3,3,72
CLERMONT FERRAND,MARVEJOLS,3,3,3,72
CLERMONT FERRAND,MASSIAC BLESLE,3,3,3,72
CLERMONT FERRAND,MILLAU,3,3,3,72
CLERMONT FERRAND,NEUSSARGUES,3,3,3,72
CLERMONT FERRAND,SAINT CHELY D'APCHER,3,3,3,72
CLERMONT FERRAND,SAINT GEORGES DE LUZENCON,3,3,3,72
CLERMONT FERRAND,SAINT ROME DE CERNON,3,3,3,72
CLERMONT FERRAND,SEVERAC LE CHATEAU,3,3,3,72
CLERMONT FERRAND,ST FLOUR CHAUDES AIGUES,3,3,3,72
CLERMONT FERRAND,TOURNEMIRE ROQUEFORT,3,3,3,72
ISSOIRE,ARVANT,3,3,3,72
ISSOIRE,AUMONT AUBRAC,3,3,3,72
ISSOIRE,BANASSAC LA CANOURGUE,3,3,3,72
ISSOIRE,BEDARIEUX,3,3,3,72
ISSOIRE,BEZIERS,3,3,3,72
ISSOIRE,BRASSAC LES MINES STE FLORINE,3,3,3,72
ISSOIRE,CAMPAGNAC ST GENIEZ,3,3,3,72
ISSOIRE,CEILHES ROQUEREDONDE,3,3,3,72
ISSOIRE,LE BOUSQUET D'ORB,3,3,3,72
ISSOIRE,LE MONASTIER,3,3,3,72
ISSOIRE,MAGALAS,3,3,3,72
ISSOIRE,MARVEJOLS,3,3,3,72
ISSOIRE,MASSIAC BLESLE,3,3,3,72
ISSOIRE,MILLAU,3,3,3,72
ISSOIRE,NEUSSARGUES,3,3,3,72
ISSOIRE,SAINT CHELY D'APCHER,3,3,3,72
