origine,destination,first_open_delta_median,first_open_delta_p25,first_open_delta_p75,n_departure_dates
ARRAS,BOULOGNE VILLE,27,14,28,3
ARRAS,CALAIS FRETHUN,14,2,28,4
ARRAS,CALAIS VILLE,14,2,28,4
ARRAS,DOUAI,6,6,6,1
ARRAS,ETAPLES   LE TOUQUET,2,2,2,1
ARRAS,LILLE (intramuros),2,2,9,12
ARRAS,RANG DU FLIERS VERTON BERCK,2,2,2,1
ARRAS,VALENCIENNES,6,6,6,1
CALAIS FRETHUN,BOULOGNE VILLE,27,14,28,3
CALAIS FRETHUN,CALAIS VILLE,14,2,28,4
CALAIS FRETHUN,ETAPLES   LE TOUQUET,2,2,2,1
CALAIS FRETHUN,RANG DU FLIERS VERTON BERCK,2,2,2,1
CALAIS VILLE,BOULOGNE VILLE,27,14,28,3
CALAIS VILLE,ETAPLES   LE TOUQUET,2,2,2,1
DOUAI,VALENCIENNES,6,6,6,1
LILLE (intramuros),BOULOGNE VILLE,27,14,28,3
LILLE (intramuros),CALAIS FRETHUN,14,2,28,4
LILLE (intramuros),CALAIS VILLE,14,2,28,4
LILLE (intramuros),CROIX WASQUEHAL,14,14,14,1
LILLE (intramuros),ETAPLES   LE TOUQUET,2,2,2,1
LILLE (intramuros),RANG DU FLIERS VERTON BERCK,2,2,2,1
LILLE (intramuros),ROUBAIX,14,14,14,1
LILLE (intramuros),TOURCOING,14,14,14,1
PARIS (intramuros),ARRAS,29,29,29,386
PARIS (intramuros),BETHUNE,29,22,29,376
PARIS (intramuros),BOULOGNE VILLE,27,11,29,326
PARIS (intramuros),CALAIS FRETHUN,29,11,29,342
PARIS (intramuros),CALAIS VILLE,7,5,8,37
PARIS (intramuros),CROIX WASQUEHAL,11,7,29,203
PARIS (intramuros),DOUAI,29,25,29,376
PARIS (intramuros),DUNKERQUE,29,25,29,383
PARIS (intramuros),ETAPLES   LE TOUQUET,11,6,15,293
PARIS (intramuros),HAZEBROUCK,29,22,29,376
PARIS (intramuros),LENS,29,23,29,381
PARIS (intramuros),LILLE (intramuros),29,12,29,365
PARIS (intramuros),RANG DU FLIERS VERTON BERCK,11,6,15,293
PARIS (intramuros),ROUBAIX,11,7,29,203
PARIS (intramuros),TOURCOING,11,7,29,203
PARIS (intramuros),VALENCIENNES,29,23,29,372
