origine,destination,first_open_delta_median,first_open_delta_p25,first_open_delta_p75,n_departure_dates
AEROPORT ROISSY CDG 2 TGV,ANTIBES,16,16,16,3
AEROPORT ROISSY CDG 2 TGV,CANNES,16,16,16,3
AEROPORT ROISSY CDG 2 TGV,MARNE LA VALLEE CHESSY,12,11,13,2
AEROPORT ROISSY CDG 2 TGV,MARSEILLE ST CHARLES,16,16,16,3
AEROPORT ROISSY CDG 2 TGV,NICE VILLE,16,16,16,3
AEROPORT ROISSY CDG 2 TGV,ST RAPHAEL VALESCURE,16,16,16,3
AEROPORT ROISSY CDG 2 TGV,TOULON,16,16,16,3
AIX EN PROVENCE TGV,ANTIBES,11,3,29,174
AIX EN PROVENCE TGV,CANNES,11,3,29,174
AIX EN PROVENCE TGV,HYERES,29,29,29,1
AIX EN PROVENCE TGV,LES ARCS DRAGUIGNAN,29,29,29,5
AIX EN PROVENCE TGV,NICE VILLE,11,3,29,174
AIX EN PROVENCE TGV,ST RAPHAEL VALESCURE,11,3,29,174
AIX EN PROVENCE TGV,TOULON,11,3,29,177
ANTIBES,NICE VILLE,29,12,29,337
AVIGNON TGV,AIX EN PROVENCE TGV,29,24,29,4
AVIGNON TGV,ANTIBES,11,3,29,179
AVIGNON TGV,CANNES,11,3,29,180
AVIGNON TGV,HYERES,3,3,29,31
AVIGNON TGV,LES ARCS DRAGUIGNAN,6,3,28,10
AVIGNON TGV,NICE VILLE,11,3,29,180
AVIGNON TGV,ST RAPHAEL VALESCURE,11,3,29,178
AVIGNON TGV,TOULON,11,3,29,188
CANNES,ANTIBES,29,12,29,337
CANNES,NICE VILLE,29,12,29,337
LES ARCS DRAGUIGNAN,ANTIBES,11,6,19,318
LES ARCS DRAGUIGNAN,CANNES,11,6,19,318
LES ARCS DRAGUIGNAN,NICE VILLE,11,6,19,318
LYON (intramuros),AIX EN PROVENCE TGV,26,26,26,1
LYON (intramuros),TOULON,26,26,26,1
LYON (intramuros),VALENCE VILLE,26,26,26,1
MARNE LA VALLEE CHESSY,AIX EN PROVENCE TGV,24,21,26,2
MARNE LA VALLEE CHESSY,ANTIBES,18,10,24,3
MARNE LA VALLEE CHESSY,CANNES,18,10,24,3
MARNE LA VALLEE CHESSY,LES ARCS DRAGUIGNAN,15,9,16,3
MARNE LA VALLEE CHESSY,MARSEILLE ST CHARLES,15,9,16,3
MARNE LA VALLEE CHESSY,NICE VILLE,18,10,24,3
MARNE LA VALLEE CHESSY,ST RAPHAEL VALESCURE,24,21,26,2
MARNE LA VALLEE CHESSY,TOULON,18,10,24,3
MARSEILLE ST CHARLES,ANTIBES,11,3,29,266
MARSEILLE ST CHARLES,CANNES,11,3,29,266
MARSEILLE ST CHARLES,HYERES,14,10,29,220
MARSEILLE ST CHARLES,LES ARCS DRAGUIGNAN,11,3,26,208
MARSEILLE ST CHARLES,NICE VILLE,11,3,29,266
MARSEILLE ST CHARLES,ST RAPHAEL VALESCURE,11,3,29,250
MARSEILLE ST CHARLES,TOULON,29,13,29,321
PARIS (intramuros),AIX EN PROVENCE TGV,10,3,11,129
PARIS (intramuros),ANTIBES,26,11,29,241
PARIS (intramuros),AVIGNON TGV,8,3,23,147
PARIS (intramuros),CANNES,26,11,29,241
PARIS (intramuros),HYERES,11,5,29,176
PARIS (intramuros),LES ARCS DRAGUIGNAN,11,3,29,151
PARIS (intramuros),LYON (intramuros),9,9,9,1
PARIS (intramuros),MARSEILLE ST CHARLES,11,6,29,217
PARIS (intramuros),NICE VILLE,26,11,29,241
PARIS (intramuros),ST RAPHAEL VALESCURE,20,10,29,238
PARIS (intramuros),TOULON,29,18,29,285
PARIS (intramuros),VALENCE VILLE,29,29,29,1
ST RAPHAEL VALESCURE,ANTIBES,28,11,29,335
ST RAPHAEL VALESCURE,CANNES,28,11,29,335
ST RAPHAEL VALESCURE,NICE VILLE,28,11,29,335
TOULON,ANTIBES,29,12,29,339
TOULON,CANNES,29,12,29,339
TOULON,HYERES,13,8,29,252
TOULON,LES ARCS DRAGUIGNAN,11,3,28,222
TOULON,NICE VILLE,29,12,29,339
TOULON,ST RAPHAEL VALESCURE,22,11,29,307
VALENCE VILLE,AIX EN PROVENCE TGV,28,27,28,2
VALENCE VILLE,ANTIBES,29,29,29,1
VALENCE VILLE,CANNES,29,29,29,1
VALENCE VILLE,LES ARCS DRAGUIGNAN,29,29,29,1
VALENCE VILLE,NICE VILLE,29,29,29,1
VALENCE VILLE,TOULON,28,27,28,2
