origine,destination,first_open_delta_median,first_open_delta_p25,first_open_delta_p75,n_departure_dates
AGDE,BEZIERS,1,0,2,2
AGDE,NARBONNE,1,0,2,2
AGDE,PERPIGNAN,1,0,2,2
BEZIERS,NARBONNE,0,0,1,3
BEZIERS,PERPIGNAN,0,0,1,3
MONTPELLIER SAINT ROCH,AGDE,1,0,2,2
MONTPELLIER SAINT ROCH,BEZIERS,1,0,2,2
MONTPELLIER SAINT ROCH,NARBONNE,1,0,2,2
MONTPELLIER SAINT ROCH,PERPIGNAN,1,0,2,2
MONTPELLIER SAINT ROCH,SETE,1,0,2,2
MONTPELLIER SUD DE FRANCE,BEZIERS,0,0,0,3
MONTPELLIER SUD DE FRANCE,NARBONNE,0,0,0,3
MONTPELLIER SUD DE FRANCE,PERPIGNAN,0,0,0,3
NARBONNE,PERPIGNAN,0,0,1,3
NIMES CENTRE,AGDE,1,0,2,2
NIMES CENTRE,BEZIERS,1,0,2,2
NIMES CENTRE,MONTPELLIER SAINT ROCH,1,0,2,2
NIMES CENTRE,NARBONNE,1,0,2,2
NIMES CENTRE,PERPIGNAN,1,0,2,2
NIMES CENTRE,SETE,1,0,2,2
NIMES PONT DU GARD,BEZIERS,0,0,0,2
NIMES PONT DU GARD,MONTPELLIER SUD DE FRANCE,0,0,0,2
NIMES PONT DU GARD,NARBONNE,0,0,0,2
NIMES PONT DU GARD,PERPIGNAN,0,0,0,2
PARIS (intramuros),AGDE,1,0,2,2
PARIS (intramuros),BEZIERS,5,2,12,48
PARIS (intramuros),MONTPELLIER SAINT ROCH,4,1,7,9
PARIS (intramuros),MONTPELLIER SUD DE FRANCE,5,1,7,26
PARIS (intramuros),NARBONNE,5,2,12,48
PARIS (intramuros),NIMES CENTRE,4,1,7,9
PARIS (intramuros),NIMES PONT DU GARD,5,1,7,26
PARIS (intramuros),PERPIGNAN,4,2,5,18
PARIS (intramuros),SETE,1,0,2,2
PARIS (intramuros),VALENCE TGV AUVERGNE RHONE ALPES,9,2,16,108
PARIS (intramuros),VALENCE VILLE,0,0,0,1
SETE,AGDE,1,0,2,2
SETE,BEZIERS,1,0,2,2
SETE,NARBONNE,1,0,2,2
SETE,PERPIGNAN,1,0,2,2
VALENCE VILLE,BEZIERS,0,0,0,1
VALENCE VILLE,MONTPELLIER SUD DE FRANCE,0,0,0,1
VALENCE VILLE,NARBONNE,0,0,0,1
VALENCE VILLE,NIMES PONT DU GARD,0,0,0,1
VALENCE VILLE,PERPIGNAN,0,0,0,1
