origine,destination,first_open_delta_median,first_open_delta_p25,first_open_delta_p75,n_departure_dates
CHALONS EN CHAMPAGNE,BAR LE DUC,28,16,29,254
CHALONS EN CHAMPAGNE,VITRY LE FRANCOIS,28,16,29,254
CHAMPAGNE ARDENNE TGV,BAR LE DUC,20,11,29,254
CHAMPAGNE ARDENNE TGV,CHALONS EN CHAMPAGNE,20,11,29,262
CHAMPAGNE ARDENNE TGV,VITRY LE FRANCOIS,20,11,29,254
CHARLEVILLE MEZIERES,SEDAN,29,15,29,314
PARIS (intramuros),BAR LE DUC,11,8,29,183
PARIS (intramuros),CHALONS EN CHAMPAGNE,11,8,29,191
PARIS (intramuros),CHAMPAGNE ARDENNE TGV,11,10,29,171
PARIS (intramuros),CHARLEVILLE MEZIERES,11,6,19,208
PARIS (intramuros),REIMS,29,19,29,295
PARIS (intramuros),RETHEL,11,6,19,208
PARIS (intramuros),SEDAN,11,9,23,156
PARIS (intramuros),VITRY LE FRANCOIS,11,8,29,183
REIMS,CHARLEVILLE MEZIERES,29,18,29,320
REIMS,RETHEL,29,18,29,320
REIMS,SEDAN,29,15,29,314
RETHEL,CHARLEVILLE MEZIERES,29,18,29,320
RETHEL,SEDAN,29,15,29,314
VITRY LE FRANCOIS,BAR LE DUC,28,16,29,254
