origine,destination,first_open_delta_median,first_open_delta_p25,first_open_delta_p75,n_departure_dates
BELFORT MONTBELIARD TGV,MULHOUSE VILLE,29,24,29,186
BESANCON FRANCHE COMTE TGV,BELFORT MONTBELIARD TGV,29,24,29,186
BESANCON FRANCHE COMTE TGV,BESANCON VIOTTE,29,16,29,100
BESANCON FRANCHE COMTE TGV,MULHOUSE VILLE,29,24,29,186
DIJON VILLE,BELFORT MONTBELIARD TGV,29,13,29,180
DIJON VILLE,BESANCON FRANCHE COMTE TGV,29,21,29,182
DIJON VILLE,BESANCON VIOTTE,29,19,29,137
DIJON VILLE,DOLE VILLE,29,11,29,111
DIJON VILLE,MULHOUSE VILLE,29,13,29,180
DOLE VILLE,BESANCON VIOTTE,28,15,29,155
MONTBARD,BELFORT MONTBELIARD TGV,28,11,29,149
MONTBARD,BESANCON FRANCHE COMTE TGV,29,16,29,171
MONTBARD,BESANCON VIOTTE,29,19,29,137
MONTBARD,DIJON VILLE,29,21,29,173
MONTBARD,DOLE VILLE,29,11,29,111
MONTBARD,MULHOUSE VILLE,28,11,29,149
PARIS (intramuros),BELFORT MONTBELIARD TGV,29,11,29,157
PARIS (intramuros),BESANCON FRANCHE COMTE TGV,29,11,29,170
PARIS (intramuros),BESANCON VIOTTE,29,11,29,122
PARIS (intramuros),DIJON VILLE,29,13,29,169
PARIS (intramuros),DOLE VILLE,24,11,29,88
PARIS (intramuros),MONTBARD,29,11,29,163
PARIS (intramuros),MULHOUSE VILLE,29,11,29,156
