origine,destination,first_open_delta_median,first_open_delta_p25,first_open_delta_p75,n_departure_dates
PARIS (intramuros),BRIANCON,26,9,29,89
PARIS (intramuros),CHORGES,28,9,29,85
PARIS (intramuros),CREST,29,7,29,79
PARIS (intramuros),DIE,29,7,29,79
PARIS (intramuros),EMBRUN,26,9,29,89
PARIS (intramuros),GAP,26,9,29,89
PARIS (intramuros),L'ARGENTIERE LES ECRINS,26,9,29,89
PARIS (intramuros),LUC EN DIOIS,5,1,16,12
PARIS (intramuros),MONTDAUPHIN GUILLESTRE,26,9,29,89
PARIS (intramuros),VEYNES DEVOLUY,26,9,29,89
