origine,destination,first_open_delta_median,first_open_delta_p25,first_open_delta_p75,n_departure_dates
MOULINS SUR ALLIER,CLERMONT FERRAND,29,29,29,135
MOULINS SUR ALLIER,RIOM CHATEL GUYON,29,29,29,135
MOULINS SUR ALLIER,SAINT GERMAIN DES FOSSES,6,6,12,12
MOULINS SUR ALLIER,VICHY,29,29,29,135
NEVERS,CLERMONT FERRAND,29,29,29,132
NEVERS,MOULINS SUR ALLIER,29,29,29,132
NEVERS,RIOM CHATEL GUYON,29,29,29,132
NEVERS,SAINT GERMAIN DES FOSSES,6,6,18,11
NEVERS,VICHY,29,29,29,132
PARIS (intramuros),CLERMONT FERRAND,29,29,29,131
PARIS (intramuros),MOULINS SUR ALLIER,29,29,29,132
PARIS (intramuros),NEVERS,29,29,29,130
PARIS (intramuros),RIOM CHATEL GUYON,29,29,29,130
PARIS (intramuros),SAINCAIZE,29,29,29,3
PARIS (intramuros),SAINT GERMAIN DES FOSSES,11,7,29,5
PARIS (intramuros),VICHY,29,29,29,132
RIOM CHATEL GUYON,CLERMONT FERRAND,29,29,29,135
SAINCAIZE,CLERMONT FERRAND,29,23,29,4
SAINCAIZE,MOULINS SUR ALLIER,29,23,29,4
SAINCAIZE,RIOM CHATEL GUYON,29,23,29,4
SAINCAIZE,SAINT GERMAIN DES FOSSES,6,6,6,1
SAINCAIZE,VICHY,29,23,29,4
SAINT GERMAIN DES FOSSES,CLERMONT FERRAND,6,6,12,12
SAINT GERMAIN DES FOSSES,RIOM CHATEL GUYON,6,6,12,12
SAINT GERMAIN DES FOSSES,VICHY,6,6,12,12
VICHY,CLERMONT FERRAND,29,29,29,135
VICHY,RIOM CHATEL GUYON,29,29,29,135
