origine,destination,first_open_delta_median,first_open_delta_p25,first_open_delta_p75,n_departure_dates
ARGENTON SUR CREUSE,BRIVE LA GAILLARDE,29,11,29,220
ARGENTON SUR CREUSE,CAHORS,12,5,29,222
ARGENTON SUR CREUSE,CAUSSADE(TARN ET GARONNE),11,5,29,160
ARGENTON SUR CREUSE,CHATEAUROUX,8,8,8,1
ARGENTON SUR CREUSE,GOURDON,14,6,29,208
ARGENTON SUR CREUSE,LA SOUTERRAINE,29,11,29,220
ARGENTON SUR CREUSE,LIMOGES BENEDICTINS,29,11,29,220
ARGENTON SUR CREUSE,MONTAUBAN VILLE BOURBON,11,5,29,160
ARGENTON SUR CREUSE,PARIS (intramuros),8,8,8,1
ARGENTON SUR CREUSE,SOUILLAC,14,6,29,208
ARGENTON SUR CREUSE,TOULOUSE MATABIAU,11,5,29,160
ARGENTON SUR CREUSE,UZERCHE,29,9,29,60
ARGENTON SUR CREUSE,VIERZON,8,8,8,1
BRIVE LA GAILLARDE,ARGENTON SUR CREUSE,8,8,8,1
BRIVE LA GAILLARDE,CAHORS,14,7,29,230
BRIVE LA GAILLARDE,CAUSSADE(TARN ET GARONNE),14,6,29,191
BRIVE LA GAILLARDE,CHATEAUROUX,8,8,8,1
BRIVE LA GAILLARDE,GOURDON,14,7,29,230
BRIVE LA GAILLARDE,LA SOUTERRAINE,8,8,8,1
BRIVE LA GAILLARDE,LIMOGES BENEDICTINS,8,8,8,1
BRIVE LA GAILLARDE,MONTAUBAN VILLE BOURBON,14,6,29,199
BRIVE LA GAILLARDE,PARIS (intramuros),8,8,8,1
BRIVE LA GAILLARDE,SOUILLAC,14,7,29,230
BRIVE LA GAILLARDE,TOULOUSE MATABIAU,14,6,29,199
BRIVE LA GAILLARDE,VIERZON,8,8,8,1
CAHORS,CAUSSADE(TARN ET GARONNE),14,6,29,199
CAHORS,MONTAUBAN VILLE BOURBON,14,6,29,191
CAHORS,TOULOUSE MATABIAU,14,6,29,199
CAUSSADE(TARN ET GARONNE),MONTAUBAN VILLE BOURBON,14,6,29,199
CAUSSADE(TARN ET GARONNE),TOULOUSE MATABIAU,14,6,29,199
CHATEAUROUX,ARGENTON SUR CREUSE,29,11,29,220
CHATEAUROUX,BRIVE LA GAILLARDE,29,14,29,241
CHATEAUROUX,CAHORS,14,6,29,216
CHATEAUROUX,CAUSSADE(TARN ET GARONNE),14,6,29,180
CHATEAUROUX,GOURDON,14,6,29,216
CHATEAUROUX,LA SOUTERRAINE,29,14,29,238
CHATEAUROUX,LIMOGES BENEDICTINS,29,13,29,235
CHATEAUROUX,MONTAUBAN VILLE BOURBON,14,6,29,180
CHATEAUROUX,PARIS (intramuros),8,8,8,1
CHATEAUROUX,SOUILLAC,14,6,29,216
CHATEAUROUX,TOULOUSE MATABIAU,14,6,29,190
CHATEAUROUX,UZERCHE,29,13,29,228
CHATEAUROUX,VIERZON,8,8,8,1
GOURDON,CAHORS,14,6,29,229
GOURDON,CAUSSADE(TARN ET GARONNE),14,6,29,191
GOURDON,MONTAUBAN VILLE BOURBON,14,6,29,199
GOURDON,TOULOUSE MATABIAU,14,6,29,199
ISSOUDUN,ARGENTON SUR CREUSE,29,8,29,35
ISSOUDUN,BRIVE LA GAILLARDE,29,11,29,216
ISSOUDUN,CHATEAUROUX,29,11,29,215
ISSOUDUN,LA SOUTERRAINE,29,11,29,212
ISSOUDUN,LIMOGES BENEDICTINS,29,11,29,216
ISSOUDUN,UZERCHE,29,11,29,216
LA SOUTERRAINE,ARGENTON SUR CREUSE,8,8,8,1
LA SOUTERRAINE,BRIVE LA GAILLARDE,29,14,29,238
LA SOUTERRAINE,CAHORS,14,6,29,216
LA SOUTERRAINE,CAUSSADE(TARN ET GARONNE),14,6,29,180
LA SOUTERRAINE,CHATEAUROUX,8,8,8,1
LA SOUTERRAINE,GOURDON,14,6,29,216
LA SOUTERRAINE,LIMOGES BENEDICTINS,29,14,29,238
LA SOUTERRAINE,MONTAUBAN VILLE BOURBON,14,6,29,180
LA SOUTERRAINE,PARIS (intramuros),8,8,8,1
LA SOUTERRAINE,SOUILLAC,14,6,29,216
LA SOUTERRAINE,TOULOUSE MATABIAU,14,6,29,191
LA SOUTERRAINE,UZERCHE,29,14,29,227
LA SOUTERRAINE,VIERZON,8,8,8,1
LES AUBRAIS ORLEANS,ARGENTON SUR CREUSE,11,4,29,152
LES AUBRAIS ORLEANS,BRIVE LA GAILLARDE,11,6,29,186
LES AUBRAIS ORLEANS,CAHORS,11,5,29,173
LES AUBRAIS ORLEANS,CAUSSADE(TARN ET GARONNE),12,5,29,164
LES AUBRAIS ORLEANS,CHATEAUROUX,11,6,29,192
LES AUBRAIS ORLEANS,GOURDON,11,5,29,173
