origine,destination,first_open_delta_median,first_open_delta_p25,first_open_delta_p75,n_departure_dates
CHAMPAGNE ARDENNE TGV,LUXEMBOURG,29,13,29,173
CHAMPAGNE ARDENNE TGV,METZ VILLE,29,16,29,193
CHAMPAGNE ARDENNE TGV,THIONVILLE,29,13,29,173
METZ VILLE,LUXEMBOURG,29,27,29,263
METZ VILLE,THIONVILLE,29,26,29,263
PARIS (intramuros),CHAMPAGNE ARDENNE TGV,29,11,29,173
PARIS (intramuros),LUXEMBOURG,29,14,29,225
PARIS (intramuros),METZ VILLE,29,27,29,227
PARIS (intramuros),THIONVILLE,29,20,29,215
THIONVILLE,LUXEMBOURG,29,26,29,263
