origine,destination,first_open_delta_median,first_open_delta_p25,first_open_delta_p75,n_departure_dates
CHAMPAGNE ARDENNE TGV,EPINAL,29,10,29,112
CHAMPAGNE ARDENNE TGV,LORRAINE TGV,22,19,26,2
CHAMPAGNE ARDENNE TGV,LUNEVILLE,3,3,4,6
CHAMPAGNE ARDENNE TGV,MEUSE TGV,11,3,29,168
CHAMPAGNE ARDENNE TGV,NANCY,29,11,29,216
CHAMPAGNE ARDENNE TGV,REMIREMONT,29,10,29,112
CHAMPAGNE ARDENNE TGV,SARREBOURG,20,16,24,2
CHAMPAGNE ARDENNE TGV,SAVERNE,20,16,24,2
CHAMPAGNE ARDENNE TGV,ST DIE,3,3,4,6
CHAMPAGNE ARDENNE TGV,STRASBOURG,20,16,24,2
EPINAL,REMIREMONT,26,8,29,223
LUNEVILLE,SARREBOURG,3,3,4,4
LUNEVILLE,SAVERNE,3,3,4,4
LUNEVILLE,ST DIE,5,3,18,143
LUNEVILLE,STRASBOURG,3,3,4,4
MEUSE TGV,EPINAL,3,2,11,136
MEUSE TGV,LORRAINE TGV,29,29,29,3
MEUSE TGV,LUNEVILLE,5,3,17,145
MEUSE TGV,NANCY,11,4,29,234
MEUSE TGV,REMIREMONT,3,2,11,136
MEUSE TGV,SARREBOURG,4,2,16,8
MEUSE TGV,SAVERNE,4,2,16,8
MEUSE TGV,ST DIE,4,3,17,155
MEUSE TGV,STRASBOURG,4,2,16,8
NANCY,EPINAL,26,8,29,223
NANCY,LUNEVILLE,5,3,17,145
NANCY,REMIREMONT,26,8,29,223
NANCY,SARREBOURG,21,13,29,200
NANCY,SAVERNE,21,13,29,200
NANCY,ST DIE,4,3,17,155
NANCY,STRASBOURG,21,14,29,210
PARIS (intramuros),CHAMPAGNE ARDENNE TGV,29,14,29,206
PARIS (intramuros),EPINAL,27,8,29,188
PARIS (intramuros),LORRAINE TGV,29,29,29,3
PARIS (intramuros),LUNEVILLE,11,6,29,91
PARIS (intramuros),MEUSE TGV,20,11,29,183
PARIS (intramuros),NANCY,29,26,29,230
PARIS (intramuros),REMIREMONT,27,8,29,188
PARIS (intramuros),SARREBOURG,11,3,23,88
PARIS (intramuros),SAVERNE,11,3,23,88
PARIS (intramuros),ST DIE,11,4,29,98
PARIS (intramuros),STRASBOURG,11,3,24,87
SARREBOURG,SAVERNE,21,13,29,200
SARREBOURG,STRASBOURG,21,13,29,200
SAVERNE,STRASBOURG,21,13,29,200
