origine,destination,first_open_delta_median,first_open_delta_p25,first_open_delta_p75,n_departure_dates
AEROPORT ROISSY CDG 2 TGV,AIX EN PROVENCE TGV,29,23,29,3
AEROPORT ROISSY CDG 2 TGV,AVIGNON TGV,29,23,29,3
AEROPORT ROISSY CDG 2 TGV,MARNE LA VALLEE CHESSY,28,22,28,3
AEROPORT ROISSY CDG 2 TGV,MARSEILLE ST CHARLES,29,23,29,3
AIX EN PROVENCE TGV,MARSEILLE ST CHARLES,29,12,29,240
AVIGNON TGV,AIX EN PROVENCE TGV,29,12,29,240
AVIGNON TGV,MARSEILLE ST CHARLES,29,12,29,240
LE CREUSOT MONTCEAU MONTCHANIN,AIX EN PROVENCE TGV,29,29,29,1
LE CREUSOT MONTCEAU MONTCHANIN,AVIGNON TGV,29,29,29,1
LE CREUSOT MONTCEAU MONTCHANIN,LYON (intramuros),29,29,29,1
LE CREUSOT MONTCEAU MONTCHANIN,MARSEILLE ST CHARLES,29,29,29,1
LYON (intramuros),AIX EN PROVENCE TGV,29,29,29,1
LYON (intramuros),AVIGNON TGV,29,29,29,1
LYON (intramuros),MARSEILLE ST CHARLES,29,29,29,1
LYON ST EXUPERY TGV.,AIX EN PROVENCE TGV,22,18,26,2
LYON ST EXUPERY TGV.,AVIGNON TGV,22,18,26,2
LYON ST EXUPERY TGV.,MARSEILLE ST CHARLES,22,18,26,2
MARNE LA VALLEE CHESSY,AIX EN PROVENCE TGV,29,23,29,3
MARNE LA VALLEE CHESSY,AVIGNON TGV,29,23,29,3
MARNE LA VALLEE CHESSY,LYON ST EXUPERY TGV.,22,18,26,2
MARNE LA VALLEE CHESSY,MARSEILLE ST CHARLES,29,23,29,3
PARIS (intramuros),AIX EN PROVENCE TGV,29,10,29,199
PARIS (intramuros),AVIGNON TGV,29,11,29,202
PARIS (intramuros),LE CREUSOT MONTCEAU MONTCHANIN,29,29,29,1
PARIS (intramuros),LYON (intramuros),29,29,29,1
PARIS (intramuros),MARSEILLE ST CHARLES,29,10,29,195
