origine,destination,first_open_delta_median,first_open_delta_p25,first_open_delta_p75,n_departure_dates
AIME LA PLAGNE,BOURG SAINT MAURICE,3,3,15,35
AIME LA PLAGNE,LANDRY,3,3,15,35
AIX LES BAINS LE REVARD,ANNECY,29,16,29,159
AIX LES BAINS LE REVARD,CHAMBERY CHALLES LES EAUX,29,8,29,7
ALBERTVILLE,AIME LA PLAGNE,3,3,16,34
ALBERTVILLE,BOURG SAINT MAURICE,3,3,16,34
ALBERTVILLE,LANDRY,3,3,16,34
ALBERTVILLE,MOUTIERS SALINS BRIDES LES BAINS,3,3,16,34
ANNEMASSE,CLUSES (HAUTE SAVOIE),3,3,6,12
ANNEMASSE,EVIAN LES BAINS,6,3,21,36
ANNEMASSE,SALLANCHES COMBLOUX MEGEVE,3,3,6,12
ANNEMASSE,ST GERVAIS LES BAINS LE FAYET,3,3,6,12
ANNEMASSE,THONON LES BAINS,6,3,21,36
BELLEGARDE SUR VALSERINE GARE,ANNEMASSE,29,20,29,43
BELLEGARDE SUR VALSERINE GARE,CLUSES (HAUTE SAVOIE),3,2,8,19
BELLEGARDE SUR VALSERINE GARE,EVIAN LES BAINS,29,15,29,43
BELLEGARDE SUR VALSERINE GARE,SALLANCHES COMBLOUX MEGEVE,3,2,8,19
BELLEGARDE SUR VALSERINE GARE,ST GERVAIS LES BAINS LE FAYET,3,2,8,19
BELLEGARDE SUR VALSERINE GARE,THONON LES BAINS,29,15,29,43
CHAMBERY CHALLES LES EAUX,AIME LA PLAGNE,11,5,29,32
CHAMBERY CHALLES LES EAUX,AIX LES BAINS LE REVARD,29,17,29,159
CHAMBERY CHALLES LES EAUX,ALBERTVILLE,11,5,29,32
CHAMBERY CHALLES LES EAUX,ANNECY,29,16,29,159
CHAMBERY CHALLES LES EAUX,BOURG SAINT MAURICE,11,5,29,32
CHAMBERY CHALLES LES EAUX,LANDRY,11,5,29,32
CHAMBERY CHALLES LES EAUX,MODANE,8,3,29,13
CHAMBERY CHALLES LES EAUX,MOUTIERS SALINS BRIDES LES BAINS,11,5,29,32
CHAMBERY CHALLES LES EAUX,SAINT AVRE LA CHAMBRE,8,3,29,13
CHAMBERY CHALLES LES EAUX,ST JEAN DE MAURIENNE ARVAN,6,3,29,12
CHAMBERY CHALLES LES EAUX,ST MICHEL VALLOIRE,8,3,29,13
CLUSES (HAUTE SAVOIE),SALLANCHES COMBLOUX MEGEVE,3,3,6,13
CLUSES (HAUTE SAVOIE),ST GERVAIS LES BAINS LE FAYET,3,3,6,13
LANDRY,BOURG SAINT MAURICE,3,3,15,35
MACON LOCHE TGV,AIX LES BAINS LE REVARD,18,6,29,134
MACON LOCHE TGV,ANNECY,18,6,29,134
MACON LOCHE TGV,CHAMBERY CHALLES LES EAUX,18,6,29,134
MOUTIERS SALINS BRIDES LES BAINS,AIME LA PLAGNE,3,3,16,34
MOUTIERS SALINS BRIDES LES BAINS,BOURG SAINT MAURICE,3,3,16,34
MOUTIERS SALINS BRIDES LES BAINS,LANDRY,3,3,16,34
PARIS (intramuros),AIME LA PLAGNE,29,11,29,34
PARIS (intramuros),AIX LES BAINS LE REVARD,29,11,29,123
PARIS (intramuros),ALBERTVILLE,29,11,29,34
PARIS (intramuros),ANNECY,29,11,29,122
PARIS (intramuros),ANNEMASSE,29,11,29,31
PARIS (intramuros),BELLEGARDE SUR VALSERINE GARE,29,11,29,29
PARIS (intramuros),BOURG SAINT MAURICE,29,11,29,34
PARIS (intramuros),CHAMBERY CHALLES LES EAUX,29,19,29,125
PARIS (intramuros),CLUSES (HAUTE SAVOIE),22,6,29,23
PARIS (intramuros),EVIAN LES BAINS,29,11,29,29
PARIS (intramuros),LANDRY,29,11,29,34
PARIS (intramuros),MACON LOCHE TGV,29,11,29,135
PARIS (intramuros),MODANE,20,3,29,14
PARIS (intramuros),MOUTIERS SALINS BRIDES LES BAINS,29,11,29,34
PARIS (intramuros),SAINT AVRE LA CHAMBRE,20,3,29,14
PARIS (intramuros),SALLANCHES COMBLOUX MEGEVE,22,6,29,23
PARIS (intramuros),ST GERVAIS LES BAINS LE FAYET,22,6,29,23
PARIS (intramuros),ST JEAN DE MAURIENNE ARVAN,20,3,29,14
PARIS (intramuros),ST MICHEL VALLOIRE,20,3,29,14
PARIS (intramuros),THONON LES BAINS,29,11,29,29
SAINT AVRE LA CHAMBRE,MODANE,3,2,3,5
SAINT AVRE LA CHAMBRE,ST JEAN DE MAURIENNE ARVAN,3,2,3,5
SAINT AVRE LA CHAMBRE,ST MICHEL VALLOIRE,3,2,3,5
SALLANCHES COMBLOUX MEGEVE,ST GERVAIS LES BAINS LE FAYET,3,3,6,13
ST JEAN DE MAURIENNE ARVAN,MODANE,3,2,3,5
ST JEAN DE MAURIENNE ARVAN,ST MICHEL VALLOIRE,3,2,3,5
ST MICHEL VALLOIRE,MODANE,3,2,3,5
THONON LES BAINS,EVIAN LES BAINS,6,3,21,36
