origine,destination,first_open_delta_median,first_open_delta_p25,first_open_delta_p75,n_departure_dates
AURAY,LORIENT,29,19,29,298
AURAY,QUIMPER,28,16,29,293
AURAY,QUIMPERLE,12,8,24,278
AURAY,ROSPORDEN,12,8,24,281
DOL DE BRETAGNE,ST MALO,29,19,29,298
GUINGAMP,BREST,29,16,29,304
GUINGAMP,LANDERNEAU,20,10,29,282
GUINGAMP,LANNION,14,7,29,83
GUINGAMP,MORLAIX,29,16,29,305
GUINGAMP,PLOUARET TREGOR,23,12,29,299
LAMBALLE,BREST,17,9,29,294
LAMBALLE,GUINGAMP,19,10,29,296
LAMBALLE,LANDERNEAU,16,9,28,265
LAMBALLE,MORLAIX,19,10,29,296
LAMBALLE,PLOUARET TREGOR,17,9,29,294
LAMBALLE,ST BRIEUC,20,11,29,296
LANDERNEAU,BREST,25,11,29,300
LAVAL,AURAY,3,3,8,121
LAVAL,BREST,5,3,28,51
LAVAL,DOL DE BRETAGNE,29,4,29,237
LAVAL,GUINGAMP,5,3,28,51
LAVAL,LAMBALLE,3,2,7,17
LAVAL,LORIENT,8,3,24,168
LAVAL,MORLAIX,5,3,28,51
LAVAL,QUIMPER,3,3,7,104
LAVAL,REDON,3,3,7,104
LAVAL,RENNES,29,11,29,293
LAVAL,ST BRIEUC,6,3,28,52
LAVAL,ST MALO,18,3,29,254
LAVAL,VANNES,3,3,8,121
LAVAL,VITRE,26,7,29,258
LE MANS,AURAY,3,3,29,29
LE MANS,BREST,11,3,28,132
LE MANS,DOL DE BRETAGNE,3,2,3,23
LE MANS,GUINGAMP,11,3,28,132
LE MANS,LAMBALLE,11,3,28,131
LE MANS,LAVAL,11,4,29,288
LE MANS,LORIENT,3,3,29,29
LE MANS,MORLAIX,11,3,28,132
LE MANS,QUIMPER,3,3,3,1
LE MANS,RENNES,29,11,29,296
LE MANS,ST BRIEUC,29,21,29,165
LE MANS,ST MALO,3,2,3,23
LE MANS,VANNES,3,3,29,29
LE MANS,VITRE,5,3,20,71
LORIENT,QUIMPER,29,26,29,303
LORIENT,QUIMPERLE,12,8,24,282
LORIENT,ROSPORDEN,12,8,24,285
MASSY TGV,BREST,11,3,29,119
MASSY TGV,GUINGAMP,11,3,29,119
MASSY TGV,LAMBALLE,11,3,29,119
MASSY TGV,LE MANS,28,11,29,146
MASSY TGV,MORLAIX,11,3,29,119
MASSY TGV,RENNES,28,11,29,142
MASSY TGV,ST BRIEUC,11,3,29,119
MORLAIX,BREST,29,16,29,308
MORLAIX,LANDERNEAU,22,11,29,281
