origine,destination,first_open_delta_median,first_open_delta_p25,first_open_delta_p75,n_departure_dates
LES AUBRAIS ORLEANS,AUTERIVE,4,3,6,6
LES AUBRAIS ORLEANS,AX LES THERMES,4,3,6,6
LES AUBRAIS ORLEANS,FOIX,4,3,6,6
LES AUBRAIS ORLEANS,L'HOSPITALET PRES L'AND.,4,3,6,6
LES AUBRAIS ORLEANS,LATOUR DE CAROL ENVEITG,4,3,6,6
LES AUBRAIS ORLEANS,LES CABANNES,4,3,6,6
LES AUBRAIS ORLEANS,LUZENAC GARANOU,4,3,6,6
LES AUBRAIS ORLEANS,MERENS LES VALS,4,3,6,6
LES AUBRAIS ORLEANS,PAMIERS,4,3,6,6
LES AUBRAIS ORLEANS,PORTE PUYMORENS,4,3,6,6
LES AUBRAIS ORLEANS,SAVERDUN,4,3,6,6
LES AUBRAIS ORLEANS,TARASCON SUR ARIEGE,4,3,6,6
PARIS (intramuros),AUTERIVE,4,3,6,6
PARIS (intramuros),AX LES THERMES,4,3,6,6
PARIS (intramuros),FOIX,4,3,6,6
PARIS (intramuros),L'HOSPITALET PRES L'AND.,4,3,6,6
PARIS (intramuros),LATOUR DE CAROL ENVEITG,4,3,6,6
PARIS (intramuros),LES CABANNES,4,3,6,6
PARIS (intramuros),LUZENAC GARANOU,4,3,6,6
PARIS (intramuros),MERENS LES VALS,4,3,6,6
PARIS (intramuros),PAMIERS,4,3,6,6
PARIS (intramuros),PORTE PUYMORENS,4,3,6,6
PARIS (intramuros),SAVERDUN,4,3,6,6
PARIS (intramuros),TARASCON SUR ARIEGE,4,3,6,6
