origine,destination,first_open_delta_median,first_open_delta_p25,first_open_delta_p75,n_departure_dates
ANCENIS,LA BAULE ESCOUBLAC,2,0,15,27
ANCENIS,LE CROISIC,2,0,15,27
ANCENIS,LE POULIGUEN,2,0,15,27
ANCENIS,NANTES,2,0,12,29
ANCENIS,PORNICHET,2,0,15,27
ANCENIS,ST NAZAIRE,2,0,15,27
ANGERS SAINT LAUD,ANCENIS,2,0,12,29
ANGERS SAINT LAUD,LA BAULE ESCOUBLAC,10,3,29,234
ANGERS SAINT LAUD,LA ROCHE SUR YON,11,3,29,201
ANGERS SAINT LAUD,LE CROISIC,9,3,29,233
ANGERS SAINT LAUD,LE POULIGUEN,6,3,16,61
ANGERS SAINT LAUD,LES SABLES D'OLONNE,11,3,29,194
ANGERS SAINT LAUD,NANTES,29,16,29,300
ANGERS SAINT LAUD,PORNICHET,6,3,16,61
ANGERS SAINT LAUD,ST NAZAIRE,18,10,29,272
LA BAULE ESCOUBLAC,LE CROISIC,29,27,29,306
LA BAULE ESCOUBLAC,LE POULIGUEN,22,12,29,105
LA ROCHE SUR YON,LES SABLES D'OLONNE,27,16,29,297
LE MANS,ANCENIS,2,0,12,29
LE MANS,ANGERS SAINT LAUD,24,11,29,290
LE MANS,LA BAULE ESCOUBLAC,6,3,29,192
LE MANS,LA ROCHE SUR YON,10,3,29,157
LE MANS,LE CROISIC,6,3,29,192
LE MANS,LE POULIGUEN,3,1,10,36
LE MANS,LES SABLES D'OLONNE,10,3,29,149
LE MANS,NANTES,24,11,29,290
LE MANS,PORNICHET,3,1,10,36
LE MANS,SABLE SUR SARTHE,3,3,29,123
LE MANS,ST NAZAIRE,16,7,29,240
LE POULIGUEN,LE CROISIC,22,12,29,105
MASSY TGV,ANGERS SAINT LAUD,25,6,29,147
MASSY TGV,LA BAULE ESCOUBLAC,3,3,3,1
MASSY TGV,LE CROISIC,3,3,3,1
MASSY TGV,LE MANS,25,6,29,148
MASSY TGV,LE POULIGUEN,3,3,3,1
MASSY TGV,NANTES,26,6,29,144
MASSY TGV,PORNICHET,3,3,3,1
MASSY TGV,ST NAZAIRE,3,3,3,1
NANTES,LA BAULE ESCOUBLAC,29,27,29,308
NANTES,LA ROCHE SUR YON,28,16,29,297
NANTES,LE CROISIC,29,27,29,306
NANTES,LE POULIGUEN,22,12,29,105
NANTES,LES SABLES D'OLONNE,27,16,29,297
NANTES,PORNICHET,22,12,29,105
NANTES,ST NAZAIRE,29,29,29,314
PARIS (intramuros),ANCENIS,12,2,29,7
PARIS (intramuros),ANGERS SAINT LAUD,29,12,29,252
PARIS (intramuros),LA BAULE ESCOUBLAC,11,3,29,184
PARIS (intramuros),LA ROCHE SUR YON,11,3,29,180
PARIS (intramuros),LE CROISIC,11,3,29,183
PARIS (intramuros),LE MANS,26,6,29,229
PARIS (intramuros),LE POULIGUEN,8,3,29,20
PARIS (intramuros),LES SABLES D'OLONNE,11,3,29,175
PARIS (intramuros),NANTES,29,18,29,250
PARIS (intramuros),PORNICHET,8,3,29,20
PARIS (intramuros),SABLE SUR SARTHE,29,11,29,210
PARIS (intramuros),ST NAZAIRE,19,5,29,195
PORNICHET,LA BAULE ESCOUBLAC,22,12,29,105
PORNICHET,LE CROISIC,22,12,29,105
PORNICHET,LE POULIGUEN,22,12,29,105
SABLE SUR SARTHE,ANGERS SAINT LAUD,29,10,29,231
SABLE SUR SARTHE,LA BAULE ESCOUBLAC,4,3,29,81
SABLE SUR SARTHE,LA ROCHE SUR YON,11,3,29,101
SABLE SUR SARTHE,LE CROISIC,4,3,29,81
SABLE SUR SARTHE,LES SABLES D'OLONNE,11,3,29,101
SABLE SUR SARTHE,NANTES,29,10,29,231
SABLE SUR SARTHE,ST NAZAIRE,4,3,29,81
ST NAZAIRE,LA BAULE ESCOUBLAC,29,27,29,308
ST NAZAIRE,LE CROISIC,29,27,29,306
ST NAZAIRE,LE POULIGUEN,22,12,29,105
ST NAZAIRE,PORNICHET,22,12,29,105
