origine,destination,first_open_delta_median,first_open_delta_p25,first_open_delta_p75,n_departure_dates
AEROPORT ROISSY CDG 2 TGV,LE CREUSOT MONTCEAU MONTCHANIN,29,29,29,2
AEROPORT ROISSY CDG 2 TGV,LYON (intramuros),29,29,29,3
AEROPORT ROISSY CDG 2 TGV,MARNE LA VALLEE CHESSY,29,29,29,2
LE CREUSOT MONTCEAU MONTCHANIN,LYON (intramuros),29,28,29,235
LE CREUSOT MONTCEAU MONTCHANIN,MACON LOCHE TGV,28,4,29,191
LE CREUSOT MONTCEAU MONTCHANIN,SAINT ETIENNE CHATEAUCREUX,11,8,28,114
LYON (intramuros),LYON (intramuros),29,29,29,239
LYON (intramuros),SAINT ETIENNE CHATEAUCREUX,29,26,29,232
MACON LOCHE TGV,LYON (intramuros),28,4,29,191
MARNE LA VALLEE CHESSY,LE CREUSOT MONTCEAU MONTCHANIN,29,29,29,2
MARNE LA VALLEE CHESSY,LYON (intramuros),29,29,29,2
PARIS (intramuros),LE CREUSOT MONTCEAU MONTCHANIN,29,28,29,219
PARIS (intramuros),LYON (intramuros),29,29,29,221
PARIS (intramuros),MACON LOCHE TGV,29,25,29,146
PARIS (intramuros),SAINT ETIENNE CHATEAUCREUX,29,27,29,179
PONT DE RUNGIS AEROPORT D'ORLY,LE CREUSOT MONTCEAU MONTCHANIN,29,29,29,2
PONT DE RUNGIS AEROPORT D'ORLY,LYON (intramuros),29,29,29,3
PONT DE RUNGIS AEROPORT D'ORLY,MACON LOCHE TGV,28,28,29,2
VERSAILLES CHANTIERS,LE CREUSOT MONTCEAU MONTCHANIN,29,29,29,2
VERSAILLES CHANTIERS,LYON (intramuros),29,29,29,3
VERSAILLES CHANTIERS,MACON LOCHE TGV,29,29,29,2
VERSAILLES CHANTIERS,PONT DE RUNGIS AEROPORT D'ORLY,29,29,29,3
