origine,destination,first_open_delta_median,first_open_delta_p25,first_open_delta_p75,n_departure_dates
LES AUBRAIS ORLEANS,BAYONNE,29,29,29,55
LES AUBRAIS ORLEANS,BIGANOS FACTURE,29,29,29,57
LES AUBRAIS ORLEANS,DAX,29,29,29,57
LES AUBRAIS ORLEANS,LOURDES,29,29,29,57
LES AUBRAIS ORLEANS,ORTHEZ,29,29,29,57
LES AUBRAIS ORLEANS,PAU,29,29,29,57
LES AUBRAIS ORLEANS,ST VINCENT DE TYROSSE,29,29,29,55
LES AUBRAIS ORLEANS,TARBES,29,29,29,57
PARIS (intramuros),BAYONNE,29,29,29,55
PARIS (intramuros),BIGANOS FACTURE,29,29,29,57
PARIS (intramuros),DAX,29,29,29,57
PARIS (intramuros),LOURDES,29,29,29,57
PARIS (intramuros),ORTHEZ,29,29,29,57
PARIS (intramuros),PAU,29,29,29,57
PARIS (intramuros),ST VINCENT DE TYROSSE,29,29,29,55
PARIS (intramuros),TARBES,29,29,29,57
