origine,destination,first_open_delta_median,first_open_delta_p25,first_open_delta_p75,n_departure_dates
CHAMPAGNE ARDENNE TGV,LORRAINE TGV,29,29,29,1
CHAMPAGNE ARDENNE TGV,MEUSE TGV,8,3,29,99
CHAMPAGNE ARDENNE TGV,STRASBOURG,8,3,29,116
LAHR SCHWARZW,FREIBURG (BREISGAU) HBF,20,13,28,191
LAHR SCHWARZW,RINGSHEIM EUROPA PARK,20,13,28,191
LORRAINE TGV,STRASBOURG,9,3,14,132
MEUSE TGV,LORRAINE TGV,11,3,28,78
MEUSE TGV,STRASBOURG,11,3,29,127
OFFENBURG,FREIBURG (BREISGAU) HBF,20,13,28,191
OFFENBURG,LAHR SCHWARZW,20,13,28,191
OFFENBURG,RINGSHEIM EUROPA PARK,20,13,28,191
PARIS (intramuros),CHAMPAGNE ARDENNE TGV,11,8,29,128
PARIS (intramuros),COLMAR,29,11,29,137
PARIS (intramuros),FREIBURG (BREISGAU) HBF,10,3,12,96
PARIS (intramuros),LAHR SCHWARZW,10,3,12,95
PARIS (intramuros),LORRAINE TGV,11,8,29,60
PARIS (intramuros),MEUSE TGV,11,10,29,128
PARIS (intramuros),OFFENBURG,10,3,12,96
PARIS (intramuros),RINGSHEIM EUROPA PARK,10,3,12,96
PARIS (intramuros),SELESTAT,11,8,13,68
PARIS (intramuros),STRASBOURG,29,11,29,171
RINGSHEIM EUROPA PARK,FREIBURG (BREISGAU) HBF,20,13,28,191
SELESTAT,COLMAR,23,16,29,204
STRASBOURG,COLMAR,29,21,29,209
STRASBOURG,FREIBURG (BREISGAU) HBF,19,12,28,188
STRASBOURG,LAHR SCHWARZW,19,12,28,188
STRASBOURG,OFFENBURG,19,12,28,188
STRASBOURG,RINGSHEIM EUROPA PARK,19,12,28,188
STRASBOURG,SELESTAT,23,16,29,204
