origine,destination,first_open_delta_median,first_open_delta_p25,first_open_delta_p75,n_departure_dates
AGEN,MONTAUBAN VILLE BOURBON,20,8,29,287
AGEN,TOULOUSE MATABIAU,28,11,29,293
ANGOULEME,BAYONNE,8,3,20,43
ANGOULEME,BIARRITZ,8,3,24,42
ANGOULEME,BORDEAUX ST JEAN,29,28,29,314
ANGOULEME,DAX,8,3,20,43
ANGOULEME,HENDAYE,8,3,24,42
ANGOULEME,LIBOURNE,29,25,29,307
ANGOULEME,ST JEAN DE LUZ CIBOURE,8,3,24,42
BAYONNE,BIARRITZ,20,10,29,298
BAYONNE,HENDAYE,20,10,29,298
BAYONNE,ST JEAN DE LUZ CIBOURE,20,10,29,298
BIARRITZ,HENDAYE,20,10,29,298
BIARRITZ,ST JEAN DE LUZ CIBOURE,20,10,29,298
BIGANOS FACTURE,ARCACHON,29,19,29,266
BIGANOS FACTURE,LA TESTE,22,12,29,28
BORDEAUX ST JEAN,AGEN,29,11,29,255
BORDEAUX ST JEAN,ARCACHON,29,19,29,266
BORDEAUX ST JEAN,BAYONNE,13,8,29,269
BORDEAUX ST JEAN,BIARRITZ,13,8,29,267
BORDEAUX ST JEAN,BIGANOS FACTURE,29,19,29,266
BORDEAUX ST JEAN,DAX,29,11,29,281
BORDEAUX ST JEAN,HENDAYE,13,8,29,267
BORDEAUX ST JEAN,LA TESTE,22,12,29,28
BORDEAUX ST JEAN,LOURDES,25,9,29,261
BORDEAUX ST JEAN,MONTAUBAN VILLE BOURBON,16,7,29,233
BORDEAUX ST JEAN,ORTHEZ,20,8,29,250
BORDEAUX ST JEAN,PAU,25,9,29,261
BORDEAUX ST JEAN,ST JEAN DE LUZ CIBOURE,13,8,29,267
BORDEAUX ST JEAN,TARBES,25,9,29,261
BORDEAUX ST JEAN,TOULOUSE MATABIAU,29,11,29,255
CHATELLERAULT,ANGOULEME,7,6,8,8
CHATELLERAULT,BORDEAUX ST JEAN,7,6,8,8
CHATELLERAULT,POITIERS,7,6,8,8
DAX,BAYONNE,20,11,29,301
DAX,BIARRITZ,20,11,29,299
DAX,HENDAYE,20,11,29,299
DAX,LOURDES,29,15,29,302
DAX,ORTHEZ,28,13,29,302
DAX,PAU,29,15,29,302
DAX,ST JEAN DE LUZ CIBOURE,20,11,29,299
DAX,TARBES,29,15,29,302
LA TESTE,ARCACHON,22,12,29,28
LIBOURNE,BORDEAUX ST JEAN,29,25,29,307
LOURDES,TARBES,29,15,29,302
MASSY TGV,AGEN,29,10,29,54
MASSY TGV,ANGOULEME,29,11,29,125
MASSY TGV,BAYONNE,8,3,17,28
MASSY TGV,BIARRITZ,8,3,17,28
MASSY TGV,BORDEAUX ST JEAN,29,11,29,205
MASSY TGV,DAX,10,3,29,134
MASSY TGV,HENDAYE,8,3,17,28
MASSY TGV,LOURDES,10,3,29,130
MASSY TGV,ORTHEZ,3,3,4,68
MASSY TGV,PAU,10,3,29,130
MASSY TGV,ST JEAN DE LUZ CIBOURE,8,3,17,28
MASSY TGV,TARBES,10,3,29,130
MASSY TGV,TOULOUSE MATABIAU,29,10,29,55
MONTAUBAN VILLE BOURBON,TOULOUSE MATABIAU,20,8,29,287
ORTHEZ,LOURDES,28,13,29,302
ORTHEZ,PAU,28,13,29,302
ORTHEZ,TARBES,28,13,29,302
PARIS (intramuros),AGEN,29,10,29,161
PARIS (intramuros),ANGOULEME,29,29,29,252
PARIS (intramuros),ARCACHON,11,7,29,123
PARIS (intramuros),BAYONNE,11,4,29,187
PARIS (intramuros),BIARRITZ,11,3,29,185
PARIS (intramuros),BIGANOS FACTURE,11,7,29,123
PARIS (intramuros),BORDEAUX ST JEAN,29,29,29,262
PARIS (intramuros),DAX,11,4,29,200
PARIS (intramuros),HENDAYE,11,3,29,185
PARIS (intramuros),LA TESTE,6,2,9,4
PARIS (intramuros),LIBOURNE,29,18,29,218
PARIS (intramuros),LOURDES,10,3,29,165
PARIS (intramuros),MONTAUBAN VILLE BOURBON,3,3,10,120
PARIS (intramuros),ORTHEZ,3,3,11,143
PARIS (intramuros),PAU,10,3,29,165
PARIS (intramuros),POITIERS,29,24,29,259
PARIS (intramuros),ST JEAN DE LUZ CIBOURE,11,3,29,185
PARIS (intramuros),ST PIERRE DES CORPS,29,14,29,247
PARIS (intramuros),TARBES,10,3,29,164
PARIS (intramuros),TOULOUSE MATABIAU,29,9,29,160
PARIS (intramuros),VENDOME VILLIERS SUR LOIR,29,29,29,2
PAU,LOURDES,29,15,29,302
PAU,TARBES,29,15,29,302
POITIERS,ANGOULEME,29,13,29,294
POITIERS,BORDEAUX ST JEAN,29,13,29,295
POITIERS,LIBOURNE,29,10,29,277
ST JEAN DE LUZ CIBOURE,HENDAYE,20,10,29,298
ST PIERRE DES CORPS,ANGOULEME,29,14,29,242
ST PIERRE DES CORPS,BORDEAUX ST JEAN,29,14,29,242
ST PIERRE DES CORPS,CHATELLERAULT,0,0,0,1
ST PIERRE DES CORPS,LIBOURNE,3,3,29,98
ST PIERRE DES CORPS,POITIERS,29,14,29,242
VENDOME VILLIERS SUR LOIR,ANGOULEME,29,14,29,3
VENDOME VILLIERS SUR LOIR,BORDEAUX ST JEAN,29,14,29,3
VENDOME VILLIERS SUR LOIR,CHATELLERAULT,0,0,0,1
VENDOME VILLIERS SUR LOIR,LIBOURNE,29,29,29,1
VENDOME VILLIERS SUR LOIR,POITIERS,29,14,29,3
VENDOME VILLIERS SUR LOIR,ST PIERRE DES CORPS,0,0,0,1
