origine,destination,first_open_delta_median,first_open_delta_p25,first_open_delta_p75,n_departure_dates
ARLES,MIRAMAS,29,11,29,159
AVIGNON CENTRE,ARLES,29,11,29,159
AVIGNON CENTRE,MIRAMAS,29,11,29,159
LYON ST EXUPERY TGV.,ARLES,29,11,29,121
LYON ST EXUPERY TGV.,AVIGNON CENTRE,29,11,29,144
LYON ST EXUPERY TGV.,MIRAMAS,29,11,29,121
LYON ST EXUPERY TGV.,MONTELIMAR GARE SNCF,29,11,29,144
LYON ST EXUPERY TGV.,ORANGE,29,11,29,144
LYON ST EXUPERY TGV.,VALENCE TGV AUVERGNE RHONE ALPES,27,11,29,11
LYON ST EXUPERY TGV.,VALENCE VILLE,29,11,29,144
MONTELIMAR GARE SNCF,ARLES,29,11,29,156
MONTELIMAR GARE SNCF,AVIGNON CENTRE,29,16,29,171
MONTELIMAR GARE SNCF,MIRAMAS,29,11,29,156
MONTELIMAR GARE SNCF,ORANGE,29,16,29,171
ORANGE,ARLES,29,11,29,159
ORANGE,AVIGNON CENTRE,29,16,29,171
ORANGE,MIRAMAS,29,11,29,159
PARIS (intramuros),ARLES,29,11,29,114
PARIS (intramuros),AVIGNON CENTRE,29,12,29,136
PARIS (intramuros),LYON ST EXUPERY TGV.,1,0,2,33
PARIS (intramuros),MIRAMAS,29,11,29,114
PARIS (intramuros),MONTELIMAR GARE SNCF,29,12,29,136
PARIS (intramuros),ORANGE,29,12,29,136
PARIS (intramuros),VALENCE TGV AUVERGNE RHONE ALPES,28,9,29,10
PARIS (intramuros),VALENCE VILLE,29,12,29,136
VALENCE TGV AUVERGNE RHONE ALPES,ARLES,29,27,29,13
VALENCE TGV AUVERGNE RHONE ALPES,AVIGNON CENTRE,29,27,29,13
VALENCE TGV AUVERGNE RHONE ALPES,MIRAMAS,29,27,29,13
VALENCE TGV AUVERGNE RHONE ALPES,ORANGE,29,27,29,13
VALENCE VILLE,ARLES,29,11,29,156
VALENCE VILLE,AVIGNON CENTRE,29,16,29,171
VALENCE VILLE,MIRAMAS,29,11,29,156
VALENCE VILLE,MONTELIMAR GARE SNCF,29,16,29,171
VALENCE VILLE,ORANGE,29,16,29,171
