origine,destination,first_open_delta_median,first_open_delta_p25,first_open_delta_p75,n_departure_dates
BAR LE DUC,CHALONS EN CHAMPAGNE,29,11,29,227
BAR LE DUC,CHAMPAGNE ARDENNE TGV,29,11,29,227
BAR LE DUC,PARIS (intramuros),29,11,29,92
BAR LE DUC,VITRY LE FRANCOIS,29,11,29,227
CHALONS EN CHAMPAGNE,CHAMPAGNE ARDENNE TGV,29,11,29,227
CHALONS EN CHAMPAGNE,PARIS (intramuros),29,11,29,92
CHAMPAGNE ARDENNE TGV,PARIS (intramuros),29,11,29,89
CHARLEVILLE MEZIERES,PARIS (intramuros),11,10,29,203
CHARLEVILLE MEZIERES,REIMS,29,22,29,286
CHARLEVILLE MEZIERES,RETHEL,29,22,29,286
REIMS,PARIS (intramuros),29,12,29,256
RETHEL,PARIS (intramuros),11,10,29,203
RETHEL,REIMS,29,22,29,286
SEDAN,CHARLEVILLE MEZIERES,29,21,29,283
SEDAN,PARIS (intramuros),11,10,29,159
SEDAN,REIMS,29,21,29,283
SEDAN,RETHEL,29,21,29,283
VITRY LE FRANCOIS,CHALONS EN CHAMPAGNE,29,11,29,227
VITRY LE FRANCOIS,CHAMPAGNE ARDENNE TGV,29,11,29,227
VITRY LE FRANCOIS,PARIS (intramuros),29,11,29,92
