origine,destination,first_open_delta_median,first_open_delta_p25,first_open_delta_p75,n_departure_dates
AGEN,ANGOULEME,3,3,11,63
AGEN,BORDEAUX ST JEAN,22,7,29,262
AGEN,MASSY TGV,10,3,29,29
AGEN,PARIS (intramuros),11,3,14,182
AGEN,VENDOME VILLIERS SUR LOIR,3,3,9,66
ANGOULEME,CHATELLERAULT,11,6,29,233
ANGOULEME,FUTUROSCOPE,11,3,29,161
ANGOULEME,PARIS (intramuros),29,11,29,257
ANGOULEME,POITIERS,29,14,29,310
ANGOULEME,ST PIERRE DES CORPS,11,5,29,264
ARCACHON,ANGOULEME,3,3,3,13
ARCACHON,BIGANOS FACTURE,29,25,29,305
ARCACHON,BORDEAUX ST JEAN,29,25,29,305
ARCACHON,LA TESTE,11,9,18,36
ARCACHON,MASSY TGV,11,3,26,54
ARCACHON,PARIS (intramuros),11,10,29,179
ARCACHON,ST PIERRE DES CORPS,3,3,3,8
BAYONNE,BORDEAUX ST JEAN,11,7,25,277
BAYONNE,DAX,19,11,29,307
BAYONNE,MASSY TGV,6,3,11,131
BAYONNE,PARIS (intramuros),10,3,26,195
BIARRITZ,BAYONNE,19,11,29,305
BIARRITZ,BORDEAUX ST JEAN,11,7,26,275
BIARRITZ,DAX,19,11,29,305
BIARRITZ,MASSY TGV,6,3,11,130
BIARRITZ,PARIS (intramuros),10,3,29,193
BIGANOS FACTURE,ANGOULEME,3,3,3,13
BIGANOS FACTURE,BORDEAUX ST JEAN,29,25,29,305
BIGANOS FACTURE,MASSY TGV,11,3,26,54
BIGANOS FACTURE,PARIS (intramuros),11,10,29,179
BIGANOS FACTURE,ST PIERRE DES CORPS,3,3,3,8
BORDEAUX ST JEAN,ANGOULEME,29,29,29,326
BORDEAUX ST JEAN,CHATELLERAULT,11,6,29,233
BORDEAUX ST JEAN,FUTUROSCOPE,11,3,29,161
BORDEAUX ST JEAN,LIBOURNE,29,22,29,321
BORDEAUX ST JEAN,MASSY TGV,29,11,29,219
BORDEAUX ST JEAN,PARIS (intramuros),29,14,29,271
