origine,destination,first_open_delta_median,first_open_delta_p25,first_open_delta_p75,n_departure_dates
BAYONNE,LES AUBRAIS ORLEANS,29,20,29,100
BAYONNE,PARIS (intramuros),29,20,29,100
BIGANOS FACTURE,LES AUBRAIS ORLEANS,29,20,29,100
BIGANOS FACTURE,PARIS (intramuros),29,20,29,100
DAX,LES AUBRAIS ORLEANS,29,20,29,100
DAX,PARIS (intramuros),29,20,29,100
LOURDES,LES AUBRAIS ORLEANS,29,20,29,100
LOURDES,PARIS (intramuros),29,20,29,100
ORTHEZ,LES AUBRAIS ORLEANS,29,20,29,100
ORTHEZ,PARIS (intramuros),29,20,29,100
PAU,LES AUBRAIS ORLEANS,29,20,29,100
PAU,PARIS (intramuros),29,20,29,100
ST VINCENT DE TYROSSE,LES AUBRAIS ORLEANS,29,20,29,100
ST VINCENT DE TYROSSE,PARIS (intramuros),29,20,29,100
TARBES,LES AUBRAIS ORLEANS,29,20,29,100
TARBES,PARIS (intramuros),29,20,29,100
